tau,C1,C1_err,C2raw,C2raw_err,C2conn,C2conn_err,C3,C3_err
3.25,0.343127,0.0503299,2.20732,0.0349113,-0.00915467,0.00561478,1.04683,0.151258
3.3,0.333801,0.0506106,2.20788,0.0347589,-0.00859676,0.00571069,1.01746,0.152041
3.35,0.324744,0.0508634,2.20845,0.0346236,-0.00802689,0.00582035,0.98888,0.152769
3.4,0.315954,0.0510867,2.20901,0.0345063,-0.00746504,0.00593698,0.961061,0.153437
3.45,0.307426,0.0512795,2.20955,0.0344071,-0.00692609,0.00605301,0.933997,0.154044
3.5,0.299155,0.0514413,2.21005,0.0343259,-0.00642284,0.00616131,0.907675,0.154588
3.55,0.291136,0.051572,2.21051,0.0342616,-0.00596477,0.00625535,0.882092,0.155071
3.6,0.283362,0.0516718,2.21091,0.0342133,-0.00555977,0.00632959,0.857247,0.15549
3.65,0.275825,0.0517419,2.21126,0.0341793,-0.00521558,0.00637957,0.833136,0.155847
3.7,0.268516,0.0517834,2.21154,0.0341583,-0.00493501,0.00640201,0.809749,0.156141
3.75,0.261423,0.051798,2.21175,0.0341485,-0.00472129,0.00639548,0.787081,0.156371
3.8,0.254537,0.0517881,2.2119,0.0341484,-0.00457209,0.00636029,0.76513,0.15654
3.85,0.247847,0.051756,2.21199,0.0341567,-0.00448446,0.00629841,0.743873,0.156646
3.9,0.241342,0.0517046,2.21202,0.0341722,-0.00445027,0.00621316,0.72329,0.156691
3.95,0.235012,0.0516367,2.21201,0.0341936,-0.00445903,0.00610956,0.703372,0.156676
4,0.22885,0.0515553,2.21197,0.034221,-0.00449907,0.00599346,0.684095,0.156604
4.05,0.222846,0.0514636,2.21192,0.0342533,-0.00455596,0.00587161,0.665433,0.156479
4.1,0.216994,0.0513641,2.21185,0.03429,-0.00461724,0.00575006,0.647358,0.156304
4.15,0.211291,0.0512598,2.2118,0.0343305,-0.00467627,0.00563513,0.629842,0.156086
4.2,0.205733,0.0511528,2.21174,0.0343743,-0.00472899,0.00553187,0.612855,0.155833
4.25,0.20032,0.0510455,2.21169,0.0344213,-0.00477919,0.0054438,0.596376,0.15555
4.3,0.195052,0.0509392,2.21164,0.0344709,-0.0048343,0.00537308,0.580387,0.155243
4.35,0.189932,0.0508356,2.21157,0.0345234,-0.00490287,0.00531973,0.564873,0.15492
4.4,0.184964,0.0507357,2.21147,0.0345787,-0.00499927,0.0052819,0.549823,0.154587
4.45,0.180153,0.0506403,2.21133,0.0346376,-0.00513981,0.0052567,0.535222,0.15425
4.5,0.175504,0.0505499,2.21113,0.0347006,-0.00534056,0.00524039,0.521055,0.153911
4.55,0.171024,0.0504648,2.21086,0.0347685,-0.00561263,0.00522892,0.507306,0.153575
4.6,0.166718,0.0503852,2.21051,0.0348423,-0.00596661,0.0052188,0.493968,0.153246
4.65,0.162591,0.0503111,2.21007,0.0349234,-0.00640718,0.00520755,0.48104,0.152929
4.7,0.158647,0.0502424,2.20954,0.0350131,-0.00693524,0.00519402,0.468531,0.152624
4.75,0.154888,0.0501791,2.20893,0.0351124,-0.00754717,0.0051788,0.456441,0.152337
4.8,0.151317,0.050121,2.20824,0.0352214,-0.00823391,0.00516388,0.444788,0.152068
4.85,0.147932,0.0500682,2.20749,0.0353402,-0.00898469,0.00515269,0.433575,0.151821
4.9,0.14473,0.0500205,2.20669,0.0354687,-0.00978317,0.0051495,0.422809,0.151598
4.95,0.141707,0.0499781,2.20586,0.0356058,-0.0106133,0.00515834,0.412486,0.151401
5,0.138857,0.0499411,2.20502,0.0357493,-0.0114571,0.00518337,0.402598,0.151233
5.05,0.136173,0.0499097,2.20418,0.0358964,-0.0122963,0.00522625,0.393129,0.151098
5.1,0.133647,0.0498842,2.20336,0.0360445,-0.0131148,0.00528668,0.384064,0.150998
5.15,0.131269,0.0498652,2.20258,0.03619,-0.0138955,0.00536195,0.375391,0.150939
5.2,0.12903,0.0498531,2.20184,0.0363296,-0.0146279,0.00544718,0.367099,0.150921
5.25,0.126918,0.0498482,2.20117,0.0364593,-0.0153045,0.00553595,0.359175,0.150948
5.3,0.124925,0.0498512,2.20055,0.0365757,-0.0159196,0.00562089,0.351636,0.151018
5.35,0.123039,0.0498627,2.2,0.0366757,-0.0164673,0.00569439,0.34449,0.151132
5.4,0.121249,0.0498833,2.19953,0.0367568,-0.0169434,0.00574923,0.337744,0.151292
5.45,0.119547,0.0499136,2.19912,0.0368177,-0.0173495,0.00577988,0.331405,0.151494
5.5,0.117921,0.0499543,2.19878,0.0368574,-0.0176874,0.00578225,0.325478,0.151736
5.55,0.116362,0.0500059,2.19852,0.0368758,-0.0179569,0.00575456,0.319968,0.152019
5.6,0.114862,0.050069,2.19831,0.0368737,-0.01816,0.00569669,0.314858,0.152337
5.65,0.113411,0.0501438,2.19818,0.0368526,-0.0182952,0.0056107,0.310128,0.152691
5.7,0.112001,0.0502305,2.19811,0.0368154,-0.0183636,0.00550099,0.305756,0.153079
5.75,0.110626,0.0503292,2.19811,0.036764,-0.0183665,0.00537393,0.3017,0.153498
5.8,0.109278,0.0504396,2.19817,0.0367018,-0.0183035,0.00523707,0.297923,0.153947
5.85,0.107952,0.050561,2.1983,0.0366316,-0.0181744,0.00509918,0.294379,0.154422
5.9,0.106642,0.0506926,2.19849,0.0365556,-0.017978,0.0049697,0.291032,0.154919
5.95,0.105345,0.0508335,2.19877,0.0364764,-0.017707,0.00485763,0.287841,0.155433
6,0.104057,0.0509822,2.19911,0.0363953,-0.0173579,0.00476957,0.284767,0.155956
6.05,0.102774,0.0511372,2.19955,0.0363129,-0.0169252,0.00470955,0.281776,0.156483
6.1,0.101496,0.0512969,2.20007,0.0362298,-0.0163994,0.00467808,0.278855,0.157005
6.15,0.100222,0.0514595,2.2007,0.0361452,-0.0157679,0.00467281,0.275995,0.157515
6.2,0.0989514,0.0516234,2.20145,0.0360581,-0.0150214,0.00468894,0.273189,0.158008
6.25,0.0976856,0.0517867,2.20232,0.0359672,-0.0141528,0.00472084,0.270423,0.158478
6.3,0.0964258,0.0519478,2.20332,0.0358711,-0.0131506,0.00476325,0.267699,0.158923
6.35,0.0951733,0.0521048,2.20446,0.0357699,-0.0120087,0.00481171,0.265004,0.159343
6.4,0.0939292,0.052256,2.20575,0.0356633,-0.010727,0.00486292,0.262323,0.159736
6.45,0.0926946,0.0523998,2.20716,0.0355523,-0.00931172,0.0049163,0.259635,0.160101
6.5,0.0914693,0.0525347,2.2087,0.035438,-0.00777489,0.00497202,0.256913,0.16044
6.55,0.0902533,0.0526591,2.21034,0.0353227,-0.00613343,0.00503221,0.254138,0.160754
6.6,0.0890449,0.0527717,2.21206,0.0352087,-0.00441212,0.00509936,0.251282,0.161042
6.65,0.0878412,0.0528711,2.21383,0.0350992,-0.00264488,0.00517706,0.248315,0.161304
6.7,0.0866388,0.052956,2.2156,0.0349972,-0.000871773,0.00526885,0.24522,0.161538
6.75,0.0854332,0.0530251,2.21733,0.0349058,0.000860546,0.00537855,0.241978,0.161745
6.8,0.0842186,0.0530772,2.21898,0.0348283,0.00250534,0.00550908,0.238567,0.161918
6.85,0.0829901,0.0531115,2.22049,0.0347675,0.00401475,0.0056613,0.234992,0.162055
6.9,0.0817412,0.053127,2.22181,0.0347262,0.00534114,0.00583495,0.231243,0.162153
6.95,0.0804671,0.0531232,2.22291,0.0347062,0.00643975,0.00602755,0.227337,0.162206
7,0.0791613,0.0530998,2.22374,0.0347093,0.00727269,0.0062346,0.223273,0.16221
7.05,0.0778197,0.0530563,2.22428,0.0347366,0.00780577,0.00645022,0.219072,0.16216
7.1,0.0764382,0.0529932,2.22449,0.0347884,0.00801842,0.00666729,0.214745,0.162057
7.15,0.0750149,0.0529108,2.22437,0.034864,0.00789742,0.00687786,0.210322,0.161897
7.2,0.073548,0.0528099,2.22391,0.0349625,0.00744188,0.00707374,0.205812,0.161684
7.25,0.0720374,0.0526913,2.22313,0.0350821,0.00666266,0.00724756,0.201225,0.161417
7.3,0.0704849,0.0525564,2.22205,0.0352205,0.00557882,0.00739331,0.196578,0.161102
7.35,0.0688925,0.0524065,2.22069,0.0353751,0.00421598,0.0075055,0.19187,0.160743
7.4,0.0672633,0.0522433,2.21908,0.0355429,0.00260805,0.00758113,0.187107,0.160343
7.45,0.0656019,0.0520685,2.21727,0.0357209,0.000794313,0.00761986,0.182297,0.159906
7.5,0.0639133,0.0518839,2.21529,0.0359058,-0.00118168,0.00762343,0.177439,0.159432
7.55,0.0622036,0.0516913,2.2132,0.0360949,-0.00327114,0.007596,0.172549,0.158927
7.6,0.0604782,0.0514925,2.21105,0.0362853,-0.00542227,0.00754346,0.167628,0.158391
7.65,0.0587449,0.0512894,2.20889,0.0364746,-0.00758019,0.00747319,0.162698,0.157826
7.7,0.0570111,0.0510836,2.20678,0.0366594,-0.00969517,0.00739207,0.157767,0.157232
7.75,0.0552846,0.0508767,2.20476,0.0368367,-0.0117157,0.00730617,0.152846,0.15661
