tau,x
16.6,0.469357
16.65,0.672509
16.7,0.72037
16.75,0.847568
16.8,0.839815
16.85,1.02645
16.9,1.08997
16.95,1.11587
17,1.33713
17.05,1.2884
17.1,1.86464
17.15,1.66308
17.2,1.66111
17.25,1.70817
17.3,2.0094
17.35,1.82259
17.4,2.05781
17.45,2.04397
17.5,1.99294
17.55,2.15434
17.6,2.22776
17.65,2.09317
17.7,1.772
17.75,1.69519
17.8,1.63058
17.85,1.2792
17.9,1.06919
17.95,1.0622
18,1.40939
18.05,1.2409
18.1,1.61066
18.15,1.60012
18.2,1.38564
18.25,1.53931
18.3,1.37918
18.35,1.42758
18.4,1.39433
18.45,1.34528
18.5,1.39377
18.55,1.08829
18.6,0.966092
18.65,0.585854
18.7,0.81793
18.75,0.52312
18.8,0.78025
18.85,0.813464
18.9,1.19555
18.95,0.772523
19,0.717451
19.05,0.451595
19.1,0.305861
19.15,0.637605
19.2,-0.0117022
19.25,0.487488
19.3,-0.246036
19.35,-0.640859
19.4,-0.881773
19.45,-0.777851
19.5,-0.83858
19.55,-1.19841
19.6,-0.786035
19.65,-1.05256
19.7,-0.93657
19.75,-0.984016
19.8,-1.44677
19.85,-1.2571
19.9,-1.09596
19.95,-0.796932
20,-1.26732
20.05,-1.07266
20.1,-1.4837
20.15,-1.48245
20.2,-1.69812
20.25,-1.3624
20.3,-1.44519
20.35,-1.86723
20.4,-2.22098
20.45,-2.03223
20.5,-2.23262
20.55,-2.0797
20.6,-2.09882
20.65,-2.30355
20.7,-1.9842
20.75,-1.80315
20.8,-1.30298
20.85,-1.47774
20.9,-1.33793
20.95,-1.15692
21,-1.22282
21.05,-1.08466
21.1,-1.11891
21.15,-1.10533
21.2,-1.44951
21.25,-1.97989
21.3,-1.85176
21.35,-1.73393
21.4,-1.36861
21.45,-1.22248
21.5,-0.858908
21.55,-0.96256
21.6,-1.20444
21.65,-0.827481
21.7,-0.631097
21.75,-1.03287
21.8,-1.52127
21.85,-1.32883
21.9,-1.27593
21.95,-1.7428
22,-2.08883
22.05,-1.53869
22.1,-1.58996
22.15,-1.48219
22.2,-2.06193
22.25,-1.98944
22.3,-1.30538
22.35,-1.59947
22.4,-1.3438
22.45,-1.37898
22.5,-1.53029
22.55,-1.53166
22.6,-1.1725
22.65,-0.689535
22.7,-0.33952
22.75,-0.664106
22.8,-0.615681
22.85,-0.299998
22.9,0.00622863
22.95,-0.0236
23,-0.122655
23.05,-0.844217
23.1,-0.781757
23.15,-0.315138
23.2,-0.217077
23.25,-0.140008
23.3,-0.662958
23.35,-1.07877
23.4,-1.1396
23.45,-1.1477
23.5,-0.786047
23.55,-0.687724
23.6,-0.591504
23.65,-0.710321
23.7,-0.681069
23.75,-0.986307
23.8,-0.401493
23.85,0.16096
23.9,0.00935758
23.95,0.409898
24,0.453863
24.05,0.310695
24.1,0.535098
24.15,0.846784
24.2,1.40258
24.25,1.65621
24.3,1.32338
24.35,1.12737
24.4,1.15479
24.45,1.23412
24.5,1.42975
24.55,1.48788
24.6,1.4281
24.65,1.2092
24.7,1.3399
24.75,1.07076
24.8,1.08943
24.85,1.22835
24.9,0.720759
24.95,1.29479
25,1.01154
25.05,0.859773
25.1,0.99252
25.15,1.41592
25.2,0.847871
25.25,1.2892
25.3,1.11766
25.35,1.28498
25.4,1.18346
25.45,1.02949
25.5,0.886568
25.55,1.38703
25.6,1.4045
25.65,1.2866
25.7,1.59646
25.75,1.60177
25.8,1.15045
25.85,1.49458
25.9,1.30953
25.95,1.12513
26,0.611258
26.05,0.722798
26.1,0.668476
26.15,0.853757
26.2,0.453697
26.25,0.76237
26.3,1.0042
26.35,0.698788
26.4,0.544321
26.45,0.572818
26.5,0.604472
26.55,0.462388
26.6,0.905539
26.65,1.14033
26.7,0.809931
26.75,1.02123
26.8,0.937936
26.85,0.772834
26.9,0.130305
26.95,0.66955
27,0.634837
27.05,0.569356
27.1,0.383349
27.15,0.611017
27.2,1.21709
27.25,1.09957
27.3,1.04857
27.35,0.750714
27.4,1.36473
27.45,1.25625
27.5,1.2585
27.55,1.67875
27.6,2.01947
27.65,2.35393
27.7,1.99665
27.75,1.80839
