tau,xI,Vg
-1.06383,-1.39278,7.71896
-1.05882,-1.39257,7.71553
-1.05382,-1.39236,7.71202
-1.04881,-1.39214,7.7084
-1.0438,-1.39192,7.70468
-1.0388,-1.39169,7.70085
-1.03379,-1.39146,7.69692
-1.02879,-1.39122,7.69288
-1.02378,-1.39097,7.68872
-1.01877,-1.39071,7.68445
-1.01377,-1.39045,7.68006
-1.00876,-1.39018,7.67554
-1.00375,-1.3899,7.6709
-0.998748,-1.38961,7.66613
-0.993742,-1.38932,7.66122
-0.988736,-1.38902,7.65618
-0.98373,-1.3887,7.65099
-0.978723,-1.38838,7.64566
-0.973717,-1.38806,7.64019
-0.968711,-1.38772,7.63455
-0.963705,-1.38737,7.62877
-0.958698,-1.38701,7.62282
-0.953692,-1.38664,7.6167
-0.948686,-1.38627,7.61041
-0.94368,-1.38588,7.60395
-0.938673,-1.38548,7.59731
-0.933667,-1.38507,7.59048
-0.928661,-1.38465,7.58347
-0.923655,-1.38421,7.57626
-0.918648,-1.38377,7.56884
-0.913642,-1.38331,7.56123
-0.908636,-1.38284,7.5534
-0.90363,-1.38235,7.54535
-0.898623,-1.38185,7.53708
-0.893617,-1.38134,7.52859
-0.888611,-1.38081,7.51985
-0.883605,-1.38027,7.51088
-0.878598,-1.37971,7.50166
-0.873592,-1.37914,7.49218
-0.868586,-1.37855,7.48244
-0.863579,-1.37795,7.47244
-0.858573,-1.37733,7.46216
-0.853567,-1.37669,7.45159
-0.848561,-1.37603,7.44074
-0.843554,-1.37535,7.42959
-0.838548,-1.37466,7.41813
-0.833542,-1.37395,7.40636
-0.828536,-1.37321,7.39426
-0.823529,-1.37246,7.38184
-0.818523,-1.37168,7.36908
-0.813517,-1.37089,7.35597
-0.808511,-1.37007,7.3425
-0.803504,-1.36923,7.32866
-0.798498,-1.36836,7.31446
-0.793492,-1.36747,7.29986
-0.788486,-1.36656,7.28487
-0.783479,-1.36562,7.26947
-0.778473,-1.36465,7.25366
-0.773467,-1.36366,7.23742
-0.768461,-1.36264,7.22075
-0.763454,-1.36159,7.20363
-0.758448,-1.36052,7.18604
-0.753442,-1.35941,7.16799
-0.748436,-1.35827,7.14945
-0.743429,-1.35711,7.13042
-0.738423,-1.35591,7.11088
-0.733417,-1.35467,7.09082
-0.728411,-1.3534,7.07023
-0.723404,-1.3521,7.04909
-0.718398,-1.35076,7.0274
-0.713392,-1.34939,7.00513
-0.708385,-1.34798,6.98227
-0.703379,-1.34653,6.95882
-0.698373,-1.34504,6.93475
-0.693367,-1.34351,6.91005
-0.68836,-1.34193,6.8847
-0.683354,-1.34032,6.8587
-0.678348,-1.33866,6.83202
-0.673342,-1.33695,6.80465
-0.668335,-1.3352,6.77658
-0.663329,-1.3334,6.74778
-0.658323,-1.33156,6.71825
-0.653317,-1.32966,6.68795
-0.64831,-1.32771,6.65689
-0.643304,-1.32571,6.62504
-0.638298,-1.32366,6.59238
-0.633292,-1.32155,6.55889
-0.628285,-1.31938,6.52456
-0.623279,-1.31715,6.48938
-0.618273,-1.31487,6.45331
-0.613267,-1.31253,6.41635
-0.60826,-1.31012,6.37847
-0.603254,-1.30765,6.33965
-0.598248,-1.30511,6.29988
-0.593242,-1.30251,6.25914
-0.588235,-1.29983,6.21741
-0.583229,-1.29709,6.17467
-0.578223,-1.29428,6.13089
-0.573217,-1.29139,6.08607
-0.56821,-1.28842,6.04017
-0.563204,-1.28538,5.99319
-0.558198,-1.28226,5.94509
-0.553191,-1.27905,5.89587
-0.548185,-1.27577,5.8455
-0.543179,-1.2724,5.79396
-0.538173,-1.26894,5.74123
-0.533166,-1.26539,5.68729
-0.52816,-1.26175,5.63212
-0.523154,-1.25802,5.57571
-0.518148,-1.2542,5.51803
-0.513141,-1.25027,5.45907
-0.508135,-1.24625,5.3988
-0.503129,-1.24212,5.33722
-0.498123,-1.23789,5.27429
-0.493116,-1.23356,5.21001
-0.48811,-1.22912,5.14435
-0.483104,-1.22456,5.07731
-0.478098,-1.21989,5.00886
-0.473091,-1.21511,4.93898
-0.468085,-1.21021,4.86767
-0.463079,-1.20519,4.79491
-0.458073,-1.20005,4.72069
-0.453066,-1.19478,4.64499
-0.44806,-1.18938,4.5678
-0.443054,-1.18386,4.48911
-0.438048,-1.1782,4.40892
-0.433041,-1.17241,4.32721
-0.428035,-1.16647,4.24397
-0.423029,-1.1604,4.15921
-0.418023,-1.15419,4.07291
-0.413016,-1.14783,3.98507
-0.40801,-1.14132,3.8957
-0.403004,-1.13466,3.80478
-0.397997,-1.12785,3.71232
-0.392991,-1.12089,3.61833
-0.387985,-1.11376,3.52281
-0.382979,-1.10648,3.42576
-0.377972,-1.09903,3.3272
-0.372966,-1.09142,3.22713
