tau,C1,C1_err,C2raw,C2raw_err,C2conn,C2conn_err,C3,C3_err
3.25,0.324429,0.04775,3.63925,0.0467769,-0.0388313,0.012971,1.9468,0.317872
3.3,0.313662,0.0481594,3.639,0.047102,-0.0390823,0.0131202,1.89472,0.320994
3.35,0.30327,0.0485879,3.64201,0.0468945,-0.0360664,0.0131344,1.84031,0.323569
3.4,0.293322,0.049004,3.64376,0.0467275,-0.0343218,0.0129827,1.78718,0.326031
3.45,0.284004,0.0493816,3.64754,0.0471276,-0.0305408,0.0126093,1.75114,0.328023
3.5,0.274981,0.0497422,3.65157,0.0478001,-0.0265143,0.0125335,1.69726,0.333185
3.55,0.266454,0.0501189,3.65364,0.0483803,-0.024443,0.0125924,1.65152,0.338135
3.6,0.258078,0.0504329,3.65252,0.0487773,-0.0255569,0.0125563,1.61676,0.341322
3.65,0.249984,0.050676,3.65327,0.0489413,-0.024805,0.01259,1.58004,0.3433
3.7,0.242291,0.0508639,3.65605,0.0490696,-0.0220283,0.0126054,1.55431,0.343288
3.75,0.234666,0.0510841,3.66055,0.0493807,-0.0175272,0.0126962,1.50941,0.344379
3.8,0.227251,0.0512922,3.66504,0.0496386,-0.0130389,0.0128974,1.47425,0.345775
3.85,0.220079,0.0514691,3.67006,0.0499523,-0.00801804,0.0129847,1.43501,0.345306
3.9,0.212779,0.0516249,3.67138,0.0501998,-0.00670064,0.0130347,1.37692,0.345184
3.95,0.205998,0.0518289,3.67706,0.0500896,-0.00102401,0.0128008,1.329,0.347788
4,0.199118,0.0519843,3.67804,0.0501557,-3.83069e-05,0.0125682,1.28416,0.349853
4.05,0.192621,0.0521577,3.67965,0.0500769,0.00156914,0.0124697,1.25463,0.354393
4.1,0.186063,0.0522873,3.68027,0.0499552,0.00218672,0.0123416,1.21488,0.356296
4.15,0.179734,0.0523726,3.68233,0.0497861,0.00425506,0.0122861,1.19127,0.355557
4.2,0.173373,0.0524932,3.68605,0.0496677,0.00796782,0.0121686,1.15463,0.355957
4.25,0.166902,0.0525984,3.68767,0.0495894,0.00959041,0.0123548,1.10594,0.356872
4.3,0.161264,0.0527102,3.68708,0.0497051,0.00900217,0.0125308,1.08743,0.357631
4.35,0.155857,0.0528301,3.68298,0.0496099,0.00489848,0.0122899,1.0686,0.35556
4.4,0.150593,0.0529138,3.67911,0.0497781,0.00102604,0.0120818,1.05283,0.354505
4.45,0.144663,0.0529705,3.67865,0.0499615,0.000573736,0.0123583,1.01522,0.354276
4.5,0.138962,0.0530092,3.67652,0.0499635,-0.00156234,0.0127515,0.962596,0.353965
4.55,0.133629,0.0530143,3.67622,0.0500548,-0.00185834,0.0128955,0.925709,0.35356
4.6,0.128564,0.0530247,3.6741,0.0502753,-0.00397952,0.013009,0.893676,0.353157
4.65,0.122872,0.0530578,3.67345,0.0501944,-0.00462534,0.0130455,0.831051,0.354441
4.7,0.117298,0.0531152,3.67301,0.0498496,-0.00506468,0.0129238,0.780211,0.3558
4.75,0.112296,0.0531843,3.67185,0.0492228,-0.00623268,0.0129057,0.738553,0.355824
4.8,0.107723,0.0532441,3.66687,0.0489075,-0.0112066,0.012467,0.693436,0.356377
4.85,0.103442,0.0533187,3.66226,0.0484836,-0.0158199,0.0119728,0.669973,0.356622
4.9,0.0992273,0.0533762,3.66046,0.0481101,-0.0176166,0.0117047,0.647209,0.357924
4.95,0.0951744,0.0534587,3.65866,0.0478722,-0.0194159,0.0116139,0.637059,0.360295
5,0.0906909,0.0535194,3.65531,0.0480303,-0.0227722,0.0117709,0.619408,0.360713
5.05,0.0868398,0.053554,3.65396,0.0479233,-0.0241188,0.0116131,0.618226,0.359482
5.1,0.0834839,0.0535481,3.65326,0.0477717,-0.0248171,0.0117469,0.652201,0.357618
5.15,0.0799864,0.0535209,3.65199,0.0475344,-0.0260895,0.011878,0.637561,0.354258
5.2,0.0762478,0.0535485,3.65553,0.0472136,-0.0225529,0.0122489,0.600117,0.353085
5.25,0.0733688,0.0536121,3.65933,0.0473958,-0.0187516,0.0123487,0.600162,0.354142
5.3,0.0708623,0.0537282,3.66159,0.0474766,-0.0164904,0.0126253,0.590818,0.356173
5.35,0.0683852,0.0538426,3.66001,0.0473465,-0.0180667,0.0123436,0.597814,0.3565
5.4,0.0660077,0.053946,3.65875,0.0475838,-0.0193268,0.0124504,0.599865,0.355
5.45,0.0633275,0.0540294,3.65829,0.0478751,-0.0197862,0.0124099,0.590164,0.352657
5.5,0.060307,0.0541257,3.65924,0.0480142,-0.0188387,0.011829,0.564023,0.351028
5.55,0.057279,0.0542286,3.66208,0.0481228,-0.0160039,0.0116344,0.532026,0.349554
5.6,0.0546927,0.0542999,3.66187,0.0482608,-0.0162059,0.0117981,0.528027,0.348727
5.65,0.0520468,0.0543625,3.66216,0.0483622,-0.0159183,0.0119003,0.523993,0.349721
5.7,0.0489326,0.0544809,3.66551,0.0483856,-0.012574,0.0118033,0.490621,0.351988
5.75,0.0460697,0.0546403,3.66626,0.0481956,-0.0118216,0.0117474,0.460475,0.354826
5.8,0.0433823,0.054801,3.66635,0.0481788,-0.0117343,0.0117449,0.417478,0.35665
5.85,0.0410027,0.0549267,3.66139,0.0479383,-0.016691,0.0116928,0.392518,0.357176
5.9,0.0384803,0.0550595,3.65772,0.0477753,-0.0203624,0.0116987,0.376314,0.359091
5.95,0.0364825,0.0552017,3.65486,0.0475897,-0.0232178,0.0119645,0.360114,0.358646
6,0.0344555,0.0553532,3.64862,0.0473605,-0.0294631,0.0122026,0.355237,0.358395
6.05,0.0325947,0.0555482,3.64609,0.047143,-0.0319858,0.0120158,0.354321,0.359548
6.1,0.0299922,0.0557547,3.64527,0.0469106,-0.0328137,0.011822,0.33012,0.361951
6.15,0.0278961,0.0559445,3.64401,0.0463186,-0.034066,0.0112875,0.332789,0.364836
6.2,0.0262575,0.0561915,3.65022,0.0462655,-0.0278641,0.0110518,0.328646,0.371594
6.25,0.0246227,0.0564129,3.65586,0.0461158,-0.0222218,0.0110561,0.299736,0.37598
6.3,0.0227823,0.0566416,3.65812,0.0464079,-0.0199637,0.0110172,0.266433,0.380414
6.35,0.0210667,0.0568155,3.6571,0.0469603,-0.0209768,0.0110285,0.23938,0.38114
6.4,0.0197385,0.0569489,3.65379,0.0472384,-0.0242903,0.0109048,0.216384,0.377292
6.45,0.0184163,0.0570585,3.65215,0.0472002,-0.025928,0.0110802,0.188086,0.374419
6.5,0.0173139,0.0572021,3.65269,0.046858,-0.0253863,0.0116849,0.178407,0.372509
6.55,0.0163483,0.0573445,3.65366,0.0465296,-0.0244159,0.0121626,0.173047,0.37148
6.6,0.0152005,0.0574752,3.65345,0.0464303,-0.0246269,0.0121902,0.162393,0.367351
6.65,0.0150863,0.05767,3.65747,0.0467712,-0.0206076,0.0122701,0.177603,0.366569
6.7,0.014745,0.0578905,3.6598,0.0470618,-0.018284,0.0122358,0.18192,0.367482
6.75,0.0145283,0.0580912,3.66024,0.0472917,-0.0178409,0.0120494,0.202215,0.367112
6.8,0.0137827,0.0582984,3.66186,0.0475217,-0.0162235,0.0120427,0.218268,0.365922
6.85,0.0130305,0.0584551,3.66015,0.0476799,-0.0179332,0.0121988,0.221189,0.36506
6.9,0.0123681,0.0586188,3.65796,0.0478296,-0.0201168,0.0123294,0.225195,0.366151
6.95,0.011649,0.0587811,3.65661,0.047858,-0.0214653,0.0124255,0.212272,0.366424
7,0.010428,0.0588957,3.65512,0.0475801,-0.0229592,0.0120105,0.19365,0.36473
7.05,0.00923388,0.0590709,3.65272,0.0470752,-0.0253581,0.0115596,0.166795,0.365703
7.1,0.0079478,0.0593061,3.65343,0.0471366,-0.0246453,0.0120533,0.13101,0.369261
7.15,0.0068822,0.0595093,3.64863,0.0471213,-0.0294484,0.0123379,0.102606,0.371472
7.2,0.00559164,0.0596897,3.64695,0.0472057,-0.0311319,0.0123385,0.0637089,0.373303
7.25,0.0047906,0.0598427,3.64167,0.0469535,-0.036411,0.0124,0.0275531,0.372624
7.3,0.00376188,0.0600881,3.63767,0.0466502,-0.0404093,0.0122983,-0.0242306,0.375788
7.35,0.00273455,0.0602665,3.63613,0.0464021,-0.0419525,0.0123186,-0.0537142,0.375627
7.4,0.00194912,0.0604832,3.63783,0.0465567,-0.0402528,0.0119959,-0.0637068,0.37888
7.45,0.0017514,0.0606902,3.64413,0.0467088,-0.0339494,0.0117057,-0.0617013,0.382617
7.5,0.00125799,0.060838,3.64611,0.0467705,-0.0319658,0.0114641,-0.0631539,0.384054
7.55,0.000929457,0.0610237,3.64359,0.0466102,-0.0344932,0.0112661,-0.0744221,0.38563
7.6,0.0012223,0.0611879,3.64116,0.046286,-0.0369166,0.0108342,-0.0502674,0.386987
7.65,0.00111456,0.0613704,3.63956,0.0459498,-0.0385167,0.0107347,-0.0496132,0.389694
7.7,0.00167748,0.0615025,3.6367,0.0458961,-0.0413799,0.0105654,-0.0415787,0.390718
7.75,0.00229685,0.061655,3.63605,0.0459544,-0.0420289,0.0102604,-0.0224537,0.390546
