tau,mean,std_err
10.35,-0.00812788,0.0431093
10.4,-0.00901793,0.0429518
10.45,-0.0103312,0.0428688
10.5,-0.0113178,0.0428024
10.55,-0.0112323,0.0427649
10.6,-0.0112652,0.0427288
10.65,-0.011245,0.0427743
10.7,-0.0119221,0.0427455
10.75,-0.0121699,0.0426631
10.8,-0.012428,0.0426002
10.85,-0.012721,0.0426211
10.9,-0.0125385,0.0426063
10.95,-0.0121929,0.0426696
11,-0.0113725,0.0426757
11.05,-0.0105845,0.0426889
11.1,-0.00881038,0.0427547
11.15,-0.00766327,0.0428208
11.2,-0.00679301,0.0430111
11.25,-0.00602924,0.0431362
11.3,-0.00486637,0.0432211
11.35,-0.00386244,0.0432393
11.4,-0.00313557,0.0431634
11.45,-0.00274631,0.0429673
11.5,-0.00191595,0.0428328
11.55,-0.000632106,0.0426577
11.6,0.000791611,0.0425531
11.65,0.0013808,0.0425835
11.7,0.0018066,0.0426167
11.75,0.00259782,0.0427171
11.8,0.00302239,0.0428699
11.85,0.00336022,0.0428911
11.9,0.00333684,0.0430604
11.95,0.00337504,0.0431312
12,0.00313785,0.0431079
12.05,0.00289383,0.0430834
12.1,0.00212631,0.043108
12.15,0.0010899,0.0431328
12.2,0.000175591,0.0431926
12.25,-0.000816684,0.0432842
12.3,-0.000638849,0.0433826
12.35,-0.000892092,0.0435096
12.4,-0.00143631,0.04352
12.45,-0.00138503,0.0435453
12.5,-0.00122103,0.0435978
12.55,-0.00106029,0.0437121
12.6,-0.000540591,0.0438551
12.65,-0.00056366,0.043921
12.7,-0.000430065,0.0439721
12.75,0.000629035,0.0439777
12.8,0.00171323,0.0439708
12.85,0.002658,0.0439867
12.9,0.00418554,0.0439944
12.95,0.00494815,0.0439803
13,0.0059695,0.0440687
13.05,0.00666841,0.0441411
13.1,0.00662223,0.0441434
13.15,0.00601576,0.0441381
13.2,0.00487696,0.0442277
13.25,0.00370421,0.0443287
13.3,0.00345242,0.0445384
13.35,0.00306661,0.044666
13.4,0.00350935,0.0447294
13.45,0.00372103,0.0447003
13.5,0.00316306,0.0446177
13.55,0.00268205,0.044484
13.6,0.00233721,0.0443433
13.65,0.0019157,0.0442034
13.7,0.0014583,0.0441114
13.75,0.00117652,0.0439825
13.8,0.000679107,0.0438409
13.85,0.000931121,0.0437906
13.9,0.00113121,0.0437712
13.95,0.00164383,0.0438644
14,0.00162621,0.0439834
14.05,0.000768595,0.0441259
14.1,0.00047773,0.0444152
14.15,-0.000241689,0.0447495
14.2,-0.000690148,0.0450387
14.25,-0.0011008,0.0453149
14.3,-0.00105383,0.0455498
14.35,-0.00172759,0.0457133
14.4,-0.00172698,0.0459032
14.45,-0.00231662,0.0460692
14.5,-0.00367793,0.04633
14.55,-0.00458281,0.0465349
14.6,-0.00555896,0.0467753
14.65,-0.00579446,0.0469258
14.7,-0.00634402,0.0469996
14.75,-0.00682513,0.0470102
14.8,-0.00747748,0.0469404
14.85,-0.00822638,0.0468639
14.9,-0.0084902,0.0466895
14.95,-0.00871465,0.0465421
15,-0.0084202,0.0464516
15.05,-0.00740432,0.0464199
15.1,-0.00686874,0.0464578
15.15,-0.00570291,0.0464497
15.2,-0.00476,0.0464673
15.25,-0.00348393,0.0464726
15.3,-0.00165835,0.0464487
15.35,-0.000118868,0.0464312
15.4,0.00121888,0.0464428
15.45,0.00246375,0.0465024
15.5,0.0037059,0.0465975
