tau,C1,C1_err,C2raw,C2raw_err,C2conn,C2conn_err,C3,C3_err
29.6,-0.0785285,0.109645,3.30807,0.00291363,-0.00482482,0.00289288,-0.297607,0.412109
29.65,-0.0786895,0.110143,3.30812,0.00293319,-0.0047789,0.00290805,-0.298447,0.41408
29.7,-0.0792147,0.110554,3.30814,0.00294313,-0.00476008,0.00291372,-0.300147,0.415788
29.75,-0.0797631,0.110914,3.30813,0.00294191,-0.00476815,0.00290843,-0.301707,0.417339
29.8,-0.0799884,0.111214,3.3081,0.0029288,-0.00480114,0.00289153,-0.302138,0.418604
29.85,-0.0802316,0.111463,3.30804,0.00290442,-0.0048552,0.00286374,-0.302601,0.41964
29.9,-0.0802886,0.11161,3.30797,0.00287116,-0.00492483,0.00282755,-0.302381,0.420239
29.95,-0.080093,0.111659,3.3079,0.00283324,-0.00500332,0.00278728,-0.301004,0.420467
30,-0.080074,0.111656,3.30781,0.00279638,-0.00508354,0.00274876,-0.300407,0.420469
30.05,-0.0800283,0.111606,3.30774,0.00276689,-0.00515887,0.00271839,-0.299853,0.420259
30.1,-0.0799504,0.111508,3.30767,0.00275038,-0.00522424,0.00270177,-0.299367,0.419853
30.15,-0.0798374,0.111361,3.30762,0.00275034,-0.00527688,0.00270233,-0.298963,0.419264
30.2,-0.0796888,0.111166,3.30758,0.00276712,-0.00531695,0.00272026,-0.298631,0.418501
30.25,-0.0793103,0.110911,3.30755,0.00279774,-0.00534755,0.00275228,-0.297568,0.417527
30.3,-0.0789016,0.110609,3.30752,0.00283652,-0.00537447,0.00279246,-0.29643,0.416384
30.35,-0.0784664,0.110259,3.30749,0.00287634,-0.00540537,0.00283341,-0.295089,0.41507
30.4,-0.0782034,0.109845,3.30745,0.00291008,-0.00544877,0.00286783,-0.294165,0.413522
30.45,-0.0783088,0.109281,3.30739,0.00293169,-0.00551291,0.00288956,-0.294296,0.411408
30.5,-0.078583,0.108636,3.30729,0.00293697,-0.00560466,0.00289438,-0.294659,0.408991
30.55,-0.0788224,0.10789,3.30717,0.00292382,-0.00572862,0.00288022,-0.294487,0.40621
