step,S
0,430.5790389175314
1,236.80362136221012
2,208.15479108360964
3,100.44549563261609
4,94.25119708924576
5,89.70565942482727
6,85.83932580222495
7,82.48302024483603
8,79.52711987614438
9,76.89193554807241
10,74.51784093638176
11,72.35912675449316
12,70.37994772232327
13,68.55162066625374
14,66.85080655315453
15,65.25827174678878
16,63.75802906393399
17,62.33672837986962
18,60.98321208024879
19,59.68818055543154
20,58.443932403641895
21,57.24415654385429
22,56.08376149449165
23,54.95873285734951
24,53.86601832939014
25,52.80347577947015
26,51.77016844962219
27,50.769275228883046
28,49.833648952562946
29,49.272096091991
30,48.88480579053102
31,48.63109289659751
32,47.67423241524338
33,47.41345084879893
34,47.16135311178407
35,46.9033975861118
36,46.63910884128346
37,46.36858439307636
38,46.09198514844798
39,45.80950575806272
40,45.521372937887
41,45.22784592574035
42,44.92921690441902
43,44.62581110850246
44,44.317986540342545
45,44.006133261785344
46,43.690672254715196
47,43.37205387713814
48,43.050755988588634
49,42.72728188710361
50,42.40215831820901
51,42.07593412872879
52,41.74918149049146
53,41.42250949869483
54,41.09665377566749
55,40.77311991608847
56,40.459424688741876
57,40.21732171315131
58,40.06691392188112
59,39.93661449880881
60,39.847937132735304
61,39.56483749905288
62,39.47125785423769
63,39.381395815129466
64,39.28925063387875
65,39.19451554174351
66,39.09719830189034
67,38.99734561266106
68,38.89502343148657
69,38.79031653563138
70,38.68333019660098
71,38.57419225201632
72,38.4630553327096
73,38.350099174695224
74,38.2355329564436
75,38.119597584698774
76,38.00256782813733
77,37.88475418096556
78,37.766504377063704
79,37.648204815147125
80,37.53028417246938
81,37.41323372083723
82,37.297740137937524
83,37.185626886158204
84,37.08724872852222
85,37.08658811792169
86,37.03626457292985
87,37.012656527087884
88,36.8313975442249
89,36.80192178465928
90,36.77353912517813
91,36.744567398977914
92,36.71499380972176
93,36.68485174184836
94,36.65418153393684
95,36.62302889600525
96,36.59144482528512
97,36.55948553148849
98,36.52721226110524
99,36.49469099310998
100,36.4619919849543
101,36.42918914847176
102,36.39635923620085
103,36.36358082044006
104,36.330933050361196
105,36.2984941769062
106,36.26633984112009
107,36.234541129266326
108,36.20316240871762
109,36.172258979923626
110,36.14187466445625
111,36.112039987432176
112,36.082775791527595
113,36.05414387854246
114,36.02674851522576
115,36.007088805008415
116,35.99672005621916
117,35.99069983809491
118,35.96390724301288
119,35.9557214566952
120,35.947982845117174
121,35.94002225197642
122,35.931790797679
123,35.92327462094887
124,35.9144617190702
125,35.90533897043299
126,35.89589154050216
127,35.886102510641976
128,35.87595249702364
129,35.865419222746404
130,35.854477031369456
131,35.84309633337569
132,35.83124297699695
133,35.818877534633906
134,35.805954498992534
135,35.79242140228122
136,35.77821797634739
137,35.763276057775144
138,35.74752452367419
139,35.73092779070974
140,35.71376926162692
141,35.69893083440256
142,35.68828934249337
143,35.677885841680265
144,35.66778325829566
145,35.658698652346644
146,35.65285846139569
147,35.63145544448983
148,35.62346765514967
149,35.61575646736223
150,35.60764065665591
151,35.599036288484285
152,35.58990056184071
153,35.58019167046284
154,35.56986433893525
155,35.55886876413716
156,35.547149927359484
157,35.53464689056349
158,35.52129200346089
159,35.50700999277281
160,35.49171691116402
161,35.47531892470217
162,35.45771092779031
163,35.438775032303
164,35.418379273774775
165,35.396378462237834
166,35.37262836940709
167,35.34708443646187
168,35.320488732459395
169,35.299629326735484
170,35.28091704785487
171,35.26307664928474
172,35.2457832970184
173,35.229896629725175
174,35.21846004321979
175,35.18254263780684
176,35.169041379477136
177,35.15569251849698
178,35.1415404089401
179,35.1264587561583
180,35.11036698739862
181,35.09318185682284
182,35.07481233656946
183,35.05515807834486
184,35.03410815476981
185,35.01153969439699
186,34.98731633198687
187,34.96128643407541
188,34.933281062456714
189,34.90311163510547
190,34.87056724188646
191,34.835411580679725
192,34.79737954000896
193,34.75617378605975
194,34.71146359269264
195,34.662899829237844
196,34.61024053406054
197,34.554300595224845
198,34.50475680502231
199,34.46889749413699
200,34.43342634246217
201,34.39885200321121
202,34.36824788166366
203,34.351038791059935
204,34.26882619748888
205,34.239276905550525
206,34.21104243217684
207,34.181225891766985
208,34.149457002675376
209,34.11555345512923
210,34.07934099519801
211,34.04063296773626
212,33.99922609920495
213,33.95489836473739
214,33.90740711652312
215,33.856487193044025
216,33.80184898167349
217,33.74317647779823
218,33.680125449970404
219,33.61232198746077
220,33.53936233091362
221,33.4608177479254
222,33.37626326628465
223,33.28543793660631
224,33.18922965650714
225,33.09647892384875
226,33.07688955413946
227,32.996920717206315
228,32.93304396749958
229,32.884821750713314
230,32.86496364643893
231,32.66192688730125
232,32.61633884638788
233,32.57240150828385
234,32.52616203830821
235,32.4773114217235
236,32.42569176162437
237,32.37115059287012
238,32.313532080865976
239,32.252677174600414
240,32.18842491116547
241,32.12061426791602
242,32.04908657848119
243,31.97368861056234
244,31.894276426170194
245,31.81072015753352
246,31.722909838884167
247,31.630762434212066
248,31.5342301930282
249,31.433310461477937
250,31.328057160674994
251,31.21859486483691
252,31.105141415890806
253,30.988080964844965
254,30.868412490393066
255,30.751381254750683
256,30.680425400974563
257,30.62514760782712
258,30.585399144648022
259,30.578772774861843
260,30.39464816481607
261,30.353575106239994
262,30.31655721723969
263,30.278698747042178
264,30.239735272077958
265,30.199674318641385
266,30.15855654299735
267,30.116437365588553
268,30.07338594285057
269,30.02948597339254
270,29.984836685551997
271,29.939553734753616
272,29.893769909106766
273,29.847635560728158
274,29.801318678173647
275,29.75500451613088
276,29.70889472328505
277,29.663206036950545
278,29.618169241367767
279,29.574032473511245
280,29.531093329512814
281,29.48992093641946
282,29.45295317028009
283,29.43722168728781
284,29.4152796106695
285,29.398187125475033
286,29.38647081217612
287,29.38419639754445
288,29.331249765297915
289,29.32103720787068
290,29.31192494220498
291,29.30278459241655
292,29.293580981949923
293,29.284331784267195
294,29.275060024110207
295,29.26579066461658
296,29.256550144980828
297,29.247366160974245
298,29.23826743628682
299,29.229283452217658
300,29.22044413005416
301,29.211779465757736
302,29.203319119107313
303,29.195091961934143
304,29.18712559345053
305,29.179445837453926
306,29.172076258783278
307,29.165037843137462
308,29.15834958906412
309,29.152034634986308
310,29.146164277159997
311,29.14119389787401
312,29.140824877596145
313,29.138194106783068
314,29.136706699461946
315,29.12923771500106
316,29.12796179583546
317,29.12672191782879
318,29.125467520844573
319,29.12419918684847
320,29.122918619599936
321,29.121627626953128
322,29.120328063377023
323,29.119021803778736
324,29.11771071567158
325,29.116396627823832
326,29.115081295299788
327,29.113766361033463
328,29.112453314197307
329,29.11114344574678
330,29.109837801644417
331,29.108537134389188
332,29.107241853594434
333,29.10595197646166
334,29.104667079081814
335,29.10338624955874
336,29.102108044025776
337,29.100830446996135
338,29.099550840199953
339,29.09826600537998
340,29.096972369591832
341,29.095668450041575
342,29.09438012557878
343,29.093452544082023
344,29.093023159560023
345,29.0929324761046
346,29.091274057474642
347,29.09081028386518
348,29.09039438267794
349,29.08996535448272
350,29.08951741528318
351,29.089048986205725
352,29.0885588758358
353,29.088045873362102
354,29.08750868428905
355,29.086945910824028
356,29.086356038961704
357,29.085737426145066
358,29.085088288310416
359,29.084406686176543
360,29.083690511386237
361,29.08293747536863
362,29.082145113487826
363,29.08131086360285
364,29.080432525419717
365,29.07951086321527
366,29.078565652096533
367,29.07774608847942
368,29.077111821897425
369,29.0765038155085
370,29.07589538326254
371,29.075283126128213
372,29.074683177757937
373,29.074150377732792
374,29.0738496743271
375,29.072628622115005
376,29.07214704916194
377,29.071696446653824
378,29.071227322459826
379,29.07073344891682
380,29.070212633692343
381,29.069663113238967
382,29.069083096742418
383,29.06847068426744
384,29.067823841187938
385,29.067140382329413
386,29.066417957457382
387,29.06565403663942
388,29.064845896536234
389,29.06399061356862
390,29.06308508922761
391,29.062126221595364
392,29.0611117892045
393,29.06004516313553
394,29.058962941395443
395,29.058116101781195
396,29.057295365545905
397,29.056546990234573
398,29.055811205304163
399,29.055072690535297
400,29.054341483959384
401,29.053664853866042
402,29.053185597309785
403,29.05187839229087
404,29.051324191745174
405,29.050788052269162
406,29.050226595802336
407,29.04963445632722
408,29.049009288330456
409,29.04834897169067
410,29.047651292730208
411,29.04691388656618
412,29.04613421442364
413,29.04530954568809
414,29.044436939531405
415,29.04351322496288
416,29.042534979097752
417,29.041498504349004
418,29.040399808407756
419,29.039234604853704
420,29.037998420660642
421,29.036687266918356
