tauZ,Sint_over_S0
0.4,-0.627357
1.2,-0.00704334
2,0.0335959
2.8,0.0997997
3.6,0.168795
4.4,0.179849
5.2,0.164547
6,0.300142
6.8,0.221439
7.6,0.299408
8.4,0.365288
9.2,0.336808
10,0.473094
10.8,0.343115
11.6,0.338575
12.4,0.359344
13.2,0.149806
14,0.290047
14.8,0.524409
15.6,0.624916
16.4,0.266265
17.2,0.413585
18,0.413585
