tau,C1,C1_err,C2conn,C2conn_err,C3,C3_err
17.65,0.0436449,0.0576991,-0.00456079,0.0117709,0.211608,0.264504
17.7,0.0440863,0.0580805,-0.00548489,0.0117316,0.198729,0.265362
17.75,0.0443799,0.0584466,-0.00665456,0.0114623,0.189787,0.267225
17.8,0.0453465,0.0588227,-0.00987345,0.0114998,0.186766,0.269492
17.85,0.045846,0.059184,-0.0114555,0.0116425,0.16306,0.269926
17.9,0.0459972,0.0595514,-0.0115059,0.0120962,0.160061,0.272106
17.95,0.045859,0.0599173,-0.00994275,0.0123119,0.153525,0.273263
18,0.0456769,0.0602591,-0.00861611,0.0125735,0.14433,0.271832
18.05,0.0458892,0.060675,-0.00724873,0.0126155,0.149553,0.272453
18.1,0.0470077,0.0611397,-0.0060399,0.0121942,0.171308,0.272419
18.15,0.0475897,0.0615513,-0.0036882,0.0114495,0.192583,0.272133
18.2,0.0478111,0.0619845,0.00130538,0.0107687,0.192427,0.271749
18.25,0.0476039,0.0623558,-0.000863932,0.0104794,0.187763,0.271497
18.3,0.047344,0.0627102,-0.00453512,0.0101838,0.175298,0.271991
18.35,0.0475656,0.0631762,-0.00397762,0.010323,0.182422,0.2745
18.4,0.0473921,0.0637295,-0.00440879,0.0110826,0.170482,0.27766
18.45,0.0475675,0.0641766,-0.00594353,0.0113933,0.168846,0.283031
18.5,0.0464605,0.0644998,-0.00706096,0.0117234,0.154388,0.285616
18.55,0.0452206,0.0648959,-0.0056551,0.0119224,0.141884,0.289681
18.6,0.0437303,0.0651144,-0.00644168,0.0126963,0.139977,0.289239
18.65,0.0426248,0.0653913,-0.00851456,0.0132514,0.130553,0.289052
18.7,0.0408434,0.0656137,-0.00966283,0.013517,0.101609,0.288707
18.75,0.0389392,0.0659551,-0.00535501,0.014164,0.0847146,0.292474
18.8,0.0371536,0.0662353,-0.00172086,0.0143143,0.0616274,0.294492
18.85,0.0353897,0.0664575,0.00117102,0.0147551,0.0438601,0.296202
18.9,0.0344063,0.0667139,0.00344351,0.014415,0.03936,0.298195
18.95,0.0340549,0.0668963,0.00418467,0.0145228,0.047441,0.299964
19,0.0328885,0.0670157,0.00399247,0.0143113,0.0472565,0.300105
19.05,0.0313247,0.0669472,0.000651266,0.0138513,0.032249,0.295719
19.1,0.030121,0.0669536,-0.000733918,0.0134293,0.0429816,0.293896
19.15,0.0298602,0.0669973,-0.00404721,0.0129,0.0550545,0.2931
19.2,0.0296629,0.0669752,-0.00639321,0.0125881,0.0524568,0.291595
19.25,0.0294208,0.066993,-0.0111966,0.012391,0.0468476,0.289294
19.3,0.0295301,0.067052,-0.0167508,0.0120739,0.0517571,0.28837
19.35,0.0294647,0.067202,-0.0181399,0.0119547,0.0550896,0.290064
19.4,0.0291257,0.0672527,-0.019839,0.0125953,0.0450654,0.292095
19.45,0.0288178,0.0672167,-0.0209542,0.013279,0.0443014,0.292137
19.5,0.0287451,0.0672199,-0.0219612,0.0133303,0.0458106,0.29132
19.55,0.0293525,0.067154,-0.0220651,0.0137193,0.0687761,0.292063
19.6,0.0293636,0.0671694,-0.0217749,0.0140522,0.0680365,0.293575
19.65,0.0290864,0.0672334,-0.0192748,0.0143864,0.0586017,0.296652
19.7,0.0291471,0.0672578,-0.0167264,0.0141667,0.0709108,0.298306
19.75,0.0291047,0.0672173,-0.0119236,0.0141839,0.0760989,0.298574
19.8,0.029077,0.0672377,-0.0120779,0.0146146,0.0805819,0.298921
19.85,0.0287788,0.0673577,-0.011582,0.0151099,0.069996,0.299901
19.9,0.0285915,0.0673244,-0.0133941,0.0155651,0.0710691,0.298194
19.95,0.02846,0.0672272,-0.0162356,0.015938,0.0699318,0.296149
20,0.0287967,0.0671463,-0.016231,0.0156732,0.073163,0.294532
20.05,0.02846,0.0672272,-0.0162356,0.015938,0.0699318,0.296149
20.1,0.0285915,0.0673244,-0.0133941,0.0155651,0.0710691,0.298194
20.15,0.0287788,0.0673577,-0.011582,0.0151099,0.069996,0.299901
20.2,0.029077,0.0672377,-0.0120779,0.0146146,0.0805819,0.298921
20.25,0.0291047,0.0672173,-0.0119236,0.0141839,0.0760989,0.298574
20.3,0.0291471,0.0672578,-0.0167264,0.0141667,0.0709108,0.298306
20.35,0.0290864,0.0672334,-0.0192748,0.0143864,0.0586017,0.296652
20.4,0.0293636,0.0671694,-0.0217749,0.0140522,0.0680365,0.293575
20.45,0.0293525,0.067154,-0.0220651,0.0137193,0.0687761,0.292063
20.5,0.0287451,0.0672199,-0.0219612,0.0133303,0.0458106,0.29132
20.55,0.0288178,0.0672167,-0.0209542,0.013279,0.0443014,0.292137
20.6,0.0291257,0.0672527,-0.019839,0.0125953,0.0450654,0.292095
20.65,0.0294647,0.067202,-0.0181399,0.0119547,0.0550896,0.290064
20.7,0.0295301,0.067052,-0.0167508,0.0120739,0.0517571,0.28837
20.75,0.0294208,0.066993,-0.0111966,0.012391,0.0468476,0.289294
20.8,0.0296629,0.0669752,-0.00639321,0.0125881,0.0524568,0.291595
20.85,0.0298602,0.0669973,-0.00404721,0.0129,0.0550545,0.2931
20.9,0.030121,0.0669536,-0.000733918,0.0134293,0.0429816,0.293896
20.95,0.0313247,0.0669472,0.000651266,0.0138513,0.032249,0.295719
21,0.0328885,0.0670157,0.00399247,0.0143113,0.0472565,0.300105
21.05,0.0340549,0.0668963,0.00418467,0.0145228,0.047441,0.299964
21.1,0.0344063,0.0667139,0.00344351,0.014415,0.03936,0.298195
21.15,0.0353897,0.0664575,0.00117102,0.0147551,0.0438601,0.296202
21.2,0.0371536,0.0662353,-0.00172086,0.0143143,0.0616274,0.294492
21.25,0.0389392,0.0659551,-0.00535501,0.014164,0.0847146,0.292474
21.3,0.0408434,0.0656137,-0.00966283,0.013517,0.101609,0.288707
21.35,0.0426248,0.0653913,-0.00851456,0.0132514,0.130553,0.289052
21.4,0.0437303,0.0651144,-0.00644168,0.0126963,0.139977,0.289239
21.45,0.0452206,0.0648959,-0.0056551,0.0119224,0.141884,0.289681
21.5,0.0464605,0.0644998,-0.00706096,0.0117234,0.154388,0.285616
21.55,0.0475675,0.0641766,-0.00594353,0.0113933,0.168846,0.283031
21.6,0.0473921,0.0637295,-0.00440879,0.0110826,0.170482,0.27766
21.65,0.0475656,0.0631762,-0.00397762,0.010323,0.182422,0.2745
21.7,0.047344,0.0627102,-0.00453512,0.0101838,0.175298,0.271991
21.75,0.0476039,0.0623558,-0.000863932,0.0104794,0.187763,0.271497
21.8,0.0478111,0.0619845,0.00130538,0.0107687,0.192427,0.271749
21.85,0.0475897,0.0615513,-0.0036882,0.0114495,0.192583,0.272133
21.9,0.0470077,0.0611397,-0.0060399,0.0121942,0.171308,0.272419
21.95,0.0458892,0.060675,-0.00724873,0.0126155,0.149553,0.272453
22,0.0456769,0.0602591,-0.00861611,0.0125735,0.14433,0.271832
22.05,0.045859,0.0599173,-0.00994275,0.0123119,0.153525,0.273263
22.1,0.0459972,0.0595514,-0.0115059,0.0120962,0.160061,0.272106
22.15,0.045846,0.059184,-0.0114555,0.0116425,0.16306,0.269926
22.2,0.0453465,0.0588227,-0.00987345,0.0114998,0.186766,0.269492
22.25,0.0443799,0.0584466,-0.00665456,0.0114623,0.189787,0.267225
22.3,0.0440863,0.0580805,-0.00548489,0.0117316,0.198729,0.265362
22.35,0.0436449,0.0576991,-0.00456079,0.0117709,0.211608,0.264504
22.4,0.0416008,0.0573318,-0.00428469,0.0115622,0.193331,0.264453
22.45,0.0403421,0.0569901,-0.00400151,0.0113139,0.176489,0.264354
22.5,0.0392298,0.0565616,-0.00639969,0.0109932,0.166358,0.262164
22.55,0.038397,0.0561389,-0.00945685,0.0105254,0.147696,0.257683
22.6,0.0374072,0.0556975,-0.011243,0.0104565,0.137374,0.253252
22.65,0.0369695,0.0552867,-0.00909807,0.0109818,0.147224,0.249548
22.7,0.0363404,0.0549266,-0.00772441,0.0117057,0.142031,0.248259
22.75,0.0359437,0.054545,-0.0103019,0.0123447,0.149507,0.245958
22.8,0.0354042,0.0541505,-0.0126646,0.0131511,0.146395,0.24101
22.85,0.0343903,0.0536489,-0.0154638,0.0138937,0.129049,0.234484
22.9,0.0333485,0.0531793,-0.0198412,0.0143536,0.107,0.229669
22.95,0.0323862,0.0527073,-0.0161868,0.0146677,0.0857073,0.227453
23,0.0314897,0.0523049,-0.0166341,0.0146235,0.0772641,0.226358
23.05,0.0304109,0.0520015,-0.0169111,0.0134826,0.0653505,0.226967
23.1,0.0296653,0.0517722,-0.015388,0.0133198,0.0623699,0.228125
23.15,0.0282173,0.0514594,-0.0184646,0.0127844,0.049805,0.226425
23.2,0.0267231,0.0511614,-0.018721,0.0123568,0.0343412,0.226284
23.25,0.0247653,0.0508431,-0.019134,0.0115527,0.0130857,0.225061
23.3,0.0231936,0.0504384,-0.0211763,0.0113685,0.00566761,0.2219
23.35,0.022236,0.0499733,-0.0239015,0.0111719,0.0134921,0.218909
23.4,0.0212569,0.0494782,-0.0246357,0.0109102,0.012533,0.216203
23.45,0.0208091,0.0490211,-0.0264109,0.0105847,0.0268978,0.214214
23.5,0.0202622,0.0486394,-0.0263107,0.0104849,0.0194426,0.211218
23.55,0.019318,0.0484296,-0.0261938,0.0106315,0.00517401,0.210249
23.6,0.0183052,0.0482549,-0.0288404,0.0106865,0.0043074,0.209236
23.65,0.0168373,0.0481682,-0.027048,0.0110384,-0.00914806,0.209298
23.7,0.0150297,0.0480179,-0.0248493,0.0114398,-0.0263511,0.207711
23.75,0.0131415,0.0479143,-0.0213735,0.0124944,-0.0402005,0.206762
23.8,0.0116195,0.0477534,-0.0206366,0.0138603,-0.0458699,0.206679
23.85,0.0101018,0.0476608,-0.02015,0.0143304,-0.0591967,0.209062
23.9,0.00837076,0.0477288,-0.0170605,0.0145639,-0.0690381,0.211667
23.95,0.00724453,0.047768,-0.0141802,0.0146462,-0.0691898,0.213021
24,0.00683524,0.0477439,-0.0118153,0.0144759,-0.0483239,0.214888
24.05,0.00689744,0.0475702,-0.0126623,0.0137321,-0.0366892,0.214442
24.1,0.00670026,0.0473607,-0.0158134,0.0133374,-0.0238757,0.212281
24.15,0.00666335,0.0471649,-0.0200905,0.0128492,-0.0143402,0.209967
24.2,0.00714982,0.0470731,-0.0216992,0.0133373,-0.00506932,0.210731
24.25,0.00694947,0.0470492,-0.0206738,0.0134176,-0.00994243,0.210187
24.3,0.0067149,0.0470716,-0.0205758,0.0131989,-0.011332,0.210648
24.35,0.00627613,0.0470556,-0.0182682,0.0132116,-0.0150227,0.210154
24.4,0.00523871,0.0469216,-0.0182051,0.0129028,-0.0246697,0.206796
24.45,0.00456985,0.0467349,-0.0207968,0.0125695,-0.0181884,0.203757
24.5,0.0037059,0.0465975,-0.022216,0.0125474,-0.00490717,0.203113
24.55,0.00246375,0.0465024,-0.0238559,0.0123151,-0.00110248,0.203193
24.6,0.00121888,0.0464428,-0.0239652,0.0123073,-0.0096406,0.20352
24.65,-0.000118868,0.0464312,-0.0254149,0.0124153,-0.0164216,0.200898
24.7,-0.00165835,0.0464487,-0.0254916,0.0124981,-0.0259886,0.200681
24.75,-0.00348393,0.0464726,-0.0209815,0.0124245,-0.0331163,0.200748
24.8,-0.00476,0.0464673,-0.0216355,0.0125489,-0.0401568,0.200146
24.85,-0.00570291,0.0464497,-0.0191604,0.0123413,-0.0288599,0.199197
24.9,-0.00686874,0.0464578,-0.0177474,0.0125668,-0.0324435,0.19737
24.95,-0.00740432,0.0464199,-0.0191017,0.0122998,-0.0358362,0.193993
25,-0.0084202,0.0464516,-0.0171562,0.0128425,-0.0481487,0.195169
25.05,-0.00871465,0.0465421,-0.0102838,0.0134087,-0.0416627,0.199136
25.1,-0.0084902,0.0466895,-0.006097,0.0137567,-0.0375723,0.202566
25.15,-0.00822638,0.0468639,-0.00596288,0.0142441,-0.0428757,0.206514
25.2,-0.00747748,0.0469404,-0.00601666,0.0144891,-0.0332078,0.208978
25.25,-0.00682513,0.0470102,-0.0091256,0.0139176,-0.0201491,0.210941
25.3,-0.00634402,0.0469996,-0.0102507,0.0131844,-0.0174441,0.211515
25.35,-0.00579446,0.0469258,-0.0106815,0.0124569,0.00561401,0.214699
25.4,-0.00555896,0.0467753,-0.0152371,0.0124868,0.00109956,0.214472
25.45,-0.00458281,0.0465349,-0.0169291,0.0131787,-0.000662272,0.212025
25.5,-0.00367793,0.04633,-0.0235467,0.0140526,-0.000597386,0.207369
25.55,-0.00231662,0.0460692,-0.030859,0.0143262,0.00671167,0.203025
25.6,-0.00172698,0.0459032,-0.0367297,0.0150211,0.0136904,0.203087
25.65,-0.00172759,0.0457133,-0.0358125,0.015706,0.0115853,0.203338
25.7,-0.00105383,0.0455498,-0.0337931,0.0156952,0.0181241,0.203943
25.75,-0.0011008,0.0453149,-0.0345903,0.0151592,0.00213496,0.202524
25.8,-0.000690148,0.0450387,-0.0327787,0.0142118,0.00283689,0.200745
25.85,-0.000241689,0.0447495,-0.0301422,0.0134373,-0.00706791,0.198019
25.9,0.00047773,0.0444152,-0.027436,0.0123306,0.00233171,0.194921
25.95,0.000768595,0.0441259,-0.0234322,0.0115965,0.0046485,0.192577
26,0.00162621,0.0439834,-0.019477,0.0113066,0.0034499,0.19209
26.05,0.00164383,0.0438644,-0.0184124,0.0112841,0.00615111,0.192011
26.1,0.00113121,0.0437712,-0.018189,0.0114408,0.00376666,0.191347
26.15,0.000931121,0.0437906,-0.0166737,0.0113722,-0.00332398,0.192942
26.2,0.000679107,0.0438409,-0.0158936,0.0114079,-0.0114415,0.194146
26.25,0.00117652,0.0439825,-0.0147877,0.011296,0.00245884,0.197194
26.3,0.0014583,0.0441114,-0.0152832,0.0114493,-0.00223024,0.198106
26.35,0.0019157,0.0442034,-0.0158267,0.0113108,0.00538846,0.198101
26.4,0.00233721,0.0443433,-0.0120213,0.0119198,0.0115405,0.200558
26.45,0.00268205,0.044484,-0.00745465,0.0123042,0.0258247,0.202066
26.5,0.00316306,0.0446177,-0.00476508,0.0125934,0.0335563,0.203287
26.55,0.00372103,0.0447003,-0.00418979,0.0130327,0.0334527,0.205669
26.6,0.00350935,0.0447294,-0.00175706,0.0133466,0.0197853,0.205449
26.65,0.00306661,0.044666,3.71331e-05,0.0137376,0.0221154,0.205691
26.7,0.00345242,0.0445384,-0.00320863,0.0133616,0.0186053,0.202225
26.75,0.00370421,0.0443287,-0.00601198,0.0128189,0.0240847,0.19772
26.8,0.00487696,0.0442277,-0.00951264,0.0120102,0.0510758,0.195672
26.85,0.00601576,0.0441381,-0.00930631,0.0119344,0.0588174,0.195011
26.9,0.00662223,0.0441434,-0.0077673,0.0120943,0.0648584,0.19687
26.95,0.00666841,0.0441411,-0.00729797,0.0121486,0.0669221,0.196599
27,0.0059695,0.0440687,-0.00910035,0.0126314,0.0633939,0.19584
27.05,0.00494815,0.0439803,-0.0123038,0.013163,0.0357728,0.195608
27.1,0.00418554,0.0439944,-0.0162837,0.0135432,0.0290114,0.193306
27.15,0.002658,0.0439867,-0.0198582,0.0137987,0.0167532,0.192313
27.2,0.00171323,0.0439708,-0.0215702,0.0141183,0.0127647,0.192193
27.25,0.000629035,0.0439777,-0.027199,0.0141306,0.0130649,0.1937
27.3,-0.000430065,0.0439721,-0.0310087,0.0139907,0.0111,0.194018
27.35,-0.00056366,0.043921,-0.0316557,0.0131958,0.0265123,0.191997
27.4,-0.000540591,0.0438551,-0.0340325,0.0130388,0.0368104,0.188385
27.45,-0.00106029,0.0437121,-0.0356796,0.0128457,0.0331269,0.185634
27.5,-0.00122103,0.0435978,-0.0388747,0.0123311,0.0366532,0.182794
27.55,-0.00138503,0.0435453,-0.0408913,0.0121626,0.05605,0.183001
27.6,-0.00143631,0.04352,-0.0408525,0.0120346,0.0732303,0.185598
27.65,-0.000892092,0.0435096,-0.0417847,0.0119607,0.0849832,0.184899
27.7,-0.000638849,0.0433826,-0.0411001,0.0124039,0.0770652,0.184981
27.75,-0.000816684,0.0432842,-0.042546,0.0128002,0.0706557,0.182436
27.8,0.000175591,0.0431926,-0.0422871,0.0128516,0.0895041,0.180552
27.85,0.0010899,0.0431328,-0.0398052,0.0128552,0.102035,0.179101
27.9,0.00212631,0.043108,-0.0351948,0.0126271,0.130305,0.179656
27.95,0.00289383,0.0430834,-0.0329384,0.0125986,0.137801,0.17856
28,0.00313785,0.0431079,-0.0317656,0.0126993,0.125996,0.179967
28.05,0.00337504,0.0431312,-0.0339021,0.0126108,0.124152,0.180598
28.1,0.00333684,0.0430604,-0.032869,0.0127113,0.10202,0.180369
28.15,0.00336022,0.0428911,-0.0329961,0.0128751,0.104413,0.180252
28.2,0.00302239,0.0428699,-0.0306648,0.0126497,0.102168,0.183886
28.25,0.00259782,0.0427171,-0.0268137,0.0127362,0.0935512,0.18479
28.3,0.0018066,0.0426167,-0.0229348,0.012725,0.0850019,0.184157
28.35,0.0013808,0.0425835,-0.0207645,0.0125085,0.0817433,0.182528
28.4,0.000791611,0.0425531,-0.0197038,0.0123885,0.0688478,0.182136
28.45,-0.000632106,0.0426577,-0.0163926,0.0117941,0.0530789,0.182888
28.5,-0.00191595,0.0428328,-0.0123148,0.0113342,0.043813,0.182365
28.55,-0.00274631,0.0429673,-0.0100749,0.010368,0.0273819,0.181488
28.6,-0.00313557,0.0431634,-0.00700537,0.0102233,0.0237297,0.183719
28.65,-0.00386244,0.0432393,-0.00741452,0.0100004,0.0324269,0.184023
28.7,-0.00486637,0.0432211,-0.00528021,0.00969128,0.0298916,0.183677
28.75,-0.00602924,0.0431362,-0.00359534,0.0101634,0.0335924,0.184015
28.8,-0.00679301,0.0430111,-0.00211784,0.010428,0.0325294,0.181654
28.85,-0.00766327,0.0428208,-0.00651304,0.0104796,0.0212784,0.179921
28.9,-0.00881038,0.0427547,-0.00661692,0.01109,0.00229624,0.179653
28.95,-0.0105845,0.0426889,-0.00775535,0.0114477,-0.0239393,0.183141
29,-0.0113725,0.0426757,-0.0100866,0.0114342,-0.0382667,0.183656
29.05,-0.0121929,0.0426696,-0.0123099,0.0116907,-0.0641444,0.181945
29.1,-0.0125385,0.0426063,-0.0123887,0.0120887,-0.072111,0.180474
29.15,-0.012721,0.0426211,-0.0115698,0.0123438,-0.0703831,0.180898
29.2,-0.012428,0.0426002,-0.0103026,0.0120975,-0.0626678,0.180938
29.25,-0.0121699,0.0426631,-0.00938366,0.012184,-0.0413205,0.181988
29.3,-0.0119221,0.0427455,-0.0129281,0.0129713,-0.0429609,0.18343
29.35,-0.011245,0.0427743,-0.0131455,0.0132214,-0.0399179,0.18377
29.4,-0.0112652,0.0427288,-0.0104523,0.0132466,-0.0328129,0.182061
29.45,-0.0112323,0.0427649,-0.00653227,0.013872,-0.0249122,0.18307
29.5,-0.0113178,0.0428024,-0.00966426,0.0137771,-0.0360962,0.183074
29.55,-0.0103312,0.0428688,-0.0112976,0.0135133,-0.0299583,0.183046
29.6,-0.00901793,0.0429518,-0.00906566,0.0131917,-0.00938872,0.18358
29.65,-0.00812788,0.0431093,-0.00761808,0.0132761,0.00936751,0.184268
29.7,-0.00761596,0.0432621,-0.00493123,0.0135575,0.0287973,0.184431
29.75,-0.00703345,0.0435008,-0.00213068,0.0133067,0.0410346,0.187309
29.8,-0.00682308,0.0436773,0.00128246,0.012848,0.0444667,0.190642
29.85,-0.00676388,0.0437719,0.00390445,0.0119863,0.0559133,0.194974
29.9,-0.00633207,0.0437812,0.00555848,0.0116256,0.0797538,0.197531
29.95,-0.00594335,0.0438181,0.00785167,0.0111379,0.0983957,0.200413
30,-0.00598967,0.043825,0.00952857,0.0109869,0.101688,0.203689
30.05,-0.00632532,0.0438223,0.00770255,0.0110843,0.0976533,0.203856
30.1,-0.00696651,0.0437142,0.00752179,0.0113305,0.0945246,0.203192
30.15,-0.00784069,0.0437277,0.00530155,0.0116231,0.0911384,0.204567
30.2,-0.00853303,0.0436994,0.00316905,0.0120185,0.0867051,0.206337
30.25,-0.0101398,0.0436544,-0.000376177,0.012563,0.0551252,0.208498
30.3,-0.0111987,0.0435435,-0.00251996,0.0131337,0.0479449,0.209048
30.35,-0.0124786,0.0434085,-0.00705357,0.0136074,0.0333355,0.208264
30.4,-0.0131603,0.0432596,-0.0111708,0.0138273,0.0145707,0.207474
30.45,-0.0134504,0.0431845,-0.0140215,0.0136858,0.000574155,0.206207
30.5,-0.0134331,0.0431509,-0.0191296,0.0135387,-0.0075498,0.206056
30.55,-0.0131828,0.0431772,-0.0220475,0.013454,-0.0161303,0.207484
30.6,-0.0121611,0.0431414,-0.018716,0.0128892,-0.0144035,0.208501
30.65,-0.0120416,0.0431207,-0.0146262,0.0125925,-0.0140144,0.209002
30.7,-0.0111189,0.0432048,-0.0111864,0.0120795,-0.0072188,0.211051
30.75,-0.0109801,0.0432381,-0.00470275,0.0118896,0.00146986,0.212815
30.8,-0.0105164,0.0432851,0.00107426,0.012067,0.0112254,0.213841
30.85,-0.00979099,0.0433479,0.00491443,0.0118012,0.0235902,0.21556
30.9,-0.00901598,0.0433502,0.0085691,0.011593,0.0230518,0.217578
30.95,-0.00858688,0.0433287,0.00379639,0.0113585,0.0159349,0.21664
31,-0.00763773,0.0432426,0.00306634,0.0109319,0.0179298,0.213714
31.05,-0.00641885,0.0431219,0.000530132,0.0105584,0.027714,0.209451
31.1,-0.00558445,0.0430582,-0.00129819,0.0102463,0.0257594,0.20664
31.15,-0.00475807,0.0430009,-0.00408653,0.010215,0.0267345,0.204541
31.2,-0.00391366,0.0428926,-0.00761126,0.0104324,0.0194438,0.202784
31.25,-0.00221527,0.0428349,-0.00824225,0.0101749,0.0313228,0.202559
31.3,-0.000605149,0.0427996,-0.0104581,0.00996171,0.0350759,0.203074
31.35,0.000550996,0.0427687,-0.0115527,0.0102942,0.0393554,0.205149
31.4,0.00176697,0.042708,-0.0117838,0.0111645,0.0438366,0.204822
31.45,0.00336959,0.0426531,-0.00912755,0.011423,0.053099,0.204611
31.5,0.0050875,0.0427128,-0.00371866,0.0115566,0.0570866,0.203546
31.55,0.00717578,0.0428032,-0.00354292,0.012036,0.0658456,0.201334
31.6,0.00895305,0.042899,-0.00354653,0.0119105,0.0758734,0.200282
31.65,0.00984145,0.0428988,-0.00659049,0.0116903,0.0777202,0.198299
31.7,0.0111406,0.0428331,-0.00881468,0.0116263,0.0703932,0.195628
31.75,0.0121922,0.0427463,-0.012321,0.0120504,0.0789264,0.194394
31.8,0.0126006,0.0426172,-0.0163933,0.0128974,0.0641943,0.193556
31.85,0.0136525,0.0424579,-0.0165837,0.0132194,0.0642396,0.192648
31.9,0.0145224,0.0423978,-0.0136834,0.0130701,0.0580232,0.191619
31.95,0.0151256,0.0424187,-0.00750009,0.0129585,0.0348161,0.190367
32,0.0151231,0.0424816,-0.00688589,0.0126575,0.0167648,0.189413
32.05,0.0154845,0.0425206,-0.00695343,0.012352,0.017878,0.189209
32.1,0.0159745,0.0424299,-0.0105377,0.0123973,0.0150141,0.187301
32.15,0.017099,0.0424072,-0.0117779,0.0118824,0.0161977,0.18668
32.2,0.0178784,0.0423807,-0.0142583,0.0115545,0.0246349,0.186223
32.25,0.0189564,0.0423442,-0.0139373,0.0109456,0.0341266,0.185761
32.3,0.0206485,0.0424331,-0.0120586,0.0108132,0.0577535,0.185348
32.35,0.0221741,0.0426057,-0.0109028,0.0102475,0.0697739,0.186364
32.4,0.023504,0.0426994,-0.0108067,0.00978347,0.0545305,0.187533
32.45,0.0255061,0.0427636,-0.00881639,0.00981774,0.0333191,0.188183
32.5,0.0282212,0.0427685,-0.00784716,0.0097637,0.0353045,0.187926
32.55,0.0302896,0.0427826,-0.00873553,0.00964515,0.0478457,0.187637
32.6,0.0326367,0.0428489,-0.00853896,0.0100423,0.0610924,0.188037
32.65,0.0349491,0.0428354,-0.00810425,0.0109307,0.075831,0.188608
32.7,0.0372861,0.0429609,-0.0063334,0.0112751,0.0942482,0.192631
32.75,0.0396091,0.0431203,-0.00321325,0.0116448,0.109056,0.195792
32.8,0.0411729,0.0431931,0.000706528,0.0115031,0.112789,0.197023
32.85,0.0432838,0.0432285,0.00296607,0.0116884,0.136707,0.19608
32.9,0.0451714,0.0432319,0.00323359,0.0126848,0.134242,0.195329
32.95,0.0471163,0.0432257,-0.0029834,0.0134967,0.13338,0.192386
33,0.0489253,0.0432808,-0.00827812,0.013788,0.138719,0.191646
33.05,0.0504096,0.0432491,-0.0110814,0.0134813,0.142567,0.189591
33.1,0.0524355,0.0431855,-0.0144749,0.0131815,0.156659,0.188237
33.15,0.055129,0.043068,-0.0195761,0.0127368,0.162624,0.186634
33.2,0.0566991,0.0430599,-0.0217007,0.0123306,0.152159,0.186116
33.25,0.058107,0.0430754,-0.0250049,0.012396,0.145221,0.18353
33.3,0.060003,0.0429829,-0.0311192,0.0119425,0.146405,0.179124
33.35,0.0622182,0.0429978,-0.0345951,0.0120238,0.15425,0.178236
33.4,0.0650553,0.0430838,-0.0374501,0.011778,0.175979,0.179289
33.45,0.0670232,0.0432561,-0.0354256,0.0115032,0.174318,0.181282
33.5,0.0688776,0.0434899,-0.0358324,0.01137,0.164178,0.185691
33.55,0.0710187,0.043655,-0.0375605,0.0109854,0.18164,0.188186
33.6,0.0732187,0.0437031,-0.0367105,0.0110539,0.189192,0.190282
33.65,0.0754743,0.0437182,-0.0351337,0.0114245,0.194635,0.192987
33.7,0.0778509,0.0435701,-0.0340607,0.0117121,0.199708,0.189748
33.75,0.0804495,0.0435161,-0.0321204,0.011743,0.21531,0.190457
33.8,0.0830811,0.043578,-0.0316559,0.0122671,0.225923,0.189059
33.85,0.0855603,0.0435536,-0.0308447,0.0122257,0.235759,0.186146
33.9,0.0885805,0.0434905,-0.03235,0.0123835,0.258083,0.181758
33.95,0.091716,0.0435245,-0.0313198,0.0130642,0.283664,0.180488
34,0.0946263,0.0436802,-0.0302029,0.0126242,0.299972,0.181204
34.05,0.0973904,0.0439411,-0.0292646,0.0128001,0.325081,0.183905
34.1,0.0992511,0.0441415,-0.0332243,0.0124015,0.323696,0.184574
34.15,0.100455,0.0442958,-0.0375361,0.0123386,0.303315,0.185135
34.2,0.101906,0.0444381,-0.0370814,0.0121617,0.294744,0.186706
34.25,0.103258,0.0445648,-0.0325824,0.0120904,0.293139,0.189808
34.3,0.105474,0.0447173,-0.0288291,0.012409,0.324927,0.194146
34.35,0.107433,0.0448334,-0.0270889,0.0125245,0.355972,0.196416
34.4,0.109866,0.0447986,-0.0240623,0.0128654,0.381871,0.196943
34.45,0.112612,0.0447076,-0.0209394,0.0126714,0.421008,0.193017
34.5,0.114019,0.0446925,-0.0210529,0.0119953,0.428138,0.189593
34.55,0.115686,0.0447515,-0.0227023,0.0115182,0.435842,0.188406
34.6,0.11733,0.0447815,-0.0266493,0.0110497,0.449115,0.187446
34.65,0.119552,0.0449481,-0.0278175,0.0109529,0.478162,0.187369
34.7,0.121524,0.0452101,-0.0274004,0.0106072,0.492997,0.189177
34.75,0.123849,0.0455344,-0.0260622,0.01061,0.505441,0.190449
34.8,0.125547,0.0458432,-0.0234075,0.0107012,0.509328,0.195407
34.85,0.127623,0.0460577,-0.0198428,0.0109457,0.523706,0.199242
34.9,0.129475,0.0461378,-0.0169374,0.0108758,0.517877,0.200229
34.95,0.132291,0.0461964,-0.0157998,0.0108941,0.521479,0.200612
35,0.135251,0.0462384,-0.016361,0.0111943,0.526621,0.201156
35.05,0.139138,0.0461687,-0.0170728,0.0111748,0.550271,0.200458
35.1,0.142928,0.0462132,-0.0146456,0.0111376,0.583037,0.200787
35.15,0.146666,0.0462475,-0.0117034,0.0119888,0.614892,0.20124
35.2,0.150685,0.046176,-0.00994743,0.0123683,0.660863,0.201999
35.25,0.154477,0.0460977,-0.00837179,0.0123088,0.702926,0.200601
35.3,0.157646,0.0459382,-0.00832627,0.011732,0.7334,0.197527
