tau,C1,C1_err,C2conn,C2conn_err,C3,C3_err
4.25,0.188562,0.0434518,-0.0202636,0.0119501,0.839019,0.178884
4.3,0.184349,0.0438518,-0.020146,0.0123777,0.82665,0.181807
4.35,0.181133,0.0441307,-0.0226258,0.0121726,0.802729,0.183519
4.4,0.177542,0.0444237,-0.0243363,0.0119296,0.772799,0.185482
4.45,0.173198,0.044771,-0.0236012,0.0119607,0.756202,0.18698
4.5,0.169747,0.0450769,-0.022148,0.0123607,0.744292,0.1889
4.55,0.166866,0.0452864,-0.0203451,0.0123122,0.735932,0.187822
4.6,0.163508,0.0455025,-0.0155142,0.0120475,0.724403,0.190347
4.65,0.16064,0.0457259,-0.0104907,0.0117425,0.74116,0.194505
4.7,0.157646,0.0459382,-0.00832627,0.011732,0.7334,0.197527
4.75,0.154477,0.0460977,-0.00837179,0.0123088,0.702926,0.200601
4.8,0.150685,0.046176,-0.00994743,0.0123683,0.660863,0.201999
4.85,0.146666,0.0462475,-0.0117034,0.0119888,0.614892,0.20124
4.9,0.142928,0.0462132,-0.0146456,0.0111376,0.583037,0.200787
4.95,0.139138,0.0461687,-0.0170728,0.0111748,0.550271,0.200458
5,0.135251,0.0462384,-0.016361,0.0111943,0.526621,0.201156
5.05,0.132291,0.0461964,-0.0157998,0.0108941,0.521479,0.200612
5.1,0.129475,0.0461378,-0.0169374,0.0108758,0.517877,0.200229
5.15,0.127623,0.0460577,-0.0198428,0.0109457,0.523706,0.199242
5.2,0.125547,0.0458432,-0.0234075,0.0107012,0.509328,0.195407
5.25,0.123849,0.0455344,-0.0260622,0.01061,0.505441,0.190449
5.3,0.121524,0.0452101,-0.0274004,0.0106072,0.492997,0.189177
5.35,0.119552,0.0449481,-0.0278175,0.0109529,0.478162,0.187369
5.4,0.11733,0.0447815,-0.0266493,0.0110497,0.449115,0.187446
5.45,0.115686,0.0447515,-0.0227023,0.0115182,0.435842,0.188406
5.5,0.114019,0.0446925,-0.0210529,0.0119953,0.428138,0.189593
5.55,0.112612,0.0447076,-0.0209394,0.0126714,0.421008,0.193017
5.6,0.109866,0.0447986,-0.0240623,0.0128654,0.381871,0.196943
5.65,0.107433,0.0448334,-0.0270889,0.0125245,0.355972,0.196416
5.7,0.105474,0.0447173,-0.0288291,0.012409,0.324927,0.194146
5.75,0.103258,0.0445648,-0.0325824,0.0120904,0.293139,0.189808
5.8,0.101906,0.0444381,-0.0370814,0.0121617,0.294744,0.186706
5.85,0.100455,0.0442958,-0.0375361,0.0123386,0.303315,0.185135
5.9,0.0992511,0.0441415,-0.0332243,0.0124015,0.323696,0.184574
5.95,0.0973904,0.0439411,-0.0292646,0.0128001,0.325081,0.183905
6,0.0946263,0.0436802,-0.0302029,0.0126242,0.299972,0.181204
6.05,0.091716,0.0435245,-0.0313198,0.0130642,0.283664,0.180488
6.1,0.0885805,0.0434905,-0.03235,0.0123835,0.258083,0.181758
6.15,0.0855603,0.0435536,-0.0308447,0.0122257,0.235759,0.186146
