tau,mean,std_err
10.5,-0.0042592,0.0458571
10.55,-0.0055197,0.0460987
10.6,-0.0067503,0.0463475
10.65,-0.00794803,0.0466021
10.7,-0.00911041,0.046861
10.75,-0.0102369,0.047123
10.8,-0.0113281,0.0473871
10.85,-0.0123867,0.0476525
10.9,-0.0134157,0.0479183
10.95,-0.0144196,0.0481841
11,-0.0154043,0.0484498
11.05,-0.0163766,0.048715
11.1,-0.0173425,0.0489797
11.15,-0.0183086,0.0492439
11.2,-0.0192817,0.0495076
11.25,-0.0202679,0.0497708
11.3,-0.0212724,0.0500336
11.35,-0.0222989,0.050296
11.4,-0.0233499,0.0505581
11.45,-0.0244266,0.0508198
11.5,-0.0255287,0.0510811
11.55,-0.0266539,0.0513419
11.6,-0.0277984,0.051602
11.65,-0.0289566,0.0518611
11.7,-0.0301212,0.0521189
11.75,-0.0312843,0.052375
11.8,-0.0324369,0.052629
11.85,-0.0335692,0.0528805
11.9,-0.0346706,0.0531292
11.95,-0.0357305,0.0533743
12,-0.0367384,0.0536154
12.05,-0.0376835,0.053852
12.1,-0.0385557,0.0540834
12.15,-0.0393446,0.0543093
12.2,-0.0400404,0.0545288
12.25,-0.0406336,0.0547415
12.3,-0.0411152,0.0549467
12.35,-0.0414775,0.055144
12.4,-0.0417133,0.0553329
12.45,-0.0418166,0.0555129
12.5,-0.0417822,0.0556837
12.55,-0.041607,0.0558451
12.6,-0.0412893,0.0559968
12.65,-0.0408288,0.0561388
12.7,-0.0402281,0.0562714
12.75,-0.0394908,0.0563946
12.8,-0.0386229,0.0565089
12.85,-0.0376322,0.0566145
12.9,-0.0365274,0.056712
12.95,-0.0353196,0.056802
13,-0.0340202,0.0568852
13.05,-0.0326425,0.0569622
13.1,-0.0312004,0.0570334
13.15,-0.0297083,0.0570996
13.2,-0.0281801,0.0571614
13.25,-0.0266298,0.0572194
13.3,-0.0250703,0.0572739
13.35,-0.023514,0.0573256
13.4,-0.0219722,0.0573747
13.45,-0.0204545,0.0574215
13.5,-0.0189693,0.0574662
13.55,-0.0175238,0.0575086
13.6,-0.0161227,0.0575488
13.65,-0.0147698,0.0575865
13.7,-0.0134674,0.057621
13.75,-0.012217,0.057652
13.8,-0.0110187,0.0576788
13.85,-0.00987243,0.0577009
13.9,-0.00877796,0.0577174
13.95,-0.0077348,0.0577278
14,-0.00674318,0.0577313
14.05,-0.00580366,0.0577274
14.1,-0.00491711,0.0577156
14.15,-0.00408425,0.0576955
14.2,-0.00330678,0.0576671
14.25,-0.00258586,0.0576302
14.3,-0.0019235,0.0575851
14.35,-0.00132135,0.057532
14.4,-0.000782037,0.0574713
14.45,-0.000306724,0.0574037
14.5,0.000102452,0.05733
14.55,0.000443809,0.0572511
14.6,0.000716251,0.057168
14.65,0.000918225,0.0570818
14.7,0.00104776,0.0569937
14.75,0.00110356,0.0569047
14.8,0.00108483,0.0568161
14.85,0.000989963,0.0567291
14.9,0.000818095,0.0566445
14.95,0.000568401,0.0565634
15,0.000239663,0.0564869
15.05,-0.00016856,0.0564156
15.1,-0.000657337,0.0563504
15.15,-0.0012266,0.0562919
15.2,-0.00187702,0.0562407
15.25,-0.00260847,0.0561971
15.3,-0.0034208,0.0561612
15.35,-0.00431399,0.0561333
15.4,-0.00528777,0.0561129
15.45,-0.00634126,0.0560997
15.5,-0.00747407,0.0560932
15.55,-0.00868533,0.0560923
15.6,-0.0099735,0.056096
15.65,-0.0113375,0.0561031
15.7,-0.0127746,0.0561121
15.75,-0.0142815,0.0561217
15.8,-0.0158545,0.0561304
15.85,-0.0174889,0.0561366
15.9,-0.0191791,0.056139
15.95,-0.0209188,0.0561362
16,-0.0227007,0.056127
16.05,-0.024517,0.0561102
16.1,-0.0263596,0.0560851
16.15,-0.0282206,0.056051
16.2,-0.0300921,0.0560073
16.25,-0.0319667,0.0559537
16.3,-0.0338377,0.0558901
16.35,-0.0357004,0.0558168
16.4,-0.0375511,0.0557338
16.45,-0.0393874,0.0556417
16.5,-0.0412082,0.0555411
16.55,-0.0430141,0.0554328
16.6,-0.0448072,0.0553178
16.65,-0.0465903,0.0551975
16.7,-0.0483678,0.0550733
16.75,-0.0501447,0.0549467
16.8,-0.0519267,0.0548197
16.85,-0.0537188,0.0546944
16.9,-0.0555269,0.0545731
16.95,-0.0573561,0.0544584
17,-0.0592113,0.0543531
17.05,-0.0610958,0.0542599
17.1,-0.0630123,0.054182
17.15,-0.0649626,0.0541222
17.2,-0.0669471,0.0540835
17.25,-0.0689655,0.0540687
17.3,-0.0710158,0.0540802
17.35,-0.073095,0.0541201
17.4,-0.0751998,0.0541902
17.45,-0.0773253,0.0542915
17.5,-0.0794666,0.0544246
17.55,-0.0816177,0.0545895
17.6,-0.0837731,0.0547855
