tau,C(tau)
16.75,-0.249576
16.8,-0.256837
16.85,-0.261842
16.9,-0.266905
16.95,-0.272066
17,-0.274516
17.05,-0.280396
17.1,-0.282654
17.15,-0.284189
17.2,-0.286908
17.25,-0.285353
17.3,-0.276966
17.35,-0.269745
17.4,-0.267686
17.45,-0.256383
17.5,-0.248134
17.55,-0.239248
17.6,-0.236991
17.65,-0.229227
17.7,-0.223275
17.75,-0.218362
17.8,-0.21642
17.85,-0.215951
17.9,-0.216232
17.95,-0.218494
18,-0.216247
18.05,-0.210345
18.1,-0.203096
18.15,-0.196844
18.2,-0.192973
18.25,-0.182735
18.3,-0.173432
18.35,-0.167659
18.4,-0.161118
18.45,-0.148093
18.5,-0.138314
18.55,-0.127497
18.6,-0.113761
18.65,-0.0985256
18.7,-0.0846477
18.75,-0.0716862
18.8,-0.0587793
18.85,-0.0468586
18.9,-0.0318837
18.95,-0.020569
19,-0.010044
19.05,-1.19039e-05
19.1,0.0103732
19.15,0.0155491
19.2,0.0197057
19.25,0.0206881
19.3,0.0209416
19.35,0.0247576
19.4,0.0298588
19.45,0.03712
19.5,0.0473608
19.55,0.0528687
19.6,0.0595903
19.65,0.0656889
19.7,0.0673724
19.75,0.0661586
19.8,0.0680743
19.85,0.0616377
19.9,0.0603065
19.95,0.0566131
20,0.0570935
20.05,0.0566131
20.1,0.0603065
20.15,0.0616377
20.2,0.0680743
20.25,0.0661586
20.3,0.0673724
20.35,0.0656889
20.4,0.0595903
20.45,0.0528687
20.5,0.0473608
20.55,0.03712
20.6,0.0298588
20.65,0.0247576
20.7,0.0209416
20.75,0.0206881
20.8,0.0197057
20.85,0.0155491
20.9,0.0103732
20.95,-1.19039e-05
21,-0.010044
21.05,-0.020569
21.1,-0.0318837
21.15,-0.0468586
21.2,-0.0587793
21.25,-0.0716862
21.3,-0.0846477
21.35,-0.0985256
21.4,-0.113761
21.45,-0.127497
21.5,-0.138314
21.55,-0.148093
21.6,-0.161118
21.65,-0.167659
21.7,-0.173432
21.75,-0.182735
21.8,-0.192973
21.85,-0.196844
21.9,-0.203096
21.95,-0.210345
22,-0.216247
22.05,-0.218494
22.1,-0.216232
22.15,-0.215951
22.2,-0.21642
22.25,-0.218362
22.3,-0.223275
22.35,-0.229227
22.4,-0.236991
22.45,-0.239248
22.5,-0.248134
22.55,-0.256383
22.6,-0.267686
22.65,-0.269745
22.7,-0.276966
22.75,-0.285353
22.8,-0.286908
22.85,-0.284189
22.9,-0.282654
22.95,-0.280396
23,-0.274516
23.05,-0.272066
23.1,-0.266905
23.15,-0.261842
23.2,-0.256837
23.25,-0.249576
23.3,-0.249468
23.35,-0.244469
23.4,-0.241912
23.45,-0.238752
23.5,-0.237992
23.55,-0.238214
23.6,-0.240284
23.65,-0.238027
23.7,-0.238479
23.75,-0.243473
23.8,-0.245401
23.85,-0.24887
23.9,-0.252673
23.95,-0.260464
24,-0.268372
24.05,-0.273682
24.1,-0.275041
24.15,-0.269177
24.2,-0.263001
24.25,-0.254185
24.3,-0.250144
24.35,-0.242549
24.4,-0.240827
24.45,-0.232241
24.5,-0.22783
24.55,-0.226349
24.6,-0.222364
24.65,-0.215384
24.7,-0.205073
24.75,-0.20064
24.8,-0.188746
