tau,x
0,-1.29205
0.05,-1.06461
0.1,-1.37267
0.15,-1.33814
0.2,-1.26863
0.25,-0.990375
0.3,-1.21204
0.35,-0.811085
0.4,-1.29714
0.45,-0.893336
0.5,-0.839908
0.55,-1.01169
0.6,-0.725121
0.65,-0.377778
0.7,-0.312764
0.75,-0.847721
0.8,-1.00817
0.85,-0.815665
0.9,-0.991009
0.95,-1.49296
1,-1.65371
1.05,-1.80136
1.1,-2.08481
1.15,-2.13426
1.2,-2.08816
1.25,-1.97106
1.3,-1.48749
1.35,-1.15074
1.4,-1.11972
1.45,-1.19325
1.5,-1.03699
1.55,-1.37115
1.6,-1.50163
1.65,-1.31388
1.7,-1.4999
1.75,-1.05989
1.8,-0.516433
1.85,-0.6844
1.9,-0.471469
1.95,-0.947066
2,-1.18304
2.05,-1.13771
2.1,-1.41737
2.15,-1.61791
2.2,-1.43701
2.25,-1.82162
2.3,-1.53016
2.35,-1.70582
2.4,-1.57264
2.45,-1.28987
2.5,-0.977101
2.55,-1.25718
2.6,-0.924456
2.65,-1.16005
2.7,-1.67846
2.75,-1.64553
2.8,-1.36968
2.85,-1.44652
2.9,-1.48989
2.95,-1.26926
3,-1.83833
3.05,-1.63478
3.1,-1.35155
3.15,-1.33781
3.2,-1.54377
3.25,-1.46794
3.3,-0.966433
3.35,-0.684068
3.4,-0.482826
3.45,-0.0517323
3.5,0.180906
3.55,0.282838
3.6,0.568935
3.65,0.448311
3.7,0.485678
3.75,0.738912
3.8,0.553675
3.85,0.459718
3.9,0.37173
3.95,-0.0492237
4,0.575122
4.05,0.233578
4.1,0.201996
4.15,0.0563813
4.2,0.123491
4.25,0.0425523
4.3,0.344794
4.35,0.0808801
4.4,0.117584
4.45,0.636518
4.5,0.462075
4.55,0.33132
4.6,0.00957147
4.65,0.262206
4.7,0.205615
4.75,0.545155
4.8,0.684759
4.85,0.29663
4.9,0.188314
4.95,0.0649959
5,0.609485
5.05,0.794367
5.1,1.08366
5.15,1.2343
5.2,1.04725
5.25,0.834401
5.3,0.996813
5.35,1.2899
5.4,1.17592
5.45,1.44854
5.5,1.43494
5.55,1.47152
5.6,1.34085
5.65,0.835943
5.7,0.762435
5.75,0.893088
5.8,1.13163
5.85,1.13145
5.9,1.31567
5.95,1.53011
6,0.664378
6.05,0.749574
6.1,1.22195
6.15,1.45106
6.2,1.5853
6.25,1.33304
6.3,0.544493
6.35,0.883799
6.4,1.55044
6.45,1.74698
6.5,1.55869
6.55,1.46152
6.6,1.56873
6.65,1.62148
6.7,1.49748
6.75,1.23089
6.8,1.19827
6.85,1.29402
6.9,1.6206
6.95,1.72093
7,1.33774
7.05,1.68697
7.1,1.57074
7.15,1.50919
7.2,1.5922
7.25,1.61452
7.3,1.84267
7.35,1.78104
7.4,1.87453
7.45,1.55952
7.5,1.20166
7.55,1.18888
7.6,1.49035
7.65,1.87415
7.7,1.8912
7.75,1.79435
7.8,1.77871
7.85,1.52219
7.9,1.47265
7.95,1.70918
8,1.31309
8.05,1.28157
8.1,1.32259
8.15,1.19474
8.2,1.29111
8.25,1.69479
8.3,1.67916
8.35,1.732
8.4,1.58805
8.45,1.51451
8.5,1.59308
8.55,1.5832
8.6,1.26259
8.65,1.10503
8.7,1.25392
8.75,1.14497
8.8,1.2509
8.85,1.28629
8.9,1.6381
8.95,1.51791
9,1.75862
9.05,1.60602
9.1,1.08815
9.15,1.2579
9.2,1.08252
9.25,1.02401
9.3,1.34833
9.35,1.37426
9.4,1.09265
9.45,0.996095
9.5,1.31834
9.55,1.32534
9.6,1.52467
9.65,1.32266
9.7,1.18906
9.75,1.00758
9.8,0.947801
9.85,1.18107
9.9,0.999455
9.95,1.11241
10,1.05031
10.05,1.17583
10.1,0.943785
10.15,1.05417
10.2,0.952018
10.25,1.13854
10.3,0.895524
10.35,0.697324
10.4,0.880148
10.45,0.512473
10.5,0.63428
10.55,0.561976
10.6,0.403401
10.65,0.575019
10.7,0.919812
10.75,1.08804
10.8,1.02134
10.85,1.39391
10.9,1.4414
10.95,1.57069
11,1.02601
11.05,1.0103
11.1,0.894805
11.15,1.00006
11.2,0.538278
11.25,0.0323049
11.3,-0.0450643
11.35,0.412757
11.4,0.0681588
11.45,0.42176
11.5,0.705556
11.55,1.43405
11.6,1.61783
11.65,1.60658
11.7,1.14372
11.75,0.976652
11.8,0.488711
11.85,0.623676
11.9,0.250343
11.95,0.121062
12,-0.121972
12.05,-0.0620817
12.1,-0.599364
12.15,-0.410417
12.2,-0.687796
12.25,-0.793495
12.3,-0.890654
12.35,-0.566719
12.4,-0.66167
12.45,-0.620771
12.5,-0.845337
12.55,-0.783664
12.6,-0.847002
12.65,-0.918552
12.7,-1.27962
12.75,-1.22949
12.8,-0.932374
12.85,-1.2877
12.9,-1.6054
12.95,-1.21232
13,-1.59624
13.05,-1.81882
13.1,-1.49474
13.15,-1.25109
13.2,-1.11174
13.25,-0.489811
13.3,-0.498929
13.35,-0.717549
13.4,-0.811614
13.45,-0.6015
13.5,-0.899309
13.55,-0.950358
13.6,-1.07722
13.65,-1.36047
13.7,-1.15481
13.75,-1.59357
13.8,-1.551
13.85,-1.35658
13.9,-1.40027
13.95,-1.29525
14,-1.39367
14.05,-1.08498
14.1,-1.37473
14.15,-1.6765
14.2,-1.49296
14.25,-1.67391
14.3,-1.43489
14.35,-1.48261
14.4,-1.17321
14.45,-0.963589
14.5,-0.596326
14.55,-0.600421
14.6,-0.878061
14.65,-1.03716
14.7,-1.21767
14.75,-0.841711
14.8,-1.34254
14.85,-1.05618
14.9,-1.07396
14.95,-0.982863
15,-0.508332
15.05,-1.31274
15.1,-1.66451
15.15,-1.71114
15.2,-1.89291
15.25,-1.58507
15.3,-0.93648
15.35,-0.938677
15.4,-0.988295
15.45,-0.479061
15.5,-0.5216
15.55,-0.530199
15.6,-0.588518
15.65,-0.672725
15.7,-0.832997
15.75,-0.946239
15.8,-0.711126
15.85,-0.892287
15.9,-0.912137
15.95,-0.779011
16,-1.01164
16.05,-1.26697
16.1,-0.923665
16.15,-1.05396
16.2,-1.54386
16.25,-1.29929
16.3,-1.20642
16.35,-0.74561
16.4,-0.415592
16.45,-1.07378
16.5,-1.07576
16.55,-0.999212
16.6,-1.21437
16.65,-0.587407
16.7,-0.241764
16.75,-0.193711
16.8,-0.00905618
16.85,-0.408338
16.9,-0.493249
16.95,-0.900937
17,-0.822882
17.05,-0.875648
17.1,-0.929294
17.15,-0.612354
17.2,-0.924836
17.25,-1.27596
17.3,-1.409
17.35,-1.67026
17.4,-1.34846
17.45,-1.33259
17.5,-1.26336
17.55,-0.829831
17.6,-1.55825
17.65,-1.2842
17.7,-1.78083
17.75,-2.22977
17.8,-1.85606
17.85,-1.58355
17.9,-1.74063
17.95,-1.32199
18,-1.2255
18.05,-1.35896
18.1,-1.20736
18.15,-1.68183
18.2,-0.954852
18.25,-1.58102
18.3,-1.65554
18.35,-1.73272
18.4,-1.48124
18.45,-1.43462
18.5,-1.7587
18.55,-1.20434
18.6,-1.38595
18.65,-1.22888
18.7,-1.47783
18.75,-1.84706
18.8,-1.9824
18.85,-1.81756
18.9,-1.8611
18.95,-1.76146
19,-1.94774
19.05,-1.93136
19.1,-1.7808
19.15,-1.70346
19.2,-1.62526
19.25,-1.63269
19.3,-1.48066
19.35,-1.7047
19.4,-1.79302
19.45,-1.92281
19.5,-1.60714
19.55,-1.26511
19.6,-0.988333
19.65,-0.766906
19.7,-0.496727
19.75,-0.441114
19.8,-0.252559
19.85,-0.244834
19.9,-0.0573842
19.95,-0.430117
20,-0.470961
20.05,-0.449127
20.1,-0.427716
20.15,-0.299157
20.2,-0.20259
20.25,-0.563273
20.3,-0.722737
20.35,-0.413279
20.4,-0.381375
20.45,-0.623309
20.5,-0.788143
20.55,-1.28687
20.6,-1.34365
20.65,-1.35159
20.7,-1.43771
20.75,-1.47387
20.8,-1.55636
20.85,-1.47195
20.9,-1.26417
20.95,-0.967672
21,-1.56783
21.05,-1.52668
21.1,-1.24864
21.15,-1.42052
21.2,-1.52299
21.25,-1.7886
21.3,-0.983301
21.35,-1.24277
21.4,-1.13264
21.45,-1.15365
21.5,-1.30005
21.55,-1.50392
21.6,-1.55406
21.65,-1.72303
21.7,-1.72636
21.75,-1.09765
21.8,-0.862792
21.85,-1.52768
21.9,-1.53098
21.95,-2.29534
22,-2.07321
22.05,-1.76402
22.1,-2.17928
22.15,-1.79636
22.2,-1.89791
22.25,-1.90745
22.3,-1.69809
22.35,-1.30342
22.4,-0.950578
22.45,-0.737842
22.5,-1.21807
22.55,-1.39612
22.6,-1.68468
22.65,-1.75401
22.7,-1.73368
22.75,-1.45911
22.8,-1.59507
22.85,-1.45448
22.9,-1.49149
22.95,-1.2122
23,-1.22376
23.05,-0.614479
23.1,-0.405158
23.15,-0.650312
23.2,-0.268211
23.25,-0.474211
23.3,-0.656713
23.35,-0.725249
23.4,-0.826202
23.45,-1.60243
23.5,-0.896675
23.55,-1.48388
23.6,-1.87576
23.65,-1.56988
23.7,-1.85258
23.75,-1.69542
23.8,-1.79827
23.85,-1.68453
23.9,-1.10093
23.95,-1.19538
24,-1.2732
24.05,-1.17496
24.1,-1.3985
24.15,-2.02773
24.2,-1.60842
