tau,x
0,-0.880156
0.05,-0.958211
0.1,-1.01456
0.15,-1.07587
0.2,-1.12745
0.25,-1.1675
0.3,-1.20466
0.35,-1.23931
0.4,-1.26323
0.45,-1.2848
0.5,-1.29764
0.55,-1.31896
0.6,-1.33524
0.65,-1.35375
0.7,-1.36624
0.75,-1.37826
0.8,-1.39242
0.85,-1.40132
0.9,-1.40857
0.95,-1.4132
1,-1.4185
1.05,-1.42214
1.1,-1.42805
1.15,-1.42894
1.2,-1.43277
1.25,-1.43749
1.3,-1.44168
1.35,-1.45018
1.4,-1.45218
1.45,-1.45573
1.5,-1.44803
1.55,-1.45275
1.6,-1.44785
1.65,-1.44592
1.7,-1.44287
1.75,-1.43811
1.8,-1.4312
1.85,-1.42148
1.9,-1.41358
1.95,-1.39921
2,-1.38386
2.05,-1.37464
2.1,-1.36357
2.15,-1.35912
2.2,-1.35492
2.25,-1.35407
2.3,-1.35871
2.35,-1.36295
2.4,-1.36862
2.45,-1.36763
2.5,-1.37882
2.55,-1.3907
2.6,-1.40306
2.65,-1.41228
2.7,-1.4187
2.75,-1.42499
2.8,-1.43161
2.85,-1.43815
2.9,-1.43389
2.95,-1.43202
3,-1.42927
3.05,-1.42754
3.1,-1.42828
3.15,-1.43018
3.2,-1.43283
3.25,-1.43575
3.3,-1.43685
3.35,-1.44192
3.4,-1.44928
3.45,-1.44962
3.5,-1.44479
3.55,-1.43995
3.6,-1.44196
3.65,-1.43933
3.7,-1.43508
3.75,-1.4261
3.8,-1.41372
3.85,-1.407
3.9,-1.39763
3.95,-1.37994
4,-1.36373
4.05,-1.34476
4.1,-1.33641
4.15,-1.32227
4.2,-1.32628
4.25,-1.32509
4.3,-1.32006
4.35,-1.3096
4.4,-1.30423
4.45,-1.31292
4.5,-1.3169
4.55,-1.32328
4.6,-1.3291
4.65,-1.32977
4.7,-1.33168
4.75,-1.32578
4.8,-1.31436
4.85,-1.29848
4.9,-1.26635
4.95,-1.21864
5,-1.16049
5.05,-1.07237
5.1,-0.959729
5.15,-0.821352
5.2,-0.656519
5.25,-0.467259
5.3,-0.265952
5.35,-0.0497112
5.4,0.169782
5.45,0.375824
5.5,0.568023
5.55,0.735593
5.6,0.867879
5.65,0.983783
5.7,1.07269
5.75,1.14071
5.8,1.19152
5.85,1.22929
5.9,1.25264
5.95,1.2717
6,1.27979
6.05,1.28582
6.1,1.2866
6.15,1.28077
6.2,1.26931
6.25,1.24868
6.3,1.22338
6.35,1.18599
6.4,1.13344
6.45,1.06542
6.5,0.976323
6.55,0.859576
6.6,0.717743
6.65,0.54927
6.7,0.366743
6.75,0.158003
6.8,-0.0584034
6.85,-0.272639
6.9,-0.471857
6.95,-0.660946
7,-0.823554
7.05,-0.960316
7.1,-1.07058
7.15,-1.16899
7.2,-1.23321
7.25,-1.2931
7.3,-1.34102
7.35,-1.36993
7.4,-1.39167
7.45,-1.40268
7.5,-1.41357
7.55,-1.4174
7.6,-1.42403
7.65,-1.42102
7.7,-1.42197
7.75,-1.4141
7.8,-1.40115
7.85,-1.3875
7.9,-1.37681
7.95,-1.36983
8,-1.36858
8.05,-1.35829
8.1,-1.34122
8.15,-1.34372
8.2,-1.34482
8.25,-1.34629
8.3,-1.34553
8.35,-1.34715
8.4,-1.35233
8.45,-1.35366
8.5,-1.35664
8.55,-1.35409
8.6,-1.35383
8.65,-1.35814
8.7,-1.35589
8.75,-1.35266
8.8,-1.35077
8.85,-1.3433
8.9,-1.33016
8.95,-1.33396
9,-1.32273
9.05,-1.31249
9.1,-1.31374
9.15,-1.29961
9.2,-1.30395
9.25,-1.28295
9.3,-1.28601
9.35,-1.29237
9.4,-1.28573
9.45,-1.2926
9.5,-1.29119
9.55,-1.27753
9.6,-1.2745
9.65,-1.28238
9.7,-1.26784
9.75,-1.27422
9.8,-1.28591
9.85,-1.28922
9.9,-1.29756
9.95,-1.30322
10,-1.3153
10.05,-1.33008
10.1,-1.32706
10.15,-1.3345
10.2,-1.33924
10.25,-1.33742
10.3,-1.34105
10.35,-1.34527
10.4,-1.34625
10.45,-1.33996
10.5,-1.33246
10.55,-1.33924
10.6,-1.33108
10.65,-1.33193
10.7,-1.33517
10.75,-1.33584
10.8,-1.33885
10.85,-1.34109
10.9,-1.34543
10.95,-1.34655
11,-1.3491
11.05,-1.35096
11.1,-1.35793
11.15,-1.37173
11.2,-1.38368
11.25,-1.39273
11.3,-1.40352
11.35,-1.41478
11.4,-1.42698
11.45,-1.44088
11.5,-1.44871
11.55,-1.4589
11.6,-1.45175
11.65,-1.46064
11.7,-1.46171
11.75,-1.46773
11.8,-1.46873
11.85,-1.46753
11.9,-1.46837
11.95,-1.46999
12,-1.46788
12.05,-1.46616
12.1,-1.46399
12.15,-1.45955
12.2,-1.45591
12.25,-1.45803
12.3,-1.45507
12.35,-1.4536
12.4,-1.45721
12.45,-1.45322
12.5,-1.44616
12.55,-1.44251
12.6,-1.44208
12.65,-1.44155
12.7,-1.43801
12.75,-1.43683
12.8,-1.43574
12.85,-1.43431
12.9,-1.436
12.95,-1.43871
13,-1.43587
13.05,-1.43294
13.1,-1.43164
13.15,-1.42983
13.2,-1.43014
13.25,-1.43324
13.3,-1.43082
13.35,-1.43065
13.4,-1.42494
13.45,-1.42052
13.5,-1.40862
13.55,-1.39446
13.6,-1.37993
13.65,-1.36848
13.7,-1.35786
13.75,-1.34374
13.8,-1.34024
13.85,-1.33787
13.9,-1.32354
13.95,-1.32278
14,-1.32061
14.05,-1.32282
14.1,-1.32239
14.15,-1.32857
14.2,-1.33047
14.25,-1.34093
14.3,-1.3585
14.35,-1.37109
14.4,-1.38319
14.45,-1.39699
14.5,-1.40456
14.55,-1.41246
14.6,-1.41621
14.65,-1.4183
14.7,-1.41837
14.75,-1.40931
14.8,-1.40243
14.85,-1.39087
14.9,-1.37794
14.95,-1.36577
15,-1.35475
15.05,-1.34937
15.1,-1.33503
15.15,-1.32192
