tau,x
0,1.03871
0.05,0.996556
0.1,0.933344
0.15,0.877727
0.2,0.784945
0.25,0.697943
0.3,0.588315
0.35,0.468282
0.4,0.32378
0.45,0.175037
0.5,0.0235715
0.55,-0.128447
0.6,-0.273346
0.65,-0.408837
0.7,-0.541901
0.75,-0.654942
0.8,-0.763929
0.85,-0.849438
0.9,-0.927172
0.95,-1.0099
1,-1.08365
1.05,-1.14182
1.1,-1.18268
1.15,-1.2113
1.2,-1.23012
1.25,-1.26272
1.3,-1.28305
1.35,-1.31493
1.4,-1.33281
1.45,-1.35347
1.5,-1.36691
1.55,-1.3751
1.6,-1.37717
1.65,-1.36794
1.7,-1.35627
1.75,-1.32841
1.8,-1.28278
1.85,-1.21571
1.9,-1.13695
1.95,-1.04166
2,-0.922347
2.05,-0.779287
2.1,-0.595992
2.15,-0.407428
2.2,-0.192159
2.25,0.0339064
2.3,0.256866
2.35,0.455304
2.4,0.644537
2.45,0.805126
2.5,0.935723
2.55,1.04403
2.6,1.12772
2.65,1.19473
2.7,1.23729
2.75,1.2689
2.8,1.29017
2.85,1.30487
2.9,1.31571
2.95,1.32462
3,1.33554
3.05,1.34251
3.1,1.35204
3.15,1.35998
3.2,1.36851
3.25,1.37486
3.3,1.37797
3.35,1.37774
3.4,1.37295
3.45,1.36549
3.5,1.35074
3.55,1.32939
3.6,1.30182
3.65,1.2624
3.7,1.20934
3.75,1.14516
3.8,1.06685
3.85,0.954214
3.9,0.824422
3.95,0.669901
4,0.498818
4.05,0.313903
4.1,0.117288
4.15,-0.0754402
4.2,-0.264322
4.25,-0.441416
4.3,-0.603215
4.35,-0.750936
4.4,-0.876239
4.45,-0.986201
4.5,-1.07834
4.55,-1.15259
4.6,-1.21478
4.65,-1.26283
4.7,-1.29557
4.75,-1.32172
4.8,-1.33962
4.85,-1.34617
4.9,-1.3504
4.95,-1.3525
5,-1.35151
5.05,-1.35244
5.1,-1.3521
5.15,-1.34995
5.2,-1.34705
5.25,-1.34528
5.3,-1.34568
5.35,-1.34555
5.4,-1.34116
5.45,-1.34475
5.5,-1.34541
5.55,-1.35641
5.6,-1.36049
5.65,-1.3715
5.7,-1.38339
5.75,-1.39532
5.8,-1.40732
5.85,-1.41454
5.9,-1.42234
5.95,-1.42713
6,-1.43291
6.05,-1.43516
6.1,-1.43668
6.15,-1.44043
6.2,-1.44652
6.25,-1.45472
6.3,-1.46664
6.35,-1.46602
6.4,-1.46127
6.45,-1.46571
6.5,-1.47158
6.55,-1.47072
6.6,-1.45431
6.65,-1.45896
6.7,-1.45297
6.75,-1.45366
6.8,-1.44364
6.85,-1.43372
6.9,-1.43355
6.95,-1.43449
7,-1.42636
7.05,-1.41753
7.1,-1.40684
7.15,-1.39941
7.2,-1.39186
7.25,-1.3933
7.3,-1.39098
7.35,-1.3958
7.4,-1.40243
7.45,-1.40534
7.5,-1.40584
7.55,-1.40126
7.6,-1.39736
7.65,-1.38637
7.7,-1.37787
7.75,-1.36976
7.8,-1.35155
7.85,-1.34189
7.9,-1.33004
7.95,-1.33007
8,-1.32148
8.05,-1.3033
8.1,-1.3031
8.15,-1.28635
8.2,-1.29465
8.25,-1.29814
8.3,-1.30345
8.35,-1.31063
8.4,-1.32067
8.45,-1.33114
8.5,-1.33683
8.55,-1.34029
8.6,-1.34662
8.65,-1.3442
8.7,-1.35623
8.75,-1.36537
8.8,-1.36851
8.85,-1.36556
8.9,-1.35981
8.95,-1.35102
9,-1.33961
9.05,-1.32862
9.1,-1.32167
9.15,-1.31118
9.2,-1.30561
9.25,-1.30914
9.3,-1.30663
9.35,-1.31256
9.4,-1.31649
9.45,-1.31759
9.5,-1.31071
9.55,-1.29771
9.6,-1.29642
9.65,-1.2929
9.7,-1.28554
9.75,-1.29113
9.8,-1.28881
9.85,-1.29364
9.9,-1.29369
9.95,-1.29428
10,-1.28794
10.05,-1.2746
10.1,-1.25334
10.15,-1.22233
10.2,-1.18375
10.25,-1.13088
10.3,-1.07218
10.35,-0.990909
10.4,-0.913421
10.45,-0.808333
10.5,-0.689814
10.55,-0.569823
10.6,-0.438837
10.65,-0.292449
10.7,-0.14044
10.75,0.0190833
10.8,0.167286
10.85,0.309515
10.9,0.43742
10.95,0.567563
11,0.680705
11.05,0.778762
11.1,0.864469
11.15,0.930528
11.2,0.996588
11.25,1.04355
11.3,1.10198
11.35,1.12939
11.4,1.16082
11.45,1.1877
11.5,1.20686
11.55,1.22585
11.6,1.23584
11.65,1.24323
11.7,1.26073
11.75,1.27158
11.8,1.27755
11.85,1.28349
11.9,1.28026
11.95,1.27377
12,1.26336
12.05,1.26789
12.1,1.25006
12.15,1.25899
12.2,1.25714
12.25,1.25337
12.3,1.26078
12.35,1.27139
12.4,1.26384
12.45,1.25804
12.5,1.261
12.55,1.26546
12.6,1.26216
12.65,1.25281
12.7,1.25096
12.75,1.25065
12.8,1.24439
12.85,1.2432
12.9,1.24205
12.95,1.24319
13,1.25363
13.05,1.2653
13.1,1.25849
13.15,1.25245
13.2,1.2702
13.25,1.27237
13.3,1.29319
13.35,1.29771
13.4,1.30184
13.45,1.28746
13.5,1.30609
13.55,1.32172
13.6,1.3411
13.65,1.36258
13.7,1.38611
13.75,1.39803
13.8,1.41803
13.85,1.42623
13.9,1.4324
13.95,1.43209
14,1.44242
14.05,1.44155
14.1,1.4397
14.15,1.44038
14.2,1.45101
14.25,1.45495
14.3,1.46143
14.35,1.45761
14.4,1.4555
14.45,1.45838
