tau,x
0,0.644124
0.05,0.931494
0.1,1.33905
0.15,0.754449
0.2,0.588897
0.25,0.681886
0.3,0.473765
0.35,0.655775
0.4,0.603524
0.45,0.474178
0.5,-0.176328
0.55,-0.55027
0.6,-0.855141
0.65,-0.628739
0.7,-0.745688
0.75,-0.968309
0.8,-0.714449
0.85,-0.143597
0.9,0.0225007
0.95,-0.0535537
1,-0.520864
1.05,-0.467018
1.1,-0.974413
1.15,-1.082
1.2,-0.921275
1.25,-0.918045
1.3,-1.0093
1.35,-1.38106
1.4,-1.41369
1.45,-1.28963
1.5,-1.62534
1.55,-1.4665
1.6,-1.6191
1.65,-1.46878
1.7,-1.42357
1.75,-2.20062
1.8,-2.08388
1.85,-1.80256
1.9,-1.89522
1.95,-1.86141
2,-1.8893
2.05,-1.31207
2.1,-0.762073
2.15,-0.0974084
2.2,-0.195808
2.25,0.341155
2.3,0.73182
2.35,0.842776
2.4,0.429467
2.45,0.52192
2.5,1.08916
2.55,1.42314
2.6,1.66629
2.65,1.64903
2.7,1.43932
2.75,1.29113
2.8,0.851806
2.85,0.915347
2.9,1.0241
2.95,1.61573
3,1.36457
3.05,1.12561
3.1,0.906869
3.15,1.23495
3.2,1.53172
3.25,1.68996
3.3,1.25257
3.35,0.795105
3.4,1.34118
3.45,1.00102
3.5,1.55828
3.55,1.49061
3.6,1.66678
3.65,1.93346
3.7,1.73665
3.75,1.74433
3.8,1.34866
3.85,0.779431
3.9,0.861075
3.95,0.456639
4,0.415469
4.05,0.084891
4.1,-0.216225
4.15,-0.129451
4.2,-0.430791
4.25,-0.558004
4.3,-0.538135
4.35,-0.29241
4.4,-0.236862
4.45,-0.779987
4.5,-1.13838
4.55,-1.45464
4.6,-1.43325
4.65,-1.68242
4.7,-1.42303
4.75,-1.19135
4.8,-1.26966
4.85,-1.60609
4.9,-1.485
4.95,-1.87417
5,-1.77833
5.05,-1.45345
5.1,-1.04789
5.15,-0.993641
5.2,-0.752077
5.25,-0.581028
5.3,-0.575611
5.35,-0.657085
5.4,-0.377276
5.45,-0.67122
5.5,-0.94096
5.55,-1.34224
5.6,-1.18919
5.65,-1.14709
5.7,-1.05535
5.75,-1.49389
5.8,-1.58845
5.85,-1.86022
5.9,-1.81936
5.95,-1.47463
6,-1.26465
6.05,-1.0752
6.1,-1.60218
6.15,-1.49653
6.2,-1.44506
6.25,-1.64841
6.3,-1.82715
6.35,-1.80716
6.4,-2.11772
6.45,-1.86932
6.5,-1.91185
6.55,-2.05287
6.6,-1.38729
6.65,-1.36618
6.7,-1.64568
6.75,-2.09986
6.8,-2.1989
6.85,-1.59324
6.9,-1.75062
6.95,-1.98207
7,-1.39505
7.05,-1.33438
7.1,-1.23421
7.15,-0.96115
7.2,-0.937371
7.25,-1.05306
7.3,-1.2128
7.35,-1.14254
7.4,-1.49761
7.45,-1.51265
7.5,-1.34447
7.55,-1.66016
7.6,-1.62058
7.65,-1.63985
7.7,-1.50402
7.75,-1.8276
7.8,-1.58958
7.85,-1.58159
7.9,-1.05679
7.95,-0.803389
8,-1.0917
8.05,-0.994325
8.1,-1.04598
8.15,-0.433376
8.2,-0.314517
8.25,-0.782876
8.3,-0.82302
8.35,-0.886177
8.4,-0.412608
8.45,-0.840681
8.5,-1.39765
8.55,-0.783608
8.6,-1.50019
8.65,-1.62087
8.7,-1.44019
8.75,-1.5828
8.8,-1.49887
8.85,-1.64525
8.9,-1.82652
8.95,-1.79779
9,-1.94931
9.05,-1.7624
9.1,-1.52234
9.15,-1.1735
9.2,-1.07809
9.25,-0.628851
9.3,-0.326886
9.35,-0.533243
