tau,x
0,1.10308
0.05,0.851798
0.1,1.3576
0.15,1.33378
0.2,1.69018
0.25,2.16253
0.3,1.79153
0.35,1.62958
0.4,1.2416
0.45,1.40458
0.5,1.88298
0.55,1.70359
0.6,2.16995
0.65,1.80602
0.7,1.26329
0.75,1.17556
0.8,0.987926
0.85,0.979697
0.9,1.26746
0.95,1.27509
1,1.66135
1.05,1.39132
1.1,1.25784
1.15,1.02545
1.2,1.1318
1.25,1.11005
1.3,1.03583
1.35,1.36194
1.4,1.09264
1.45,1.25792
1.5,1.4848
1.55,1.74881
1.6,1.51714
1.65,1.58543
1.7,1.32161
1.75,1.49158
1.8,1.60644
1.85,1.48117
1.9,0.891531
1.95,0.975517
2,0.873873
2.05,0.819342
2.1,1.14858
2.15,1.25969
2.2,0.868855
2.25,1.10129
2.3,0.609039
2.35,0.649992
2.4,0.922778
2.45,0.535017
2.5,0.823901
2.55,0.95025
2.6,1.06201
2.65,1.44193
2.7,1.55667
2.75,1.30342
2.8,1.14073
2.85,1.27733
2.9,1.10336
2.95,0.728996
3,0.350186
3.05,0.0107311
3.1,-0.292927
3.15,-0.235345
3.2,-0.464275
3.25,-0.472259
3.3,-0.605011
3.35,-0.951533
3.4,-1.28802
3.45,-0.79589
3.5,-0.817581
3.55,-0.708078
3.6,-0.86648
3.65,-0.902106
3.7,-0.90301
3.75,-0.890674
3.8,-0.800514
3.85,-0.499009
3.9,-0.317336
3.95,-0.474633
4,-1.11096
4.05,-1.28764
4.1,-1.5793
4.15,-1.66865
4.2,-1.55999
4.25,-1.54503
4.3,-1.54281
4.35,-0.792646
4.4,-0.552173
4.45,-1.0635
4.5,-0.702979
4.55,-0.820282
4.6,-0.416989
4.65,0.0653512
4.7,0.281682
4.75,0.603924
4.8,1.12996
4.85,1.22582
4.9,1.52046
4.95,1.5799
5,1.3412
5.05,1.38443
5.1,1.75395
5.15,1.04436
5.2,0.897003
5.25,0.916777
5.3,1.28991
5.35,0.919657
5.4,1.27748
5.45,1.09841
5.5,1.23882
5.55,1.28511
5.6,1.59656
5.65,1.90572
5.7,1.80243
5.75,2.20715
5.8,1.98757
5.85,1.7382
5.9,1.25825
5.95,1.08152
6,0.732797
6.05,0.7728
6.1,1.07212
6.15,0.927616
6.2,0.715217
6.25,1.23319
6.3,0.460681
6.35,0.657682
6.4,0.467926
6.45,0.662886
6.5,0.506807
6.55,0.713398
6.6,1.13576
6.65,1.56034
6.7,1.41076
6.75,1.524
6.8,1.77587
6.85,1.6534
6.9,1.24624
6.95,1.04451
7,1.3
7.05,1.25691
7.1,1.24603
7.15,1.28586
7.2,1.23474
7.25,1.64644
7.3,1.43953
7.35,1.65485
7.4,0.85374
7.45,1.32462
7.5,1.72198
7.55,1.98449
7.6,1.67893
7.65,2.09898
7.7,1.95637
7.75,1.45032
7.8,1.58499
7.85,1.55566
7.9,1.45832
