tau,x
0,1.26836
0.05,1.50097
0.1,1.67118
0.15,1.80809
0.2,1.82548
0.25,1.53029
0.3,1.56225
0.35,1.22964
0.4,1.46113
0.45,1.46129
0.5,1.74154
0.55,2.09185
0.6,1.55205
0.65,1.42663
0.7,1.08849
0.75,0.679224
0.8,0.61078
0.85,0.670581
0.9,1.23284
0.95,1.25685
1,1.15486
1.05,1.25087
1.1,1.19682
1.15,0.976656
1.2,1.1303
1.25,0.540636
1.3,0.881322
1.35,0.823685
1.4,0.420941
1.45,0.532764
1.5,0.574572
1.55,0.00108142
1.6,0.158847
1.65,-0.15671
1.7,-0.276698
1.75,0.0693895
1.8,0.42067
1.85,0.360246
1.9,0.775268
1.95,0.651799
2,0.717817
2.05,1.1517
2.1,0.783976
2.15,0.428611
2.2,0.457543
2.25,0.392431
2.3,0.253152
2.35,-0.185273
2.4,-0.148939
2.45,0.0873438
2.5,-0.0852028
2.55,-0.0306646
2.6,0.485049
2.65,0.832955
2.7,0.803892
2.75,0.723388
2.8,0.536671
2.85,0.774988
2.9,0.351468
2.95,0.579862
3,0.935606
3.05,0.653876
3.1,0.276486
3.15,0.219599
3.2,0.517195
3.25,1.14077
3.3,0.994427
3.35,1.28057
3.4,1.44156
3.45,0.913165
3.5,1.03867
3.55,1.60649
3.6,1.47567
3.65,1.74045
3.7,1.90426
3.75,1.93496
3.8,2.03869
3.85,1.02041
3.9,0.944653
3.95,0.997264
4,1.28461
4.05,0.84083
4.1,0.59181
4.15,0.322434
4.2,0.29183
4.25,0.34421
4.3,0.45906
4.35,0.0382966
4.4,-0.145018
4.45,-0.25502
4.5,0.0366533
4.55,0.369268
4.6,0.609105
4.65,0.342945
4.7,0.352421
4.75,0.689313
4.8,0.403333
4.85,0.244362
4.9,0.419023
4.95,0.278983
5,0.377183
5.05,0.14807
5.1,0.480702
5.15,0.939427
5.2,0.598447
5.25,1.13764
5.3,1.13773
5.35,1.56292
5.4,1.15793
5.45,1.41166
5.5,0.754154
5.55,1.03237
5.6,0.75756
5.65,0.212348
5.7,0.13767
5.75,0.285001
5.8,0.542792
5.85,0.0924385
5.9,0.798976
5.95,0.560943
6,0.412365
6.05,0.208012
6.1,0.296926
6.15,0.680095
6.2,0.242654
6.25,0.565123
6.3,0.292513
6.35,0.273378
6.4,0.239057
6.45,0.0255657
6.5,-0.29196
6.55,0.153144
6.6,0.359566
6.65,-0.14612
6.7,-0.318614
6.75,-0.459136
6.8,-0.443101
6.85,-0.288181
6.9,-0.595084
6.95,-0.707918
7,-0.554323
7.05,-0.208661
7.1,-0.0491807
7.15,-0.480857
7.2,-1.15914
7.25,-0.992762
7.3,-1.05575
7.35,-0.477665
7.4,-0.582925
7.45,-0.751307
7.5,-0.790006
7.55,-0.938952
7.6,-1.46641
7.65,-1.41951
7.7,-1.46923
7.75,-1.55709
7.8,-1.32904
7.85,-1.55029
7.9,-1.87781
7.95,-1.55089
8,-1.36561
8.05,-1.83059
8.1,-1.45075
8.15,-0.636369
8.2,-0.952733
8.25,-1.08559
8.3,-1.26395
8.35,-1.34262
8.4,-1.07425
8.45,-0.746015
8.5,-1.05353
8.55,-1.41662
8.6,-1.50618
8.65,-1.47001
8.7,-1.03457
8.75,-1.14701
8.8,-0.545536
8.85,-0.913836
8.9,-0.513497
8.95,-1.09383
9,-1.04333
9.05,-0.654623
9.1,-0.561274
9.15,-1.416
9.2,-1.4767
9.25,-1.60948
9.3,-1.0916
9.35,-0.84415
9.4,-1.31806
9.45,-1.30768
9.5,-1.11912
9.55,-1.31207
9.6,-1.70355
9.65,-2.07403
9.7,-1.67644
9.75,-1.52976
9.8,-1.50243
9.85,-1.84096
9.9,-1.53931
9.95,-0.922773
10,-1.46638
10.05,-1.53988
10.1,-1.36773
10.15,-1.38512
10.2,-1.33781
10.25,-1.06433
10.3,-0.861469
10.35,-0.487806
10.4,0.0314052
10.45,0.362367
10.5,0.56435
10.55,0.733848
10.6,0.724519
10.65,0.67225
10.7,0.574114
10.75,-0.164119
10.8,-0.142473
10.85,-0.461653
10.9,-0.286504
10.95,0.116957
11,-0.132903
11.05,-0.309538
11.1,-0.596837
11.15,-1.05608
11.2,-0.872541
11.25,-0.889981
11.3,-0.682084
11.35,-1.07713
11.4,-1.13102
11.45,-0.636635
11.5,-1.06289
11.55,-0.846979
11.6,-0.760104
11.65,-0.99936
11.7,-1.04083
11.75,-1.2239
11.8,-1.29741
11.85,-1.47337
11.9,-1.51826
11.95,-1.41131
12,-1.85865
12.05,-1.21652
12.1,-0.911268
12.15,-1.19777
12.2,-1.36565
12.25,-1.49029
12.3,-1.03277
12.35,-0.949786
12.4,-1.33377
12.45,-0.93212
12.5,-1.32615
12.55,-1.55784
12.6,-1.63979
12.65,-1.87237
12.7,-2.0639
12.75,-1.96047
12.8,-1.8062
12.85,-1.7083
12.9,-1.95477
12.95,-1.65838
13,-1.78133
13.05,-1.81308
13.1,-2.11227
13.15,-2.2527
13.2,-1.90598
13.25,-1.50816
13.3,-1.4178
13.35,-1.06763
13.4,-0.510748
13.45,-0.673048
13.5,-0.40268
13.55,-0.470586
13.6,-0.388322
13.65,-0.617755
13.7,-0.505322
13.75,-0.867713
13.8,-0.720835
13.85,-0.273975
13.9,-0.260865
13.95,-0.379565
14,-0.221424
14.05,-0.0715275
14.1,0.108681
14.15,-0.280766
14.2,-0.00212488
14.25,-0.169868
14.3,-0.116339
14.35,-0.329853
14.4,-0.180387
14.45,-0.570295
14.5,0.0487593
14.55,0.392008
14.6,0.386385
14.65,0.280867
14.7,-0.0805926
14.75,-0.0866678
14.8,0.131137
14.85,0.0152303
14.9,0.109846
14.95,-0.450687
15,0.0306584
15.05,0.319004
15.1,0.0765258
15.15,0.0101841
15.2,-0.176599
15.25,-0.293931
15.3,-0.355602
15.35,-0.252933
15.4,-0.219169
15.45,-0.245541
15.5,-0.788642
15.55,-0.489325
15.6,-0.379102
15.65,0.0103273
15.7,-0.611163
15.75,-0.881989
15.8,-1.45947
15.85,-1.36449
15.9,-1.52454
15.95,-1.36953
16,-1.65177
16.05,-1.53045
16.1,-1.41013
16.15,-1.20239
16.2,-1.4747
16.25,-1.41075
16.3,-1.15998
16.35,-0.837071
16.4,-0.703462
16.45,-0.415532
16.5,-0.597829
16.55,-0.840627
16.6,-0.354519
16.65,-0.0202914
16.7,0.0257903
16.75,-0.375736
16.8,-0.799518
16.85,-0.707987
16.9,-0.626757
16.95,0.13289
17,0.184571
17.05,0.112791
17.1,-0.098861
17.15,-0.572265
17.2,-0.658823
17.25,-1.15478
17.3,-1.44018
17.35,-1.38723
17.4,-1.39907
17.45,-1.75437
17.5,-1.77541
17.55,-1.74632
17.6,-1.49531
17.65,-1.39359
17.7,-1.77734
17.75,-1.76586
17.8,-1.3143
17.85,-0.867434
17.9,-1.37874
17.95,-0.973077
18,-1.13772
18.05,-1.33114
18.1,-1.22059
18.15,-1.63433
