tau,x
0,1.36949
0.05,1.38106
0.1,1.39549
0.15,1.40887
0.2,1.41863
0.25,1.42026
0.3,1.42056
0.35,1.42744
0.4,1.42324
0.45,1.42817
0.5,1.42596
0.55,1.4257
0.6,1.41921
0.65,1.41813
0.7,1.41216
0.75,1.40917
0.8,1.40327
0.85,1.39436
0.9,1.38724
0.95,1.3871
1,1.38012
1.05,1.37056
1.1,1.36383
1.15,1.36814
1.2,1.36928
1.25,1.36987
1.3,1.367
1.35,1.37389
1.4,1.37911
1.45,1.38335
1.5,1.38647
1.55,1.3871
1.6,1.38531
1.65,1.37798
1.7,1.37103
1.75,1.36323
1.8,1.355
1.85,1.34621
1.9,1.33624
1.95,1.31855
2,1.31966
2.05,1.31888
2.1,1.31789
2.15,1.31803
2.2,1.31738
2.25,1.30269
2.3,1.29231
2.35,1.29035
2.4,1.28281
2.45,1.27082
2.5,1.25966
2.55,1.24406
2.6,1.21784
2.65,1.18124
2.7,1.12838
2.75,1.06056
2.8,0.976611
2.85,0.867411
2.9,0.736147
2.95,0.581883
3,0.409675
3.05,0.220635
3.1,0.0291573
3.15,-0.165396
3.2,-0.355411
3.25,-0.520204
3.3,-0.655966
3.35,-0.776623
3.4,-0.875834
3.45,-0.956688
3.5,-1.02022
3.55,-1.07372
3.6,-1.11482
3.65,-1.13687
3.7,-1.16415
3.75,-1.18426
3.8,-1.19773
3.85,-1.20793
3.9,-1.22401
3.95,-1.21902
4,-1.22358
4.05,-1.2196
4.1,-1.20756
4.15,-1.17352
4.2,-1.13778
4.25,-1.08618
4.3,-1.015
4.35,-0.914888
4.4,-0.793733
4.45,-0.652801
4.5,-0.477114
4.55,-0.278575
4.6,-0.0704754
4.65,0.148514
4.7,0.354376
4.75,0.556266
4.8,0.723014
4.85,0.862749
4.9,0.990616
4.95,1.08394
5,1.16666
5.05,1.22382
5.1,1.26795
5.15,1.29988
5.2,1.3249
5.25,1.34231
5.3,1.35478
5.35,1.36511
5.4,1.37545
5.45,1.38514
5.5,1.39257
5.55,1.39982
5.6,1.40488
5.65,1.40558
5.7,1.40778
5.75,1.4027
5.8,1.39747
5.85,1.38738
5.9,1.37381
5.95,1.3649
6,1.35315
6.05,1.34809
6.1,1.33884
6.15,1.33467
6.2,1.31889
6.25,1.31724
6.3,1.31718
6.35,1.31697
6.4,1.31075
6.45,1.3136
6.5,1.3146
6.55,1.32285
6.6,1.3272
6.65,1.33366
6.7,1.33427
6.75,1.3466
6.8,1.35346
6.85,1.35575
6.9,1.36427
6.95,1.37033
7,1.37647
7.05,1.3812
7.1,1.38397
7.15,1.38666
7.2,1.38975
7.25,1.39438
7.3,1.39668
7.35,1.40279
7.4,1.40622
7.45,1.4126
7.5,1.41562
7.55,1.41597
7.6,1.41582
7.65,1.42662
7.7,1.43502
7.75,1.43643
