tau,x
0,-1.31067
0.05,-1.30653
0.1,-1.29379
0.15,-1.27888
0.2,-1.26443
0.25,-1.27185
0.3,-1.29256
0.35,-1.28226
0.4,-1.29242
0.45,-1.29072
0.5,-1.28411
0.55,-1.2913
0.6,-1.29609
0.65,-1.31098
0.7,-1.30576
0.75,-1.30394
0.8,-1.31415
0.85,-1.32
0.9,-1.32767
0.95,-1.3397
1,-1.35404
1.05,-1.36759
1.1,-1.38002
1.15,-1.38927
1.2,-1.39051
1.25,-1.38868
1.3,-1.38798
1.35,-1.38778
1.4,-1.37919
1.45,-1.37421
1.5,-1.36713
1.55,-1.36795
1.6,-1.36112
1.65,-1.35133
1.7,-1.33586
1.75,-1.34223
1.8,-1.34661
1.85,-1.34736
1.9,-1.33971
1.95,-1.33975
2,-1.34436
2.05,-1.3449
2.1,-1.35319
2.15,-1.35738
2.2,-1.35517
2.25,-1.36607
2.3,-1.37318
2.35,-1.37808
2.4,-1.38404
2.45,-1.38919
2.5,-1.39309
2.55,-1.3973
2.6,-1.39736
2.65,-1.39761
2.7,-1.39855
2.75,-1.39742
2.8,-1.39487
2.85,-1.3869
2.9,-1.37448
2.95,-1.35693
3,-1.33409
3.05,-1.30182
3.1,-1.25487
3.15,-1.19939
3.2,-1.12475
3.25,-1.03377
3.3,-0.924908
3.35,-0.824096
3.4,-0.705919
3.45,-0.579478
3.5,-0.43928
3.55,-0.277433
3.6,-0.144889
3.65,-0.00887726
3.7,0.100305
3.75,0.230703
3.8,0.325282
3.85,0.407721
3.9,0.483392
3.95,0.554757
4,0.632746
4.05,0.666546
4.1,0.680148
4.15,0.725458
4.2,0.747294
4.25,0.824966
4.3,0.866153
4.35,0.845375
4.4,0.877889
4.45,0.927987
4.5,0.983587
4.55,0.997021
4.6,1.01984
4.65,1.03658
4.7,1.07301
4.75,1.1012
4.8,1.12052
4.85,1.13282
4.9,1.14529
4.95,1.17412
5,1.17548
5.05,1.19281
5.1,1.19391
5.15,1.21184
5.2,1.2239
5.25,1.23265
5.3,1.24047
5.35,1.26381
5.4,1.27574
5.45,1.2863
5.5,1.30027
5.55,1.30656
5.6,1.31365
5.65,1.30835
5.7,1.31648
5.75,1.31294
5.8,1.31776
5.85,1.31723
5.9,1.3223
5.95,1.32514
6,1.31367
6.05,1.31323
6.1,1.31669
6.15,1.33247
6.2,1.34023
6.25,1.34833
6.3,1.35607
6.35,1.35257
6.4,1.36269
6.45,1.37446
6.5,1.37731
6.55,1.38269
6.6,1.38891
6.65,1.39237
6.7,1.39442
6.75,1.39802
6.8,1.40197
6.85,1.40776
6.9,1.4133
6.95,1.41987
7,1.42677
7.05,1.43401
7.1,1.43382
7.15,1.43239
7.2,1.43324
7.25,1.43902
7.3,1.43909
7.35,1.43784
7.4,1.43675
7.45,1.44212
7.5,1.45241
7.55,1.44962
7.6,1.44942
7.65,1.44791
7.7,1.44416
7.75,1.44127
7.8,1.44337
7.85,1.43982
7.9,1.44053
7.95,1.4401
8,1.43433
8.05,1.43747
8.1,1.43246
8.15,1.42999
8.2,1.42735
8.25,1.42718
8.3,1.42604
8.35,1.42366
8.4,1.41766
8.45,1.41337
8.5,1.4082
8.55,1.40079
8.6,1.39414
8.65,1.38786
8.7,1.38141
8.75,1.37849
8.8,1.37615
8.85,1.37479
8.9,1.37295
8.95,1.37212
9,1.37158
9.05,1.36739
9.1,1.36425
9.15,1.36345
9.2,1.3565
9.25,1.34719
9.3,1.34974
9.35,1.3492
9.4,1.35112
9.45,1.34805
9.5,1.3457
9.55,1.34185
9.6,1.34275
9.65,1.34076
9.7,1.34114
9.75,1.33595
9.8,1.32394
9.85,1.31962
9.9,1.3245
9.95,1.31449
10,1.30155
10.05,1.30437
10.1,1.29735
10.15,1.29914
10.2,1.29364
10.25,1.29783
10.3,1.29746
10.35,1.28996
10.4,1.28948
10.45,1.29383
10.5,1.28829
10.55,1.26989
10.6,1.25427
10.65,1.26227
10.7,1.25761
10.75,1.25188
10.8,1.24173
10.85,1.23973
10.9,1.24418
10.95,1.23482
11,1.21425
11.05,1.19442
11.1,1.1881
11.15,1.17752
11.2,1.19593
11.25,1.1795
11.3,1.1766
11.35,1.14997
11.4,1.13448
11.45,1.11526
11.5,1.08208
11.55,1.04907
11.6,0.993545
11.65,0.93621
11.7,0.861852
11.75,0.775449
11.8,0.667923
11.85,0.539288
11.9,0.391908
11.95,0.232189
12,0.0632325
12.05,-0.105927
12.1,-0.270289
12.15,-0.424386
12.2,-0.564597
12.25,-0.690655
12.3,-0.792533
12.35,-0.891479
12.4,-0.972646
12.45,-1.03582
12.5,-1.09446
12.55,-1.14175
12.6,-1.1815
12.65,-1.20891
12.7,-1.22266
12.75,-1.24279
12.8,-1.26462
12.85,-1.28603
12.9,-1.30355
12.95,-1.31169
13,-1.31419
13.05,-1.31373
13.1,-1.31774
13.15,-1.31687
13.2,-1.32145
13.25,-1.30983
13.3,-1.30677
13.35,-1.30993
13.4,-1.3081
13.45,-1.30864
13.5,-1.31326
13.55,-1.33094
13.6,-1.33952
13.65,-1.34419
13.7,-1.35553
13.75,-1.35501
13.8,-1.36587
13.85,-1.37695
13.9,-1.38529
13.95,-1.39158
14,-1.39551
14.05,-1.39785
14.1,-1.39728
14.15,-1.39507
14.2,-1.38846
14.25,-1.37977
14.3,-1.37203
14.35,-1.36158
14.4,-1.35368
14.45,-1.35327
14.5,-1.34177
14.55,-1.33542
14.6,-1.33215
14.65,-1.32163
14.7,-1.31765
14.75,-1.31529
14.8,-1.30975
14.85,-1.3071
14.9,-1.30331
14.95,-1.30145
15,-1.30638
15.05,-1.30222
15.1,-1.30516
15.15,-1.31337
15.2,-1.30733
15.25,-1.29946
15.3,-1.29467
15.35,-1.28628
15.4,-1.28246
15.45,-1.27441
15.5,-1.27268
15.55,-1.27033
15.6,-1.26481
15.65,-1.25956
15.7,-1.25006
15.75,-1.25421
15.8,-1.25612
15.85,-1.25561
15.9,-1.2733
15.95,-1.28259
16,-1.26409
16.05,-1.25574
16.1,-1.25271
16.15,-1.2463
16.2,-1.24682
16.25,-1.25012
16.3,-1.25612
16.35,-1.25461
16.4,-1.24293
16.45,-1.2316
16.5,-1.23412
16.55,-1.22703
16.6,-1.22954
16.65,-1.22332
16.7,-1.21073
16.75,-1.21071
16.8,-1.2146
16.85,-1.21314
16.9,-1.23939
16.95,-1.25239
17,-1.25413
17.05,-1.26115
17.1,-1.26394
17.15,-1.27644
17.2,-1.29287
17.25,-1.30704
17.3,-1.31045
17.35,-1.32648
17.4,-1.34426
17.45,-1.3581
17.5,-1.37131
17.55,-1.38721
17.6,-1.40086
17.65,-1.40859
17.7,-1.4171
17.75,-1.4208
17.8,-1.42076
17.85,-1.42544
17.9,-1.42352
17.95,-1.41929
18,-1.41401
18.05,-1.40778
18.1,-1.40414
18.15,-1.40069
18.2,-1.39944
18.25,-1.40317
18.3,-1.40679
18.35,-1.40885
18.4,-1.41551
18.45,-1.42238
18.5,-1.42752
18.55,-1.43237
18.6,-1.43337
18.65,-1.44184
18.7,-1.44122
18.75,-1.44148
18.8,-1.44422
18.85,-1.44803
18.9,-1.44308
18.95,-1.44684
19,-1.4417
19.05,-1.43505
19.1,-1.43252
19.15,-1.42542
19.2,-1.41458
19.25,-1.40644
19.3,-1.3968
19.35,-1.38538
19.4,-1.36625
19.45,-1.35023
19.5,-1.32812
19.55,-1.31127
19.6,-1.28899
19.65,-1.27346
19.7,-1.25482
19.75,-1.23811
19.8,-1.21716
19.85,-1.21175
19.9,-1.19261
19.95,-1.19101
20,-1.20585
20.05,-1.20929
20.1,-1.20192
20.15,-1.20471
20.2,-1.19499
20.25,-1.20857
20.3,-1.21428
20.35,-1.22916
20.4,-1.24584
20.45,-1.24366
20.5,-1.26409
20.55,-1.28118
20.6,-1.30122
20.65,-1.29735
20.7,-1.31501
20.75,-1.32508
20.8,-1.33738
20.85,-1.35089
20.9,-1.36469
20.95,-1.36954
21,-1.37927
21.05,-1.38844
21.1,-1.39569
21.15,-1.40359
21.2,-1.40533
21.25,-1.40441
21.3,-1.40636
21.35,-1.4025
21.4,-1.40098
21.45,-1.40155
21.5,-1.40203
21.55,-1.4048
21.6,-1.40802
21.65,-1.40919
21.7,-1.4149
21.75,-1.41908
21.8,-1.4182
21.85,-1.428
21.9,-1.42263
21.95,-1.42958
22,-1.43581
22.05,-1.446
22.1,-1.44139
22.15,-1.43939
22.2,-1.43979
22.25,-1.43483
22.3,-1.43395
22.35,-1.43389
22.4,-1.42493
22.45,-1.42315
22.5,-1.41466
22.55,-1.40837
22.6,-1.39624
22.65,-1.38389
22.7,-1.36639
22.75,-1.35506
22.8,-1.35047
22.85,-1.33347
22.9,-1.32481
22.95,-1.31909
23,-1.30888
23.05,-1.31013
23.1,-1.31898
23.15,-1.31519
23.2,-1.30947
23.25,-1.32123
23.3,-1.32504
23.35,-1.32441
23.4,-1.32989
23.45,-1.34247
23.5,-1.35057
23.55,-1.35912
23.6,-1.37567
23.65,-1.38945
23.7,-1.39781
23.75,-1.40722
23.8,-1.41537
23.85,-1.42159
23.9,-1.42534
23.95,-1.41832
24,-1.42105
24.05,-1.41537
24.1,-1.40909
24.15,-1.40462
24.2,-1.39605
24.25,-1.38552
24.3,-1.37455
24.35,-1.36542
24.4,-1.35951
24.45,-1.35539
24.5,-1.34886
24.55,-1.34666
24.6,-1.34105
24.65,-1.33885
24.7,-1.34035
24.75,-1.34139
24.8,-1.34537
24.85,-1.34619
24.9,-1.34655
24.95,-1.35213
25,-1.3646
25.05,-1.3619
25.1,-1.37582
25.15,-1.3831
25.2,-1.39232
25.25,-1.40573
25.3,-1.41873
25.35,-1.42343
25.4,-1.4278
25.45,-1.43077
25.5,-1.43394
25.55,-1.42734
25.6,-1.41866
25.65,-1.40803
25.7,-1.39658
25.75,-1.38635
25.8,-1.3808
25.85,-1.37178
25.9,-1.36393
25.95,-1.35272
26,-1.34624
26.05,-1.33884
26.1,-1.33457
26.15,-1.3387
26.2,-1.34336
26.25,-1.34962
26.3,-1.35828
26.35,-1.36046
26.4,-1.37106
26.45,-1.37869
26.5,-1.38811
26.55,-1.39552
26.6,-1.39743
26.65,-1.39516
26.7,-1.39015
26.75,-1.38697
26.8,-1.37243
26.85,-1.35685
26.9,-1.33239
26.95,-1.32209
27,-1.29919
27.05,-1.26331
27.1,-1.25749
27.15,-1.22802
27.2,-1.21609
