tau,x
0,1.35944
0.05,1.37347
0.1,1.39247
0.15,1.40971
0.2,1.41424
0.25,1.41833
0.3,1.42385
0.35,1.42358
0.4,1.42231
0.45,1.42301
0.5,1.41582
0.55,1.41059
0.6,1.40204
0.65,1.39041
0.7,1.37762
0.75,1.37379
0.8,1.36464
0.85,1.35656
0.9,1.35658
0.95,1.34393
1,1.3366
1.05,1.3346
1.1,1.3315
1.15,1.33249
1.2,1.32807
1.25,1.32856
1.3,1.33006
1.35,1.32883
1.4,1.33575
1.45,1.34681
1.5,1.35886
1.55,1.37069
1.6,1.38182
1.65,1.39331
1.7,1.39855
1.75,1.40182
1.8,1.40187
1.85,1.39903
1.9,1.38991
1.95,1.38098
2,1.37764
2.05,1.36603
2.1,1.35861
2.15,1.35072
2.2,1.34187
2.25,1.33151
2.3,1.32676
2.35,1.33229
2.4,1.33186
2.45,1.33094
2.5,1.32798
2.55,1.33567
2.6,1.33719
2.65,1.34384
2.7,1.34433
2.75,1.33958
2.8,1.34207
2.85,1.34549
2.9,1.34594
2.95,1.34775
3,1.35134
3.05,1.35316
3.1,1.35063
3.15,1.34632
3.2,1.34086
3.25,1.35054
3.3,1.34413
3.35,1.35152
3.4,1.35281
3.45,1.35264
3.5,1.35867
3.55,1.36147
3.6,1.36699
3.65,1.3747
3.7,1.3818
3.75,1.38845
3.8,1.39622
3.85,1.39895
3.9,1.40322
3.95,1.4044
4,1.40389
4.05,1.39284
4.1,1.38283
4.15,1.3737
4.2,1.36253
4.25,1.34927
4.3,1.34694
4.35,1.34557
4.4,1.33913
4.45,1.32927
4.5,1.33721
4.55,1.34165
4.6,1.32834
4.65,1.32828
4.7,1.33838
4.75,1.34415
4.8,1.34793
4.85,1.34987
4.9,1.35013
4.95,1.35354
5,1.34741
5.05,1.34912
5.1,1.34116
5.15,1.33801
5.2,1.33179
5.25,1.3214
5.3,1.31784
5.35,1.31304
5.4,1.29865
5.45,1.29728
5.5,1.28562
5.55,1.29295
5.6,1.28497
5.65,1.28423
5.7,1.2862
5.75,1.27484
5.8,1.28057
5.85,1.27674
5.9,1.27848
5.95,1.28399
6,1.28933
6.05,1.2952
6.1,1.29116
6.15,1.28021
6.2,1.2713
6.25,1.26987
6.3,1.2571
6.35,1.24344
6.4,1.22355
6.45,1.19589
6.5,1.15497
6.55,1.10031
6.6,1.04015
6.65,0.978965
6.7,0.894451
6.75,0.794956
6.8,0.714206
6.85,0.59754
6.9,0.477491
6.95,0.40155
7,0.292329
7.05,0.201932
7.1,0.108162
7.15,0.0438857
7.2,-0.0116174
7.25,-0.0458649
7.3,-0.0640763
7.35,-0.0484507
7.4,-0.0446945
7.45,0.0161914
7.5,0.0943578
7.55,0.171534
7.6,0.26772
7.65,0.360594
7.7,0.456588
7.75,0.567041
7.8,0.660788
7.85,0.76298
7.9,0.844032
7.95,0.90255
8,0.977667
8.05,1.03428
8.1,1.08408
8.15,1.13406
8.2,1.17237
8.25,1.21363
8.3,1.24639
8.35,1.26835
8.4,1.2936
8.45,1.31204
8.5,1.33128
8.55,1.35286
8.6,1.36668
8.65,1.38319
8.7,1.39719
8.75,1.40309
8.8,1.40274
8.85,1.40779
8.9,1.40293
8.95,1.39645
9,1.38268
9.05,1.3699
9.1,1.35975
9.15,1.33894
9.2,1.32855
9.25,1.3156
9.3,1.31316
9.35,1.29862
9.4,1.29794
9.45,1.29438
9.5,1.27925
9.55,1.26675
9.6,1.2707
9.65,1.26518
9.7,1.26165
9.75,1.2774
9.8,1.26888
9.85,1.2603
9.9,1.26654
9.95,1.27326
10,1.28554
10.05,1.28871
10.1,1.2818
10.15,1.28601
10.2,1.27619
10.25,1.28103
10.3,1.29204
10.35,1.29542
10.4,1.30429
10.45,1.30779
10.5,1.30588
10.55,1.31464
10.6,1.31594
10.65,1.32909
10.7,1.33879
10.75,1.34671
10.8,1.35325
10.85,1.35884
10.9,1.36386
10.95,1.36823
11,1.36955
11.05,1.37081
11.1,1.37159
11.15,1.37201
11.2,1.37081
11.25,1.36888
11.3,1.36792
11.35,1.37239
11.4,1.37232
11.45,1.37684
11.5,1.38489
11.55,1.39037
11.6,1.40092
11.65,1.40997
11.7,1.41608
11.75,1.42016
11.8,1.42206
11.85,1.4254
11.9,1.42342
11.95,1.41928
12,1.41422
12.05,1.40662
12.1,1.40096
12.15,1.39455
12.2,1.38753
12.25,1.37911
12.3,1.37625
12.35,1.36774
12.4,1.36333
12.45,1.35648
12.5,1.34894
12.55,1.34089
12.6,1.33333
12.65,1.32613
12.7,1.323
12.75,1.32501
12.8,1.31562
12.85,1.3153
12.9,1.31959
12.95,1.32379
13,1.31059
13.05,1.29975
13.1,1.29537
13.15,1.30057
13.2,1.30498
13.25,1.28658
13.3,1.28572
13.35,1.28563
13.4,1.28188
13.45,1.275
13.5,1.28965
13.55,1.28339
13.6,1.28746
13.65,1.30187
13.7,1.31542
13.75,1.32285
13.8,1.33232
13.85,1.34066
13.9,1.35343
13.95,1.36709
14,1.37843
14.05,1.38955
14.1,1.39352
14.15,1.39867
14.2,1.39567
14.25,1.39188
14.3,1.38698
14.35,1.37622
14.4,1.3623
14.45,1.34977
14.5,1.3277
14.55,1.29916
14.6,1.26465
14.65,1.22518
14.7,1.17677
14.75,1.13374
14.8,1.05746
14.85,0.978615
14.9,0.892326
14.95,0.782594
15,0.665997
15.05,0.52856
15.1,0.370442
15.15,0.210991
15.2,0.0351332
15.25,-0.144283
15.3,-0.331829
15.35,-0.499542
15.4,-0.663369
15.45,-0.803235
15.5,-0.931142
15.55,-1.03921
15.6,-1.12563
15.65,-1.19606
15.7,-1.24795
15.75,-1.29199
15.8,-1.31701
15.85,-1.3357
15.9,-1.34526
15.95,-1.34793
16,-1.34942
16.05,-1.34705
16.1,-1.34662
16.15,-1.33863
16.2,-1.33145
16.25,-1.32768
16.3,-1.3212
16.35,-1.3158
16.4,-1.30107
16.45,-1.30369
16.5,-1.29955
16.55,-1.30061
16.6,-1.30094
16.65,-1.29883
16.7,-1.2856
16.75,-1.27047
16.8,-1.25873
16.85,-1.25231
16.9,-1.24657
16.95,-1.21725
17,-1.1981
17.05,-1.17059
17.1,-1.15159
17.15,-1.10791
17.2,-1.03994
17.25,-0.980065
17.3,-0.909108
17.35,-0.825751
17.4,-0.727455
17.45,-0.612239
17.5,-0.478129
17.55,-0.328273
17.6,-0.15559
17.65,0.0277119
17.7,0.211559
17.75,0.395887
17.8,0.567812
17.85,0.719276
17.9,0.863722
17.95,0.986264
18,1.08952
18.05,1.16826
18.1,1.23008
18.15,1.28017
18.2,1.31041
18.25,1.33402
18.3,1.34702
18.35,1.35795
18.4,1.36571
18.45,1.37096
18.5,1.37513
18.55,1.38
18.6,1.38158
18.65,1.38396
18.7,1.38174
18.75,1.38224
18.8,1.38411
18.85,1.38605
18.9,1.38841
18.95,1.39075
19,1.38927
19.05,1.38696
19.1,1.38435
19.15,1.37985
19.2,1.37945
