tau,x
0,-1.28193
0.05,-1.2884
0.1,-1.2859
0.15,-1.28485
0.2,-1.28849
0.25,-1.28776
0.3,-1.27493
0.35,-1.2641
0.4,-1.25877
0.45,-1.24163
0.5,-1.22155
0.55,-1.19422
0.6,-1.15723
0.65,-1.11543
0.7,-1.0661
0.75,-0.997977
0.8,-0.911669
0.85,-0.804518
0.9,-0.678539
0.95,-0.525586
1,-0.350282
1.05,-0.156938
1.1,0.0433
1.15,0.244086
1.2,0.440386
1.25,0.617466
1.3,0.777096
1.35,0.909406
1.4,1.01674
1.45,1.09981
1.5,1.1684
1.55,1.21649
1.6,1.25154
1.65,1.26604
1.7,1.27271
1.75,1.26663
1.8,1.25292
1.85,1.2349
1.9,1.21029
1.95,1.18028
2,1.14859
2.05,1.11226
2.1,1.05892
2.15,1.03852
2.2,0.987298
2.25,0.957806
2.3,0.967939
2.35,0.950742
2.4,0.936404
2.45,0.91208
2.5,0.869337
2.55,0.885873
2.6,0.889922
2.65,0.900312
2.7,0.906866
2.75,0.938382
2.8,0.960936
2.85,1.0062
2.9,1.02575
2.95,1.04702
3,1.05108
3.05,1.05146
3.1,1.08242
3.15,1.10798
3.2,1.14531
3.25,1.16568
3.3,1.17995
3.35,1.19741
3.4,1.19609
3.45,1.20855
3.5,1.2091
3.55,1.20501
3.6,1.20407
3.65,1.19484
3.7,1.17873
3.75,1.15718
3.8,1.12327
3.85,1.07876
3.9,1.01474
3.95,0.941025
4,0.845659
4.05,0.73452
4.1,0.604575
4.15,0.454744
4.2,0.290144
4.25,0.110578
4.3,-0.075739
4.35,-0.261853
4.4,-0.44246
4.45,-0.60952
4.5,-0.761418
4.55,-0.890151
4.6,-1.00067
4.65,-1.09332
4.7,-1.16793
4.75,-1.22644
4.8,-1.26717
4.85,-1.29984
4.9,-1.32128
4.95,-1.33171
5,-1.33605
5.05,-1.33395
5.1,-1.33634
5.15,-1.33302
5.2,-1.32837
5.25,-1.32455
5.3,-1.31822
5.35,-1.31829
5.4,-1.31218
5.45,-1.31829
5.5,-1.3189
5.55,-1.31843
5.6,-1.31556
5.65,-1.31449
5.7,-1.31798
5.75,-1.32318
5.8,-1.32642
5.85,-1.33168
5.9,-1.33821
5.95,-1.34149
6,-1.34479
6.05,-1.34898
6.1,-1.34711
6.15,-1.35057
6.2,-1.35518
6.25,-1.35871
6.3,-1.36185
6.35,-1.37044
6.4,-1.37194
6.45,-1.37731
6.5,-1.38172
6.55,-1.38312
6.6,-1.38367
6.65,-1.37926
6.7,-1.37349
6.75,-1.36647
6.8,-1.36123
6.85,-1.35503
6.9,-1.3457
6.95,-1.3467
7,-1.34428
7.05,-1.35048
7.1,-1.35016
7.15,-1.35015
7.2,-1.33788
7.25,-1.33658
7.3,-1.34312
7.35,-1.33829
7.4,-1.34355
7.45,-1.3467
7.5,-1.34418
7.55,-1.34738
7.6,-1.35317
7.65,-1.35018
7.7,-1.34668
7.75,-1.33895
7.8,-1.32095
7.85,-1.31701
7.9,-1.30506
7.95,-1.30433
8,-1.29829
8.05,-1.30121
8.1,-1.29279
8.15,-1.30106
8.2,-1.26309
8.25,-1.26838
8.3,-1.26937
8.35,-1.26202
8.4,-1.25832
8.45,-1.27272
8.5,-1.27846
8.55,-1.2866
8.6,-1.28191
