tau,x
16.75,-1.16489
16.8,-1.15583
16.85,-1.14404
16.9,-1.12411
16.95,-1.14746
17,-1.12785
17.05,-1.14142
17.1,-1.17064
17.15,-1.17406
17.2,-1.20055
17.25,-1.2329
17.3,-1.24213
17.35,-1.26683
17.4,-1.29084
17.45,-1.31512
17.5,-1.32916
17.55,-1.34811
17.6,-1.36091
17.65,-1.36826
17.7,-1.37274
17.75,-1.38108
17.8,-1.38146
17.85,-1.37677
17.9,-1.37642
17.95,-1.37582
18,-1.36863
18.05,-1.36951
18.1,-1.3703
18.15,-1.3679
18.2,-1.37611
18.25,-1.37396
18.3,-1.38382
18.35,-1.39468
18.4,-1.40342
18.45,-1.41599
18.5,-1.42945
18.55,-1.44332
18.6,-1.44245
18.65,-1.44692
18.7,-1.45049
18.75,-1.45162
18.8,-1.45778
18.85,-1.4629
18.9,-1.45958
18.95,-1.46245
19,-1.46769
19.05,-1.46071
19.1,-1.45709
19.15,-1.44619
19.2,-1.44314
19.25,-1.43338
19.3,-1.43252
19.35,-1.42778
19.4,-1.42409
19.45,-1.41258
19.5,-1.40018
19.55,-1.38876
19.6,-1.38403
19.65,-1.37412
19.7,-1.3695
19.75,-1.36083
19.8,-1.35587
19.85,-1.35983
19.9,-1.36277
19.95,-1.3618
20,-1.36863
20.05,-1.373
20.1,-1.38109
20.15,-1.38439
20.2,-1.39459
20.25,-1.38977
20.3,-1.38633
20.35,-1.38276
20.4,-1.37223
20.45,-1.36743
20.5,-1.34364
20.55,-1.31322
20.6,-1.26758
20.65,-1.20769
20.7,-1.13393
20.75,-1.04191
20.8,-0.928873
20.85,-0.789537
20.9,-0.617121
20.95,-0.426767
21,-0.218918
21.05,-0.00316469
21.1,0.20685
21.15,0.40094
21.2,0.578212
21.25,0.725827
21.3,0.844192
21.35,0.93842
21.4,1.00858
21.45,1.06367
21.5,1.10385
21.55,1.12396
21.6,1.14322
21.65,1.16365
21.7,1.16914
21.75,1.17808
21.8,1.17364
21.85,1.171
21.9,1.16409
21.95,1.13988
22,1.12171
22.05,1.09625
22.1,1.05315
22.15,1.00186
22.2,0.931279
22.25,0.839365
22.3,0.72438
22.35,0.586817
22.4,0.424835
22.45,0.247251
22.5,0.0515977
22.55,-0.148113
22.6,-0.341835
22.65,-0.537104
22.7,-0.709657
22.75,-0.862057
22.8,-0.987312
22.85,-1.09213
22.9,-1.17455
22.95,-1.24375
23,-1.28913
23.05,-1.32327
23.1,-1.34822
23.15,-1.36179
23.2,-1.37251
23.25,-1.37953
23.3,-1.38375
23.35,-1.38386
23.4,-1.38249
23.45,-1.37461
23.5,-1.36681
23.55,-1.35883
23.6,-1.34691
23.65,-1.33326
23.7,-1.32137
23.75,-1.30901
23.8,-1.29664
23.85,-1.27423
23.9,-1.25366
23.95,-1.22953
24,-1.19369
24.05,-1.16673
24.1,-1.1327
24.15,-1.09753
24.2,-1.03509
24.25,-0.964871
24.3,-0.878741
24.35,-0.791451
24.4,-0.678824
24.45,-0.55496
24.5,-0.420036
24.55,-0.268718
24.6,-0.115095
24.65,0.0420646
24.7,0.202349
24.75,0.357076
24.8,0.498198
24.85,0.623378
24.9,0.729319
24.95,0.812529
25,0.882238
25.05,0.935732
25.1,0.980298
25.15,1.01559
25.2,1.05509
25.25,1.07205
25.3,1.10387
25.35,1.11143
25.4,1.12454
25.45,1.12089
25.5,1.12153
25.55,1.14423
25.6,1.16087
25.65,1.1808
25.7,1.15225
25.75,1.1596
25.8,1.16078
25.85,1.17867
25.9,1.18041
25.95,1.20572
26,1.22072
26.05,1.22284
26.1,1.22799
26.15,1.23874
26.2,1.23941
26.25,1.22764
26.3,1.22711
26.35,1.22275
26.4,1.21217
26.45,1.20435
26.5,1.19465
26.55,1.17406
26.6,1.14144
26.65,1.09894
26.7,1.04699
26.75,0.986989
26.8,0.937529
26.85,0.868271
26.9,0.789673
26.95,0.69967
27,0.657559
27.05,0.570166
27.1,0.441505
27.15,0.355178
27.2,0.273266
27.25,0.175814
27.3,0.105826
27.35,0.0182467
27.4,-0.0495377
27.45,-0.12332
27.5,-0.205908
27.55,-0.286641
27.6,-0.393374
27.65,-0.495505
27.7,-0.580701
27.75,-0.654299
27.8,-0.739761
27.85,-0.83308
27.9,-0.909588
27.95,-0.95612
28,-1.01142
28.05,-1.04535
28.1,-1.10674
28.15,-1.14145
28.2,-1.17617
28.25,-1.22009
28.3,-1.25329
28.35,-1.28914
28.4,-1.31738
28.45,-1.34441
28.5,-1.36331
28.55,-1.38401
28.6,-1.39941
28.65,-1.40789
28.7,-1.4154
28.75,-1.41849
28.8,-1.42132
28.85,-1.4263
28.9,-1.42891
28.95,-1.42776
29,-1.42604
29.05,-1.42512
29.1,-1.42342
29.15,-1.41605
29.2,-1.41057
29.25,-1.39731
29.3,-1.38238
29.35,-1.36525
29.4,-1.34966
29.45,-1.34167
29.5,-1.32976
29.55,-1.31338
29.6,-1.29526
29.65,-1.27669
29.7,-1.27291
29.75,-1.26447
29.8,-1.25646
29.85,-1.24239
29.9,-1.21602
29.95,-1.20495
30,-1.20905
30.05,-1.17847
30.1,-1.1533
30.15,-1.11673
30.2,-1.10151
30.25,-1.09935
30.3,-1.11492
30.35,-1.12957
30.4,-1.10675
30.45,-1.10111
30.5,-1.08994
30.55,-1.07784
30.6,-1.07787
30.65,-1.07867
30.7,-1.08376
30.75,-1.08999
30.8,-1.09388
30.85,-1.1095
30.9,-1.13528
30.95,-1.14824
31,-1.14384
31.05,-1.15786
31.1,-1.16049
31.15,-1.16678
31.2,-1.17129
31.25,-1.17065
31.3,-1.16834
31.35,-1.16153
31.4,-1.16141
31.45,-1.1427
31.5,-1.14018
31.55,-1.15552
31.6,-1.17339
31.65,-1.17937
31.7,-1.18479
31.75,-1.19295
31.8,-1.20883
31.85,-1.19055
31.9,-1.21249
31.95,-1.20248
32,-1.21512
32.05,-1.22753
32.1,-1.24018
32.15,-1.248
32.2,-1.24687
32.25,-1.25417
32.3,-1.25068
32.35,-1.25992
32.4,-1.26645
32.45,-1.26672
32.5,-1.2761
32.55,-1.2842
32.6,-1.276
32.65,-1.27634
32.7,-1.2782
32.75,-1.26661
32.8,-1.26433
32.85,-1.26327
32.9,-1.26635
32.95,-1.2754
33,-1.29075
33.05,-1.27915
33.1,-1.29042
33.15,-1.294
33.2,-1.29544
33.25,-1.29835
33.3,-1.30245
33.35,-1.3173
33.4,-1.33678
33.45,-1.34866
33.5,-1.35391
33.55,-1.36429
33.6,-1.37618
33.65,-1.3827
33.7,-1.39392
33.75,-1.40208
33.8,-1.40926
33.85,-1.41327
33.9,-1.41541
33.95,-1.41421
34,-1.41348
34.05,-1.41296
34.1,-1.41049
34.15,-1.40661
34.2,-1.40035
34.25,-1.39489
34.3,-1.39344
