tau,x
0,1.3558
0.05,1.36495
0.1,1.37428
0.15,1.37856
0.2,1.38037
0.25,1.37843
0.3,1.36613
0.35,1.35342
0.4,1.33769
0.45,1.30868
0.5,1.27715
0.55,1.21961
0.6,1.14576
0.65,1.04642
0.7,0.926913
0.75,0.780399
0.8,0.603383
0.85,0.40411
0.9,0.184836
0.95,-0.0396523
1,-0.261236
1.05,-0.467095
1.1,-0.650461
1.15,-0.8159
1.2,-0.955193
1.25,-1.06865
1.3,-1.15826
1.35,-1.22637
1.4,-1.28257
1.45,-1.32102
1.5,-1.35071
1.55,-1.37441
1.6,-1.39356
1.65,-1.40697
1.7,-1.41133
1.75,-1.42141
1.8,-1.42386
1.85,-1.43269
1.9,-1.44082
1.95,-1.44459
2,-1.44452
2.05,-1.44697
2.1,-1.44045
2.15,-1.43606
2.2,-1.43608
2.25,-1.42515
2.3,-1.41478
2.35,-1.40007
2.4,-1.38233
2.45,-1.35015
2.5,-1.3112
2.55,-1.26185
2.6,-1.20063
2.65,-1.11134
2.7,-1.00356
2.75,-0.891009
2.8,-0.744013
2.85,-0.571316
2.9,-0.371802
2.95,-0.16485
3,0.053548
3.05,0.265634
3.1,0.465419
3.15,0.639908
3.2,0.793334
3.25,0.921042
3.3,1.02905
3.35,1.11133
3.4,1.17691
3.45,1.22872
3.5,1.26812
3.55,1.29906
3.6,1.31461
3.65,1.31945
3.7,1.32293
3.75,1.31157
3.8,1.29642
3.85,1.28871
3.9,1.25997
3.95,1.23114
4,1.20852
4.05,1.20693
4.1,1.17447
4.15,1.17559
4.2,1.15999
4.25,1.14674
4.3,1.14101
4.35,1.13662
4.4,1.12922
4.45,1.12245
4.5,1.13282
4.55,1.09417
4.6,1.08867
4.65,1.07018
4.7,1.06066
4.75,1.05183
4.8,1.05029
4.85,1.04446
4.9,1.01353
4.95,1.00694
5,0.971493
5.05,0.938484
5.1,0.884577
5.15,0.806364
5.2,0.705114
5.25,0.590131
5.3,0.454584
5.35,0.303561
5.4,0.137134
5.45,-0.0439517
5.5,-0.221899
5.55,-0.391995
5.6,-0.548023
5.65,-0.683425
5.7,-0.800835
5.75,-0.903192
5.8,-0.983971
5.85,-1.04605
5.9,-1.10485
5.95,-1.14875
6,-1.17729
6.05,-1.2131
6.1,-1.23609
6.15,-1.25537
6.2,-1.27592
6.25,-1.27925
6.3,-1.29182
6.35,-1.29076
6.4,-1.2983
6.45,-1.30454
6.5,-1.31369
6.55,-1.31936
6.6,-1.31851
6.65,-1.33363
6.7,-1.34007
6.75,-1.35681
6.8,-1.36052
6.85,-1.37123
6.9,-1.38525
6.95,-1.39522
7,-1.40199
7.05,-1.40872
7.1,-1.41935
7.15,-1.42247
7.2,-1.42407
7.25,-1.42362
7.3,-1.41674
7.35,-1.40842
7.4,-1.40203
7.45,-1.39167
7.5,-1.38082
7.55,-1.3763
7.6,-1.3665
7.65,-1.36596
7.7,-1.36103
7.75,-1.36198
7.8,-1.36027
7.85,-1.35754
7.9,-1.34994
7.95,-1.33969
8,-1.32736
8.05,-1.30976
8.1,-1.28411
8.15,-1.24241
8.2,-1.1971
8.25,-1.12792
8.3,-1.04169
8.35,-0.936592
8.4,-0.8086
8.45,-0.657115
8.5,-0.48324
8.55,-0.289617
8.6,-0.0807935
8.65,0.1358
8.7,0.342373
8.75,0.53447
8.8,0.698376
8.85,0.851857
8.9,0.979878
8.95,1.07928
9,1.15387
9.05,1.21472
9.1,1.25709
9.15,1.28761
9.2,1.30531
9.25,1.3168
9.3,1.32475
9.35,1.32704
9.4,1.3285
9.45,1.32784
9.5,1.32353
9.55,1.31217
9.6,1.31309
9.65,1.31995
9.7,1.30466
9.75,1.29721
9.8,1.29942
9.85,1.30081
9.9,1.29885
9.95,1.2945
10,1.30146
10.05,1.29855
10.1,1.29783
10.15,1.30717
10.2,1.3055
10.25,1.30423
10.3,1.29808
10.35,1.30222
10.4,1.30046
10.45,1.3052
10.5,1.30293
10.55,1.30235
10.6,1.31847
10.65,1.33002
10.7,1.33888
10.75,1.34899
10.8,1.35853
10.85,1.36992
10.9,1.37923
10.95,1.38823
11,1.39033
11.05,1.39091
11.1,1.38881
11.15,1.38165
11.2,1.37196
11.25,1.35579
11.3,1.33727
11.35,1.32994
11.4,1.31712
11.45,1.29482
11.5,1.26947
11.55,1.24658
11.6,1.21303
11.65,1.21481
11.7,1.2204
11.75,1.20374
11.8,1.20833
11.85,1.19105
11.9,1.1841
11.95,1.17594
12,1.16996
12.05,1.1899
12.1,1.22188
12.15,1.23645
12.2,1.23301
12.25,1.23906
12.3,1.24249
12.35,1.25798
12.4,1.2614
12.45,1.2695
12.5,1.29859
12.55,1.30685
12.6,1.31012
12.65,1.32532
12.7,1.33883
12.75,1.34713
12.8,1.35353
12.85,1.35729
12.9,1.36032
12.95,1.37034
13,1.3798
13.05,1.388
13.1,1.39567
13.15,1.40594
13.2,1.41589
13.25,1.42083
13.3,1.43248
13.35,1.44355
13.4,1.44626
13.45,1.45165
13.5,1.45322
13.55,1.44638
13.6,1.4479
13.65,1.44771
13.7,1.4484
13.75,1.44836
13.8,1.4447
13.85,1.45133
13.9,1.44818
13.95,1.44266
14,1.44273
14.05,1.44547
14.1,1.43944
14.15,1.42836
14.2,1.41879
14.25,1.40696
14.3,1.39715
14.35,1.38184
14.4,1.36777
14.45,1.3539
14.5,1.33789
14.55,1.3243
14.6,1.30793
14.65,1.28368
14.7,1.2538
14.75,1.214
14.8,1.19004
14.85,1.17482
14.9,1.14057
14.95,1.0877
15,1.05514
15.05,0.999823
15.1,0.943741
15.15,0.871915
15.2,0.782153
15.25,0.667287
15.3,0.558614
15.35,0.436325
15.4,0.301789
15.45,0.158234
15.5,0.0119345
15.55,-0.14723
15.6,-0.303873
15.65,-0.458126
15.7,-0.597518
15.75,-0.720085
15.8,-0.834828
15.85,-0.936788
15.9,-1.0276
15.95,-1.09809
16,-1.15745
16.05,-1.20154
16.1,-1.24147
16.15,-1.27226
16.2,-1.29185
16.25,-1.30281
16.3,-1.30422
16.35,-1.30723
16.4,-1.30261
16.45,-1.29534
16.5,-1.29199
16.55,-1.29066
16.6,-1.2934
16.65,-1.28274
16.7,-1.27295
16.75,-1.26682
16.8,-1.25609
16.85,-1.26098
16.9,-1.2459
16.95,-1.24882
17,-1.2457
17.05,-1.23312
17.1,-1.22841
17.15,-1.21399
17.2,-1.1967
17.25,-1.18773
17.3,-1.17052
17.35,-1.14765
17.4,-1.11542
17.45,-1.06803
17.5,-1.00759
17.55,-0.929567
17.6,-0.834959
17.65,-0.720038
17.7,-0.586814
17.75,-0.435362
17.8,-0.286344
17.85,-0.118023
17.9,0.00693231
17.95,0.128732
18,0.2511
18.05,0.344274
18.1,0.410086
18.15,0.449494
18.2,0.454884
18.25,0.421298
18.3,0.371925
18.35,0.273788
18.4,0.146459
18.45,-0.0156573
18.5,-0.183699
18.55,-0.336103
18.6,-0.499988
18.65,-0.657768
18.7,-0.791903
18.75,-0.927563
18.8,-1.03917
18.85,-1.12805
18.9,-1.1945
18.95,-1.24907
19,-1.29142
19.05,-1.31752
19.1,-1.33102
19.15,-1.337
19.2,-1.34112
19.25,-1.34203
19.3,-1.33839
19.35,-1.32901
19.4,-1.31739
19.45,-1.30282
19.5,-1.29171
19.55,-1.27015
19.6,-1.23963
19.65,-1.20866
19.7,-1.16433
19.75,-1.11006
19.8,-1.04199
19.85,-0.949821
19.9,-0.836092
19.95,-0.701836
20,-0.548123
20.05,-0.384716
20.1,-0.204382
20.15,-0.0174643
20.2,0.16476
20.25,0.332509
20.3,0.490819
20.35,0.632031
20.4,0.749171
20.45,0.849791
20.5,0.931053
20.55,1.00116
20.6,1.05464
20.65,1.10268
20.7,1.14192
20.75,1.1674
20.8,1.1858
20.85,1.19465
20.9,1.21577
20.95,1.22186
21,1.22906
21.05,1.23329
21.1,1.24318
21.15,1.25011
21.2,1.24888
21.25,1.25013
21.3,1.25619
21.35,1.25452
21.4,1.26232
21.45,1.27555
21.5,1.28036
21.55,1.28337
21.6,1.28482
21.65,1.28987
21.7,1.2899
21.75,1.30483
21.8,1.31473
21.85,1.32513
21.9,1.3292
21.95,1.33884
22,1.35108
22.05,1.36106
22.1,1.37012
22.15,1.38163
22.2,1.39108
22.25,1.39889
22.3,1.41091
22.35,1.41701
22.4,1.42683
22.45,1.43041
22.5,1.43055
22.55,1.43346
22.6,1.43677
22.65,1.44465
22.7,1.44281
22.75,1.44096
22.8,1.43934
22.85,1.43593
22.9,1.4281
22.95,1.42462
23,1.42231
23.05,1.41796
23.1,1.41001
23.15,1.40289
23.2,1.39617
23.25,1.39291
23.3,1.38752
23.35,1.3878
23.4,1.3899
23.45,1.39042
23.5,1.39064
23.55,1.38691
23.6,1.37779
23.65,1.36558
23.7,1.36153
23.75,1.35429
23.8,1.33958
23.85,1.32291
23.9,1.31325
23.95,1.31615
24,1.3065
24.05,1.29665
24.1,1.28915
24.15,1.27898
24.2,1.27031
24.25,1.25357
24.3,1.25691
24.35,1.25108
24.4,1.23877
24.45,1.23429
24.5,1.22715
24.55,1.21256
24.6,1.20087
24.65,1.19806
24.7,1.19457
24.75,1.17723
24.8,1.1763
24.85,1.16543
24.9,1.16769
24.95,1.14627
25,1.12934
25.05,1.15168
25.1,1.14918
25.15,1.16005
25.2,1.14615
25.25,1.14704
25.3,1.13036
25.35,1.10611
25.4,1.10636
25.45,1.12082
25.5,1.12244
25.55,1.13399
25.6,1.14696
25.65,1.16022
25.7,1.17798
25.75,1.18509
25.8,1.18161
25.85,1.1924
25.9,1.21909
25.95,1.21618
26,1.23349
26.05,1.24365
26.1,1.24463
26.15,1.2621
26.2,1.26688
26.25,1.28485
26.3,1.30389
26.35,1.30571
26.4,1.313
26.45,1.32656
26.5,1.33695
26.55,1.35118
26.6,1.36687
26.65,1.37895
26.7,1.39615
26.75,1.4101
26.8,1.41675
26.85,1.43059
26.9,1.43911
26.95,1.44267
27,1.43569
27.05,1.42933
27.1,1.43211
27.15,1.42265
27.2,1.42256
27.25,1.41324
27.3,1.39758
27.35,1.39423
27.4,1.37839
27.45,1.36124
27.5,1.35191
27.55,1.34056
27.6,1.33585
27.65,1.32892
27.7,1.32413
27.75,1.31547
27.8,1.30913
27.85,1.30368
27.9,1.3078
27.95,1.30288
28,1.30303
28.05,1.31194
28.1,1.31456
28.15,1.31501
28.2,1.31621
28.25,1.31434
28.3,1.32178
28.35,1.32345
28.4,1.33232
28.45,1.33751
28.5,1.33885
28.55,1.34455
28.6,1.34559
28.65,1.3443
28.7,1.34471
28.75,1.34866
28.8,1.34611
28.85,1.35029
28.9,1.35436
28.95,1.35614
29,1.35517
29.05,1.35029
29.1,1.33819
29.15,1.32111
29.2,1.29442
29.25,1.2567
29.3,1.21184
29.35,1.14862
29.4,1.05421
29.45,0.938501
29.5,0.801957
29.55,0.637914
29.6,0.444941
29.65,0.236398
29.7,0.014863
29.75,-0.209676
29.8,-0.422186
29.85,-0.610498
29.9,-0.78541
29.95,-0.936831
30,-1.0613
30.05,-1.15543
30.1,-1.23264
30.15,-1.29364
30.2,-1.32772
30.25,-1.35606
30.3,-1.37606
30.35,-1.3886
30.4,-1.39787
30.45,-1.40549
30.5,-1.40496
30.55,-1.40571
30.6,-1.39962
30.65,-1.39295
30.7,-1.38051
30.75,-1.36878
30.8,-1.35536
30.85,-1.35087
30.9,-1.34394
30.95,-1.33473
31,-1.32986
31.05,-1.33195
31.1,-1.32356
31.15,-1.32648
31.2,-1.32495
31.25,-1.33359
31.3,-1.32535
31.35,-1.31677
31.4,-1.32021
31.45,-1.33288
31.5,-1.32299
31.55,-1.33245
31.6,-1.32559
31.65,-1.32001
31.7,-1.31965
31.75,-1.30694
31.8,-1.30234
31.85,-1.29437
31.9,-1.28621
31.95,-1.28482
32,-1.27961
32.05,-1.27073
32.1,-1.28071
32.15,-1.28034
32.2,-1.27977
32.25,-1.26404
32.3,-1.26523
32.35,-1.25669
32.4,-1.25425
32.45,-1.24891
32.5,-1.24826
32.55,-1.26059
32.6,-1.25854
32.65,-1.26316
32.7,-1.27473
32.75,-1.27656
32.8,-1.29842
32.85,-1.30899
32.9,-1.32904
32.95,-1.34334
33,-1.35716
33.05,-1.3718
33.1,-1.38344
33.15,-1.38946
33.2,-1.39762
33.25,-1.39788
33.3,-1.39028
33.35,-1.37889
33.4,-1.36522
33.45,-1.35102
33.5,-1.32024
33.55,-1.28139
33.6,-1.22547
33.65,-1.1495
33.7,-1.05767
33.75,-0.942615
33.8,-0.806768
33.85,-0.653561
33.9,-0.480987
33.95,-0.301821
34,-0.124517
34.05,0.0722827
34.1,0.247432
34.15,0.408109
34.2,0.552182
34.25,0.660107
34.3,0.747717
34.35,0.812943
34.4,0.883001
34.45,0.91458
34.5,0.952957
34.55,0.979429
34.6,1.00578
34.65,1.01988
34.7,1.0366
34.75,1.07004
34.8,1.08991
34.85,1.10569
34.9,1.11058
34.95,1.14057
35,1.1615
35.05,1.17833
35.1,1.192
35.15,1.19278
35.2,1.21451
35.25,1.23343
35.3,1.26348
35.35,1.27633
35.4,1.30727
35.45,1.31167
35.5,1.31242
35.55,1.33476
35.6,1.35317
35.65,1.36417
35.7,1.38525
35.75,1.39617
35.8,1.40988
35.85,1.4174
35.9,1.41126
35.95,1.40186
36,1.39529
36.05,1.38113
36.1,1.35809
36.15,1.33169
36.2,1.31212
36.25,1.2879
36.3,1.27206
36.35,1.25575
36.4,1.24447
36.45,1.21956
36.5,1.19105
36.55,1.18894
36.6,1.19656
36.65,1.19183
36.7,1.191
36.75,1.18834
36.8,1.17938
36.85,1.16381
36.9,1.16658
36.95,1.19591
37,1.21482
37.05,1.24217
37.1,1.26095
37.15,1.26538
37.2,1.28332
37.25,1.29763
37.3,1.3159
37.35,1.33671
37.4,1.36317
37.45,1.38851
37.5,1.4026
37.55,1.40909
37.6,1.42272
37.65,1.43373
37.7,1.4373
37.75,1.44126
37.8,1.44872
37.85,1.45267
37.9,1.45086
37.95,1.4525
38,1.44859
38.05,1.44797
38.1,1.45059
38.15,1.44646
38.2,1.44362
38.25,1.43118
38.3,1.42422
38.35,1.41727
38.4,1.40617
38.45,1.39633
38.5,1.38904
38.55,1.38231
38.6,1.36746
38.65,1.35908
38.7,1.35022
38.75,1.34134
38.8,1.34974
38.85,1.35675
38.9,1.36118
38.95,1.36763
39,1.37193
39.05,1.37286
39.1,1.37178
39.15,1.36915
39.2,1.36189
39.25,1.35958
39.3,1.35266
39.35,1.35303
39.4,1.34659
39.45,1.35192
39.5,1.35146
39.55,1.34504
39.6,1.34076
39.65,1.34422
39.7,1.34158
39.75,1.34477
39.8,1.34578
39.85,1.34973
39.9,1.35131
39.95,1.35209
