tau,x
0,1.33691
0.05,1.74145
0.1,1.45146
0.15,1.9494
0.2,1.75694
0.25,1.5426
0.3,1.40579
0.35,1.54082
0.4,1.7099
0.45,1.72278
0.5,1.61595
0.55,1.60236
0.6,1.35331
0.65,1.2874
0.7,1.31473
0.75,1.35195
0.8,1.01974
0.85,1.47736
0.9,1.8202
0.95,1.63695
1,1.21029
1.05,0.613226
1.1,0.954275
1.15,0.946
1.2,0.623429
1.25,0.704059
1.3,1.02533
1.35,1.34258
1.4,1.37818
1.45,1.57332
1.5,1.59507
1.55,1.41935
1.6,1.2566
1.65,1.44232
1.7,1.59981
1.75,1.11327
1.8,1.64587
1.85,1.66901
1.9,2.12016
1.95,1.78813
2,1.38112
2.05,1.05159
2.1,1.0732
2.15,0.987153
2.2,1.14237
2.25,1.17405
2.3,1.43827
2.35,1.41721
2.4,1.19035
2.45,0.83058
2.5,0.849088
2.55,0.86698
2.6,1.21642
2.65,0.856897
2.7,1.10255
2.75,1.33667
2.8,1.41274
2.85,1.64135
2.9,1.59837
2.95,0.978956
3,1.10954
3.05,1.28693
3.1,1.41519
3.15,1.38436
3.2,0.9145
3.25,0.965601
3.3,0.919296
3.35,1.35086
3.4,0.823623
3.45,1.05941
3.5,1.13475
3.55,1.15958
3.6,1.23538
3.65,1.02653
3.7,1.23535
3.75,1.85862
3.8,1.753
3.85,1.4511
3.9,1.28018
3.95,1.61944
4,1.59061
4.05,1.43345
4.1,1.33887
4.15,1.53102
4.2,2.0272
4.25,1.45357
4.3,1.45993
4.35,1.32567
4.4,1.0339
4.45,0.598554
4.5,0.536797
4.55,1.12869
4.6,1.24882
4.65,1.44854
4.7,1.73793
4.75,1.24192
4.8,1.73599
4.85,1.48746
4.9,1.41477
4.95,1.49887
5,1.31266
5.05,1.29584
5.1,1.08735
5.15,1.04105
5.2,0.732484
5.25,0.941357
5.3,0.811297
5.35,1.25321
5.4,1.61315
5.45,1.64831
5.5,1.53376
5.55,1.24678
5.6,0.904762
5.65,0.492619
5.7,0.668396
5.75,0.817301
5.8,1.15165
5.85,1.28042
5.9,0.736363
5.95,0.525907
6,0.690248
6.05,0.873203
6.1,0.62309
6.15,1.02494
6.2,0.491249
6.25,1.23429
6.3,1.70808
6.35,1.73137
6.4,1.77351
6.45,1.48557
6.5,0.978314
6.55,0.842859
6.6,0.773463
6.65,0.68604
6.7,0.692466
6.75,0.662961
6.8,0.218448
6.85,0.0581423
6.9,0.314152
6.95,0.684702
7,0.0496899
7.05,-0.473484
7.1,-0.116725
7.15,-0.349026
7.2,-0.255487
7.25,-0.499066
7.3,-0.935369
7.35,-0.925879
7.4,-0.620547
7.45,-0.566595
7.5,-0.269275
7.55,0.0287827
7.6,0.0242021
7.65,0.445722
7.7,0.429129
7.75,0.36207
7.8,0.226806
7.85,0.450193
7.9,0.62239
7.95,0.441571
8,0.681001
8.05,0.532668
8.1,0.671184
8.15,1.05752
8.2,0.486754
8.25,0.85539
8.3,0.879057
8.35,0.672649
8.4,1.17693
8.45,1.11185
8.5,1.57686
8.55,1.31388
8.6,1.52634
8.65,1.41568
8.7,1.59085
8.75,1.81262
8.8,1.48716
8.85,1.17095
8.9,1.52774
8.95,1.67768
9,1.80814
9.05,1.74014
9.1,1.73081
9.15,1.2751
9.2,1.6005
9.25,1.42151
9.3,1.03629
9.35,0.538145
9.4,0.451909
9.45,0.207754
9.5,0.141076
9.55,0.547678
9.6,0.269453
9.65,1.19431
9.7,0.867296
9.75,1.34697
9.8,1.12092
9.85,0.888414
9.9,0.834753
9.95,0.861345
10,0.566956
10.05,0.745145
10.1,0.874432
10.15,1.04706
10.2,1.45011
10.25,1.17801
10.3,1.04536
10.35,0.889405
10.4,1.37943
10.45,0.386375
10.5,0.505464
10.55,0.877931
10.6,0.961801
10.65,0.947291
10.7,1.21932
10.75,1.20333
10.8,1.12497
10.85,1.64032
10.9,1.66231
10.95,2.05367
11,1.71795
11.05,1.33421
11.1,1.19195
11.15,0.793894
11.2,1.19243
11.25,1.22578
11.3,1.16102
11.35,1.09405
11.4,1.43334
11.45,1.314
11.5,1.3705
11.55,1.3825
11.6,1.15926
11.65,1.49901
11.7,1.46471
11.75,1.74392
11.8,2.20241
11.85,1.62106
11.9,1.65004
11.95,1.24568
12,1.10546
12.05,1.51042
12.1,1.57931
12.15,1.42066
12.2,1.02617
12.25,1.43081
12.3,1.40339
12.35,1.53244
12.4,1.70752
12.45,1.80621
12.5,1.6955
12.55,1.15757
12.6,0.810017
12.65,0.801881
12.7,1.25198
12.75,1.03127
12.8,1.36473
12.85,1.42272
12.9,0.901519
12.95,0.679992
13,0.524411
13.05,0.862295
13.1,0.940463
13.15,1.18213
13.2,1.14806
13.25,1.11882
13.3,0.932209
13.35,0.953352
13.4,1.23139
13.45,0.41136
13.5,0.544477
13.55,0.631451
13.6,0.329174
13.65,1.24886
13.7,1.46311
13.75,1.94207
13.8,0.906101
13.85,0.910978
13.9,0.916519
13.95,1.31601
14,1.48555
14.05,1.71205
14.1,1.42426
14.15,1.0644
14.2,1.46543
14.25,1.66597
14.3,1.12546
14.35,1.23556
14.4,1.78453
14.45,1.53232
14.5,1.61455
