tau,x
0,-1.06205
0.05,-0.602708
0.1,-1.06805
0.15,-1.02359
0.2,-0.885646
0.25,-0.711031
0.3,-0.586251
0.35,-0.736061
0.4,-0.539588
0.45,-1.32676
0.5,-1.62387
0.55,-1.53423
0.6,-1.22043
0.65,-0.514052
0.7,-0.537432
0.75,-0.90646
0.8,-0.954656
0.85,-1.0346
0.9,-0.933385
0.95,-0.781307
1,-0.670992
1.05,-0.627156
1.1,0.0139988
1.15,-0.00679011
1.2,0.834548
1.25,0.648891
1.3,0.859403
1.35,0.960773
1.4,1.08788
1.45,0.70914
1.5,1.16714
1.55,1.59335
1.6,1.53587
1.65,1.16422
1.7,1.05717
1.75,1.14072
1.8,1.25084
1.85,1.54454
1.9,1.15369
1.95,1.11754
2,1.07547
2.05,0.693982
2.1,0.371341
2.15,0.268595
2.2,0.318239
2.25,0.489114
2.3,-0.183431
2.35,-0.362295
2.4,-0.321253
2.45,-0.390419
2.5,-0.212573
2.55,0.199566
2.6,-0.210542
2.65,0.243388
2.7,0.562379
2.75,0.372676
2.8,-0.175525
2.85,-0.104308
2.9,0.330616
2.95,0.34023
3,0.32096
3.05,0.639834
3.1,0.774067
3.15,0.862496
3.2,1.14778
3.25,1.16943
3.3,0.698721
3.35,0.768856
3.4,0.981287
3.45,0.841724
3.5,0.940224
3.55,0.676654
3.6,0.914472
3.65,0.985412
3.7,1.19907
3.75,0.955987
3.8,0.90944
3.85,0.982682
3.9,0.811103
3.95,1.13251
4,0.957346
4.05,0.769945
4.1,0.578678
4.15,0.780726
4.2,0.510523
4.25,-0.129441
4.3,0.0081219
4.35,-0.533833
4.4,-0.0273846
4.45,-0.279495
4.5,-0.856618
4.55,-1.34438
4.6,-1.03754
4.65,-0.932446
4.7,-0.8221
4.75,-1.2351
4.8,-1.61131
4.85,-1.31874
4.9,-1.07488
4.95,-1.35822
5,-1.93163
5.05,-1.72579
5.1,-1.47091
5.15,-1.36746
5.2,-1.22825
5.25,-0.891449
5.3,-1.00727
5.35,-0.85508
5.4,-0.686245
5.45,-0.825292
5.5,-1.05508
5.55,-1.26772
5.6,-1.14706
5.65,-0.998708
5.7,-1.12032
5.75,-1.15676
5.8,-0.926396
5.85,-0.755462
5.9,-1.0956
5.95,-1.50437
6,-1.2653
6.05,-1.60161
6.1,-1.35309
6.15,-1.21158
6.2,-1.21014
6.25,-1.28063
6.3,-1.08868
6.35,-1.25525
6.4,-1.2134
6.45,-1.42899
6.5,-1.29126
6.55,-1.3346
6.6,-1.60779
6.65,-1.63891
6.7,-1.97681
6.75,-1.86995
6.8,-1.26199
6.85,-1.0058
6.9,-0.931029
6.95,-0.917116
7,-1.01394
7.05,-0.790883
7.1,-1.01938
7.15,-0.838263
7.2,-0.381984
7.25,-0.424026
7.3,-0.490573
7.35,-1.06688
7.4,-1.25235
7.45,-1.15827
7.5,-1.23433
7.55,-1.51772
7.6,-1.43637
7.65,-1.42489
7.7,-1.67997
7.75,-1.55447
7.8,-1.66673
7.85,-1.76888
7.9,-1.7741
7.95,-1.82494
8,-1.35165
8.05,-1.14019
8.1,-1.00677
8.15,-0.31084
8.2,-0.284227
8.25,0.118886
8.3,0.410714
8.35,0.0440978
8.4,-0.364797
8.45,-0.629546
8.5,-0.564597
8.55,-1.26107
8.6,-1.56687
8.65,-1.63699
8.7,-1.7528
8.75,-1.77746
8.8,-1.66724
8.85,-1.74932
8.9,-1.70514
8.95,-1.46781
9,-1.15434
9.05,-1.43122
9.1,-1.44712
9.15,-1.31257
9.2,-1.93246
9.25,-1.65995
9.3,-2.08474
9.35,-1.89237
9.4,-1.65208
9.45,-1.02922
9.5,-0.956036
9.55,-0.907122
9.6,-1.30423
9.65,-1.1108
9.7,-1.25869
9.75,-1.24601
9.8,-0.705591
9.85,-1.13428
9.9,-1.34947
9.95,-1.25056
10,-1.51145
10.05,-1.2531
10.1,-1.02244
10.15,-1.05667
10.2,-1.49806
10.25,-1.6244
10.3,-0.922064
10.35,-1.38682
10.4,-1.0429
10.45,-1.12666
10.5,-1.30042
10.55,-1.50279
10.6,-1.19789
10.65,-0.339604
10.7,-0.695086
10.75,-0.325473
10.8,-0.370497
