tau,x
0,-1.3899
0.05,-1.39246
0.1,-1.39381
0.15,-1.38759
0.2,-1.37981
0.25,-1.36982
0.3,-1.36845
0.35,-1.36658
0.4,-1.3666
0.45,-1.36782
0.5,-1.35757
0.55,-1.35887
0.6,-1.36174
0.65,-1.36863
0.7,-1.37559
0.75,-1.37833
0.8,-1.38902
0.85,-1.39512
0.9,-1.40583
0.95,-1.41727
1,-1.42658
1.05,-1.4356
1.1,-1.43118
1.15,-1.43107
1.2,-1.42922
1.25,-1.43338
1.3,-1.4329
1.35,-1.43056
1.4,-1.43452
1.45,-1.42806
1.5,-1.4195
1.55,-1.41489
1.6,-1.41147
1.65,-1.39684
1.7,-1.38435
1.75,-1.36127
1.8,-1.33288
1.85,-1.31576
1.9,-1.29099
1.95,-1.2446
2,-1.20321
2.05,-1.18609
2.1,-1.13811
2.15,-1.09932
2.2,-1.04761
2.25,-0.993692
2.3,-0.957839
2.35,-0.954993
2.4,-0.936554
2.45,-0.952469
2.5,-0.924828
2.55,-0.935507
2.6,-0.934893
2.65,-0.937498
2.7,-0.897913
2.75,-0.907291
2.8,-0.911229
2.85,-0.900435
2.9,-0.933048
2.95,-0.968179
3,-1.00886
3.05,-1.03719
3.1,-1.04728
3.15,-1.06729
3.2,-1.11351
3.25,-1.11666
3.3,-1.13035
3.35,-1.15071
3.4,-1.17554
3.45,-1.17344
3.5,-1.17912
3.55,-1.19457
3.6,-1.2085
3.65,-1.20464
3.7,-1.2153
3.75,-1.22831
3.8,-1.24685
3.85,-1.25485
3.9,-1.26506
3.95,-1.26971
4,-1.27367
4.05,-1.28402
4.1,-1.29061
4.15,-1.3007
4.2,-1.31325
4.25,-1.31678
4.3,-1.32127
4.35,-1.34038
4.4,-1.3501
4.45,-1.34917
4.5,-1.35688
4.55,-1.36261
4.6,-1.3667
4.65,-1.37969
4.7,-1.3931
4.75,-1.40323
4.8,-1.41047
4.85,-1.41632
4.9,-1.4249
4.95,-1.43297
5,-1.4359
5.05,-1.43478
5.1,-1.43404
5.15,-1.43681
5.2,-1.43236
5.25,-1.42811
5.3,-1.42387
5.35,-1.4209
5.4,-1.41339
5.45,-1.40652
5.5,-1.39718
5.55,-1.38376
5.6,-1.36858
5.65,-1.35256
5.7,-1.33652
5.75,-1.32144
5.8,-1.31146
5.85,-1.29564
5.9,-1.28099
5.95,-1.27042
6,-1.25337
6.05,-1.24719
6.1,-1.23402
6.15,-1.2209
6.2,-1.22069
6.25,-1.22349
6.3,-1.22137
6.35,-1.21311
