tau,x
0,-1.51452
0.05,-1.76709
0.1,-1.56137
0.15,-1.41557
0.2,-1.33353
0.25,-1.21142
0.3,-0.968372
0.35,-0.97749
0.4,-0.840693
0.45,-1.4339
0.5,-1.39438
0.55,-1.14296
0.6,-1.26445
0.65,-1.32527
0.7,-1.11728
0.75,-1.23876
0.8,-1.05552
0.85,-1.14859
0.9,-1.71365
0.95,-1.37913
1,-1.37537
1.05,-1.46231
1.1,-1.61177
1.15,-1.51666
1.2,-1.5337
1.25,-1.30018
1.3,-1.27878
1.35,-1.62696
1.4,-1.43097
1.45,-1.58936
1.5,-1.80649
1.55,-2.0544
1.6,-1.59924
1.65,-1.77221
1.7,-1.71567
1.75,-1.35129
1.8,-1.1625
1.85,-1.05524
1.9,-1.08673
1.95,-1.00732
2,-1.02581
2.05,-0.702822
2.1,-0.596211
2.15,-0.873417
2.2,-0.619564
2.25,-0.575837
2.3,-0.471743
2.35,-0.594773
2.4,0.219139
2.45,0.272822
2.5,0.53674
2.55,0.646501
2.6,-0.0327882
2.65,-0.522219
2.7,-0.673797
2.75,-0.625836
2.8,-0.0305377
2.85,-0.159389
2.9,-0.205591
2.95,-0.720805
3,-0.466837
3.05,-0.48727
3.1,-0.60876
3.15,-0.654069
3.2,-1.00981
3.25,-0.977303
3.3,-0.582538
3.35,-0.0643321
3.4,-0.439846
3.45,0.0991827
3.5,-0.44735
3.55,-0.120323
3.6,-0.622776
3.65,-0.637058
3.7,-0.41372
3.75,-0.659059
3.8,-1.26116
3.85,-1.4351
3.9,-1.77683
3.95,-1.20992
4,-1.31743
4.05,-1.00522
4.1,-0.697541
4.15,-1.01856
4.2,-0.678106
4.25,-0.290369
4.3,-0.0588512
4.35,-0.543888
4.4,-1.00395
4.45,-0.791624
4.5,-1.26677
4.55,-1.61953
4.6,-1.19876
4.65,-1.2954
4.7,-1.32214
4.75,-1.85122
4.8,-1.52007
4.85,-1.47414
4.9,-1.91749
4.95,-1.55858
5,-1.77356
5.05,-1.65918
5.1,-1.59916
5.15,-1.99331
5.2,-1.70977
5.25,-1.46661
5.3,-1.35986
5.35,-1.28318
5.4,-1.4126
5.45,-1.28971
5.5,-1.5032
5.55,-1.78387
5.6,-1.53532
5.65,-1.04285
5.7,-1.70263
5.75,-1.36792
5.8,-1.22247
5.85,-0.802449
5.9,-1.05396
5.95,-1.22537
6,-0.907134
6.05,-1.66396
6.1,-1.32909
6.15,-0.649905
6.2,-0.0515308
6.25,0.0890176
6.3,0.202845
6.35,0.00911937
6.4,-0.124354
6.45,-0.285244
6.5,-0.435348
6.55,-1.0297
6.6,-1.37461
6.65,-1.0335
6.7,-0.872691
6.75,-0.784414
6.8,-0.722871
6.85,-0.448551
6.9,0.0436931
6.95,-0.230061
7,-0.847283
7.05,-1.27565
7.1,-0.999297
7.15,-1.21917
7.2,-1.53529
7.25,-1.51861
7.3,-1.62508
7.35,-1.20491
7.4,-1.07975
7.45,-0.604652
7.5,-0.781578
7.55,-0.734022
7.6,-0.553866
7.65,-0.603014
7.7,-0.780612
7.75,-0.833987
7.8,-0.977524
7.85,-1.00178
7.9,-1.08596
7.95,-1.01566
8,-1.36766
8.05,-1.07625
8.1,-1.78443
8.15,-1.42758
8.2,-0.61298
8.25,-0.519018
8.3,-0.814966
8.35,-0.490594
8.4,-0.653707
8.45,-0.310679
8.5,-0.411003
8.55,-0.662217
8.6,-0.535578
8.65,-0.159473
8.7,-0.0624195
8.75,0.0841394
8.8,-0.0410031
8.85,-0.151885
8.9,0.233256
8.95,-0.0243094
9,0.132181
9.05,0.0839638
9.1,0.639831
9.15,0.747589
9.2,0.563729
9.25,0.989917
9.3,1.10447
9.35,0.992197
9.4,0.54603
9.45,0.802062
9.5,0.720917
9.55,1.29756
9.6,1.51411
9.65,1.32496
9.7,1.8823
9.75,1.73861
9.8,1.76471
9.85,2.56668
9.9,2.36218
9.95,2.61285
10,1.92055
10.05,1.46475
10.1,1.81728
10.15,1.71149
10.2,1.59558
10.25,1.0871
10.3,0.843346
10.35,1.48433
10.4,1.05638
10.45,1.91177
10.5,1.33755
10.55,1.25307
10.6,1.41458
10.65,0.781644
10.7,0.861337
10.75,0.679192
10.8,1.16288
10.85,1.25264
10.9,1.16164
10.95,0.799166
11,0.96146
11.05,1.45538
11.1,1.45373
11.15,0.725724
11.2,1.17297
11.25,1.12779
11.3,1.28166
11.35,1.09536
11.4,0.977593
11.45,1.53931
11.5,1.40863
11.55,1.27948
11.6,1.25064
11.65,1.39285
11.7,0.918394
11.75,1.1311
11.8,1.70655
11.85,1.70359
11.9,1.44583
11.95,1.62276
12,1.04046
12.05,0.792488
12.1,0.701023
12.15,0.832729
12.2,1.1702
12.25,0.76673
12.3,0.860647
12.35,1.43735
12.4,0.927011
12.45,1.07585
12.5,0.485715
12.55,0.399427
12.6,0.470795
12.65,0.488541
12.7,1.01784
12.75,0.379353
12.8,0.432502
12.85,0.884243
12.9,1.38024
12.95,1.13647
13,1.34461
13.05,1.50589
13.1,1.51753
13.15,1.60704
13.2,1.79872
13.25,1.5565
13.3,1.30392
13.35,1.09444
13.4,1.68149
13.45,1.79738
13.5,1.50503
13.55,1.21642
13.6,1.20906
13.65,1.05237
13.7,1.14256
13.75,1.34627
13.8,1.36668
13.85,1.63117
13.9,1.36632
13.95,0.967237
14,1.12168
14.05,1.04619
14.1,0.922441
14.15,1.02467
14.2,0.843882
14.25,1.04749
14.3,0.965369
14.35,0.971371
14.4,0.659146
14.45,0.666267
14.5,0.046817
14.55,-0.062841
14.6,0.679053
14.65,1.28043
14.7,1.67265
14.75,1.66699
14.8,1.95065
14.85,1.63874
14.9,1.49942
14.95,1.79547
15,1.2628
15.05,1.17991
15.1,1.52143
15.15,1.28651
15.2,0.699022
15.25,0.337813
15.3,0.800176
15.35,1.06257
15.4,0.798253
15.45,1.1457
15.5,1.16725
15.55,1.03023
15.6,1.10684
15.65,0.990843
15.7,1.10703
15.75,0.708693
15.8,0.438893
