tau,x
0,-0.877845
0.05,-0.738099
0.1,-1.14886
0.15,-0.954533
0.2,-0.7484
0.25,-0.603156
0.3,-0.337058
0.35,-0.674109
0.4,-0.636225
0.45,-0.693687
0.5,-1.30949
0.55,-1.40755
0.6,-1.46624
0.65,-1.36623
0.7,-1.33363
0.75,-1.97243
0.8,-1.59822
0.85,-1.40184
0.9,-1.39448
0.95,-1.4268
1,-1.23011
1.05,-1.74075
1.1,-1.69655
1.15,-1.34146
1.2,-1.49156
1.25,-1.41722
1.3,-1.13728
1.35,-1.77275
1.4,-1.95447
1.45,-2.09448
1.5,-2.19089
1.55,-1.61844
1.6,-1.4393
1.65,-1.67732
1.7,-1.38562
1.75,-1.3647
1.8,-1.86772
1.85,-1.89248
1.9,-2.21104
1.95,-1.3662
2,-1.41314
2.05,-1.4709
2.1,-0.940747
2.15,-1.04529
2.2,-1.09449
2.25,-0.770082
2.3,-0.955628
2.35,-0.715134
2.4,-0.578826
2.45,-0.433823
2.5,-0.855232
2.55,-1.22062
2.6,-1.51823
2.65,-1.94767
2.7,-2.37474
2.75,-2.29804
2.8,-2.42135
2.85,-2.33209
2.9,-2.1936
2.95,-1.63621
3,-1.31909
3.05,-0.990217
3.1,-0.740911
3.15,-0.868906
3.2,-0.89373
3.25,-0.974638
3.3,-1.79362
3.35,-2.32596
3.4,-2.22847
3.45,-2.24146
3.5,-1.89018
3.55,-1.66029
3.6,-1.56529
3.65,-1.64317
3.7,-1.80828
3.75,-1.41946
3.8,-1.58249
3.85,-1.3538
3.9,-1.62543
3.95,-1.5658
4,-1.146
4.05,-1.33012
4.1,-1.22075
4.15,-0.989436
4.2,-0.872312
4.25,-0.597394
4.3,-0.43399
4.35,-0.909255
4.4,-1.16867
4.45,-1.19982
4.5,-1.18483
4.55,-1.31619
4.6,-0.699377
4.65,-0.955391
4.7,-1.44625
4.75,-1.29158
4.8,-1.90166
4.85,-1.71732
4.9,-1.68734
4.95,-1.68077
5,-1.6325
5.05,-1.85455
5.1,-1.43323
5.15,-1.5614
5.2,-1.37578
5.25,-0.650693
5.3,-0.222355
5.35,0.761289
5.4,0.65744
5.45,0.0648942
5.5,0.129535
5.55,0.614233
5.6,0.698818
5.65,1.01773
5.7,1.245
5.75,1.31338
5.8,1.75193
5.85,1.76397
5.9,1.39338
5.95,1.16431
6,0.636697
6.05,0.555366
6.1,0.938262
6.15,1.45118
6.2,1.1043
6.25,1.08881
6.3,0.942154
6.35,1.2081
6.4,1.72172
6.45,1.77259
6.5,1.0736
6.55,0.930583
6.6,0.498505
6.65,0.196408
6.7,0.544417
6.75,0.876308
6.8,0.439125
6.85,-0.269395
6.9,-0.491064
6.95,-0.845738
7,-1.37643
7.05,-1.44802
7.1,-1.57053
7.15,-1.41707
7.2,-1.2811
7.25,-1.22461
7.3,-1.03762
7.35,-1.52797
7.4,-1.76497
7.45,-1.64207
7.5,-1.84931
7.55,-2.10943
7.6,-1.51223
7.65,-1.30462
7.7,-1.52955
7.75,-1.23448
7.8,-1.4972
7.85,-1.48485
7.9,-1.63751
7.95,-1.56562
8,-1.63768
8.05,-1.35966
8.1,-1.01359
8.15,-0.80053
8.2,-0.434082
8.25,-1.25393
8.3,-1.22532
8.35,-1.11441
8.4,-0.989298
8.45,-1.5272
8.5,-1.43307
8.55,-1.47294
8.6,-1.20272
8.65,-1.52343
8.7,-1.56856
8.75,-1.63087
8.8,-1.54864
8.85,-1.71548
8.9,-1.52118
8.95,-1.50012
9,-1.15203
9.05,-0.823872
9.1,-1.24538
9.15,-0.955615
9.2,-1.27307
9.25,-0.962605
9.3,-0.800811
9.35,-0.917374
9.4,-0.629878
9.45,-0.382372
9.5,-0.614132
9.55,-1.05364
9.6,-1.23145
9.65,-0.759494
9.7,-0.826541
9.75,-0.510459
9.8,-0.714832
9.85,-0.854484
9.9,-0.985283
9.95,-0.435354
10,-0.874544
10.05,-1.6342
10.1,-1.66265
10.15,-1.28494
10.2,-1.0215
10.25,-1.11669
10.3,-1.13977
10.35,-1.46389
10.4,-1.36282
10.45,-1.50896
10.5,-1.34662
10.55,-0.95308
10.6,-0.981768
10.65,-1.28192
10.7,-1.21072
10.75,-1.20281
10.8,-1.35643
10.85,-1.06148
10.9,-1.12909
10.95,-0.915034
11,-0.995531
11.05,-1.15026
11.1,-0.790548
11.15,-0.754752
11.2,-0.784849
11.25,-1.22183
11.3,-0.95402
11.35,-1.34286
11.4,-1.32228
11.45,-2.19589
11.5,-2.06061
11.55,-2.1665
11.6,-1.90128
11.65,-1.87828
11.7,-1.94144
11.75,-1.5956
11.8,-1.96422
11.85,-1.39647
11.9,-1.29743
11.95,-1.77016
12,-1.66904
12.05,-1.93521
12.1,-1.77801
12.15,-1.7264
12.2,-1.868
12.25,-2.06855
12.3,-1.61944
12.35,-1.89916
12.4,-1.47063
12.45,-1.48441
12.5,-1.15976
12.55,-0.857601
12.6,-1.39437
12.65,-1.36508
12.7,-1.65595
12.75,-1.56011
12.8,-1.97835
12.85,-1.63365
12.9,-1.79699
